class,text
METHODS,"Patients were randomized to fish oil ( 4 g/day ) or placebo and followed , on average , for 271 129 days ."
METHODS,"A total of 60 healthy volunteers , randomized into 3 groups , were given a single oral dose of 1 g or 3 g of dehydrated garlic powder or placebo ."
RESULTS,The mean difference in vagina length before and after surgery was also significantly higher in the horizontal group than in the vertical group ( -1.26 [ 0.12 ] cm vs 0.49 [ 0.11 ] cm ; p < .001 ) .
RESULTS,Decline in sexual function in all sexual function domains associated with worsening of lower urinary tract symptoms in this group was small .
METHODS,Patients were followed up for 14 months .
RESULTS,"No statistical difference was found between the results for ORIF compared with ORIF + PSTA : the mean SF-36 physical component scores were , respectively , 30.2 ( SD = 11.4 ) and 37.8 ( SD = 10.4 ) ( P = 0.10 ) ; the mean Musculoskeletal Functional Assessment Survey scores were 44.2 ( SD = 25.6 ) and 37.9 ( SD = 21.5 ) ( P = 0.50 ) ; the mean Ankle-Hindfoot Scale scores were 62.5 ( SD = 19.6 ) and 65.8 ( SD = 19.2 ) , ( P = 0.68 ) ; and the mean Visual Analogue Scale scores were 36.8 ( SD = 34.7 ) and 36.0 ( SD = 30.7 ) ( P = 0.82 ) ."
METHODS,"The parents completed the Child Development Inventory and the Aberrant Behavior Checklist , and both parents and teachers completed the Behavior Assessment Scale for Children ( BASC ) at enrollment and after 6 months ."
METHODS,Cross-sectional study within the Comparison of AMD Treatments Trials ( CATT ) .
CONCLUSIONS,In osteoporotic women both zoledronate and ibandronate given intravenously resulted in an increase in HDL-C/LDL-C ratio and a reduction of CA-IMT which was significant only for zoledronate .
RESULTS,"In the treated group , 25 ( OH ) D ( total ) rose from 18 7 to 43 12 ng/mL ( P < 0.001 ) with no change in the placebo group ."
BACKGROUND,"Preclinical evidence demonstrates that inorganic nitrite , after its in situ conversion to nitric oxide , attenuates consequent myocardial reperfusion injury ."
CONCLUSIONS,"Compared with placebo , the 3-month formulation of paliperidone palmitate administered 4 times yearly significantly delayed time to relapse in patients with schizophrenia ."
CONCLUSIONS,Brinzolamide 1 % and brimonidine 0.2 % fixed combination administered BID had a significantly greater IOP-lowering effect than either brinzolamide or brimonidine alone and displayed a safety profile consistent with its individual components .
RESULTS,"Overall survival rates were 86.7 % in the laparoscopic-surgery group and 83.6 % in the open-surgery group ( difference , 3.1 percentage points ; 95 % CI , -1.6 to 7.8 ) ."
RESULTS,Serum LDL-C level was also lower with colestilan than with placebo ( P < 0.001 ) .
RESULTS,Nineteen patients ( 7.2 % ) reported pain affecting the entire spine .
METHODS,"NCT01147250 ) is a randomized , double-blind , placebo-controlled , parallel-group , multicenter study of lixisenatide in patients with T2DM and a recent ACS event ."
METHODS,Patients were followed for 120 weeks from baseline .
