class,text
14, Greater integrated backscatter was observed for insonification perpendicular as compared with parallel to fibers (difference = 14.5 +/- 0.6 dB).
10, In 34 of the 39 normal patients potentials of a uniform shape were recorded during flaccidity.
14,The influence of extracorporeal circulation on erythrocytes and flow properties of blood.
14," To determine whether obesity alters responsiveness to vasoactive drugs, we compared the cardiovascular effects of angiotensin, phenylephrine and isoproterenol in unanesthetized age-matched control and obese Oscai rats."
20, Seropositive children greater than or equal to 1 year of age were more likely than seronegative children to be anemic and to have signs of malnutrition.
6," 3) The reported incidence of dialysis dementia among hemodialysis patients was 0.2%, with a case fatality rate of 23%."
14, The long-term results were analyzed using the life table method to determine cumulative patency.
6,Colonic stenoses: use of oral barium when retrograde flow is completely obstructed on barium enema studies.
18, Previously known diabetics were excluded.
6," In the ranitidine-healed groups, no appreciable decrease was noted and there was, indeed, a significant increase in nocturnal acid secretion."
9," We report our experience in selected patients who, having failed radiation therapy for their early vocal cord cancers, underwent frontolateral hemilaryngectomy as attempted salvage surgery."
9, Twenty-one patients with laryngeal carcinoma in situ (n = 12) or carcinoma in situ with microinvasion (n = 9) were treated with laser mucosal dissection of the vocal cords and/or superficial laser cordectomy.
16," A multiple regression analysis was used to control for the possible confounding effects of maternal age, formal education, ethnic origin, religion, marital status, parity, social class, and work outside the home."
23, Ventilation with 2.0% halothane but not 0.5% halothane prevented the increases in middle segmental resistance observed with either atelectasis or hypoxic ventilation.
21," Sexual behaviors of a group of 313 intravenous drug users (IVDUs) (225 men, 88 women) were assessed by a structured interview at the start of an AIDS prevention project."
2, falciparum infection accelerates the progression of HIV-related disease.
14, Lower extremity arteriography was performed during 88 thousand hospitalizations and aorta-iliac-femoral bypass procedures were done during 31 thousand hospitalizations per year.
23," During cisapride therapy compared with placebo, there were significant reductions in flatulence (p less than 0.005), fullness, and nausea (p less than 0.05)."
6," Eight patients reported significant improvement in symptomology and two patients reported lessening of symptoms such as nausea, vomiting, bloating, abdominal pain, heartburn and vomiting."
4,Distribution of thymic tissue in the mediastinal adipose tissue.
8,Intraoperative bronchial aspiration of ruptured pulmonary hydatid cysts.
6, Pain scores were recorded every six hours.
13, The test-retest Pearson correlation coefficient for recall of first trimester average daily volume (ADV) was .61 (p = .000) for Group 1 and .53 (p = .000) for Group 2.
23," Regeneration, which was assessed by the number of clustered axons, decreased when the density of myelinated fibres decreased, suggesting that severe nerve ischaemia precludes axonal regeneration."
2, An IFN dose of 18 x 10(6) IU was given subcutaneously every day during the first 3 months of treatment and then on alternate days.
10, The variety of cognitive dysfunctions related to learning disabilities in children with epilepsy have been studied by linking electroencephalogram (EEG) and computerized neuropsychological testing.
23, Hyperthyroidism and not physiological demand was found to be the dominant regulator of skeletal muscle myosin expression.
12, The anal submucosal route was used for the treatment of chronic bacterial prostatitis in 11 patients.
4,Molecular heterogeneity and cellular localization of carboxypeptidase H in the islets of Langerhans.
5, Pectus excavatum is relatively uncommon.
4," The recommended sequence is an extended Karapandzic flap to reestablish the oral sphincter, then two sequential Abbe flaps from the upper lip to restore balance and augment the central lower lip, and finally a commissureplasty using a sliding myomucosal flap in conjunction with final revision of the scars."
16," Based on this review and on current experience with extracorporeal support in near-term infants, it is reasonable to expect that survival of moribund premature infants might be 50% or greater with extracorporeal support."
17,Treatment of rheumatoid arthritis with an anti-CD4 monoclonal antibody.
4, Five rounds of inoculation of APC-containing fraction from CSA1M-bearing mice without further in vitro pulsing resulted in the induction of potent anti-CSA1M immune resistance.
