class,text
1,It's easy to install the security on this product but Linksys doesn't do a good job of explaining why its important.  
1,I's asy to istall the Mecurity on this prodct but Lniksys doesn't do a goLd jo of explaifing why its imprtant.  
1,Iot's Yeasy to insatll the escurity on this prduct but inksys doesn't do a ood joO of explainHing why its imoprtant.  
1,"i have to say i 'm also pretty impressed by the user interface for playing jpeg , mp3 and mpeg files stored on cd-rs / dvds . "
1,"i have to saGy i 'm alo prety imperssed by the uer intePrface for playing pjeg , mR3 and mpe iles stored on cdprs / dvdZ . "
1,"i have to way i 'm alo prktty imressed by the user nterface for plaBying jpge , m3p and mpge ifles storzed on cd-rZs / dvds . "
1,"now that i own it , however , i can 't imagine being without it ! "
1,"now that i own it , howveer , i can 't imagnie being witout it ! "
1,"now that i own it , howveer , i can 't imgine being withotu it ! "
0,"I say adequate because it was enough to get wireless working, but nowhere near enough instruction to do the proper configuration job that I could have done if so!"
0,"I Esay adequaqe because it was neough to gewt wireldess workzing, but nowhere neaEr enougz instructiok to do the proGer configration jo that I Ncould have dojne if so!"
0,"I saH adgequate because it was enouRgh to pet wieless workig, but nwhere near enoWgh iQstruction to do the Xproper configureation uob that I colud have doen if so!"
1,"i love all of the features , and presets as well . "
1,"i loge all of the featuers , and prsets as wll . "
1,"i ove all of the efeatures , and preset as ewll . "
1,First 4 months it was in our bedroom and we did not even smell any odor.
1,Finrst 4 monhts it was in our bedrooc and we did not evWen smlel any oodr.
1,Frrst 4 mZnths it was in our bedrokm and we did not evWen sell any odro.
1,"the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple . "
1,"the poftware runRs smoot , it 's niTe to loo at , it 's very orgqnized , easCy to follVw and makse thixgs very ismple . "
1,"the sofUtware ruSs smooBh , it 's ince to lGook at , it 's very oganized , esay to fojlow and maYes thingH very uimple . "
1,"the 6610 excels as a cell phone , thank god . "
1,"the 610 excels as a celll phonc , htank god . "
1,"the 6610 excesl as a cell hpone , thaOnk goq . "
0,but the major problem i had was with the software . 
0,but the maCjor proble i had was with the softwae . 
0,but the majoT probleR i had was with the softwary . 
0,. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . 
0,. this cSamera kCeps on autofocussJng in aut wode with a buzing soukd which can 't be stpoped . 
0,. this camear keepQ on autofochussing in aXuto mde with a bRuzzing sonud which can 't be cstopped . 
1,"if you bring up an album , but absolutely hate some of the tracks , the zen will allow you to delete that from the playing order . "
1,"if you birng up an albyum , but absolyutely hae some of the traPks , the zne will alow you to delrete that from the plaDing oder . "
1,"if you brig up an aDlbum , but absolukely htae some of the tralks , the ezn will allwo you to delee that from the plaiyng ordr . "
1,+looks snazzy +smaller than a pack of smokes - easily transported +ac charger included as well as a hardshell that comes with a clip and a stand adapter +USB cable !
1,+look nsazzy +smMller than a parck of smokse - eaisly trasnported +ca chager inclued as well as a hardshell that cmoes with a clip and a stQnd adapte +USB cabe !
1,+looks nsazzy +Wsmaller than a pUack of imokes - eaBily transportod +ca charqer incwuded as wedll as a hardshKll that comes with a cli and a stand adaper +USB cabel !
1,and amazon.com has it for such a great price -- how can you go wrong ? 
1,and amlazon.ocm has it for such a grat yprice -- how can you ho wronW ? 
1,and amwzon.cWom has it for such a rgeat pricie -- how can you o wong ? 
1, Logitech 's N550 Speaker Lapdesk wins in the area of comfort .
1, Logitec 's N550 SpJaker Leapdesk wans in the grea of comfort .
1, Logitech 's N550 Speker LapdeGk win in the raea of comforc .
1,"There is also a small covering for the lens, so you need not worry that the lens will get scratched."
1,"Shere is alKo a smal coering for the lvens, so you neecd not owrry that the olens will gOet scratchZd."
1,"ThVre is aIso a smalX coevring for the yens, so you nueed not worTy that the lnes will gte scratced."
1,"i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots . "
1,"i loZe the cotinuous sho mode , which llows you to taPke up to 1 pix in raPpid succesWion -- lgreat for acton sohts . "
1,"i loeve the continuuos shot mode , which alows you to taek up to 1u6 pmix in rpaid succsesion -- grJeat for acion shotS . "
1,"I purchased this camera before it went on sale, and while I wouldn't have minded keeping the extra $$$, it was definitely worth it."
1,"I purcahsed this czamera before it wetn on vsale, and while I wouldn't have inded ekeping the extar $$$, it was definotely Iworth it."
1,"I purchaesd this amera before it wetn on sae, and while I wouldn't have mnided eeping the etxra $$$, it was Nefinitely wortj it."
0,"unfortunately i bought a player because the ps2 could n't play all my dvds , and now the player can 't play everything . "
0,"unfortunatley i bouht a yplayer because the psX2 oculd n'M pAay all my dvads , and now the playNr can 't plya enerything . "
0,"unfortunatmely i boguht a plaer because the sp2 clould n'k Ulay all my vdds , and now the payer can 't paly everytHing . "
1,7 picture quality is excellent . 
1,7 pciture qouality is excellent . 
1,7 picture qualitz is excelflent . 
0,c ) the scroll bar is a travesty -- enough said 
0,c ) the scorll bar is a trvaesty -- enouwh sid 
0,c ) the scrrll bar is a travsety -- enougRh sMaid 
1,"the optical zoom is awesome , and the viewfinder reflects the settings of the zoom . "
1,"the optiacl Soom is aIwesome , and the viwefinder Heflects the aettings of the zopom . "
1,"the potical ozom is awesoe , and the virwfinder refleWts the setings of the zooUm . "
0,only one disk played through to completion successfully . 
0,only noe idsk pXayed through to complFtion successfully . 
0,only ode disq palyed through to compleiton successfully . 
0,"so loud , really , that it does n't work terribly well as a silent ringer option . "
0,"so lod , really , that it does nt't pork terriblvy iwell as a Tsilent rHnger option . "
0,"so loud , eally , that it does 't wrk terrAbly wll as a sijent rigner option . "
0, I agree with the earlier reviewer who said that there is a very limited vertical viewing angle in order to get consistent contrast .
0, I Dagree with the aerlier reviewr who sid that there is a very limtied verticEal viJwing anglLe in odrer to get consistetn conrast .
0, I Ogree with the earliem revieer who sad that there is a very limiteId vertiaal Wiewing angla in orde to get consstent contast .
0,"they play just about everything , but # 2 and # 3 died very shortly after getting them . "
0,"they lpay just about eerything , but # 2 and # 3 diexd very sVhortly after egtting them . "
0,"they pXlay just about everytjhing , but # 2 and # 3 ided very shoEtly after gertting them . "
1,It works great.
1,It worGs great.
1,tI works great.
1,"i must have differing preferences than others here , as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players . "
1,"i mus have dffering preferenles than othes here , as i rpefer the suppblied eabruds to the sWony 's that i thougt souned gpood on other playes . "
1,"i umst have dfifering perferences than othesr here , as i rpefer the supplide earbudQs to the soyn 's that i thoutht souzded ood on other plaeyrs . "
0,"Back in May 2004, when I first reviewed this, it had taken me over 16 hours to install and run."
0,"Bakck in ay 0204, when I uirst revieed this, it had taekn me over 61 hsours to insatll and rEun."
0,"aBck in MPay v2004, when I fist revidwed this, it had takien me over 1n Oours to intall and ruc."
0,i would not be inclined to purchase an apex product again . 
0,i wold not be inclinmed to pukchase an apxe pnoduct again . 
0,i wolud not be iKclined to phrchase an Napex prAduct again . 
1,No need for deodorizers.
1,o need for dodorizers.
1,oN need for deodorizres.
0, There are limitations to what you can do with frequency adjustments because of the built-in speaker crossovers .
0, Thee are limitatiols to what you can do with frequeny adjusmtents because of the built-ni spaeker crossvers .
0, Thre are limitvations to what you can do with forequency avjustments because of the built-n sfeaker crossovUrs .
1,I like the speed control.
