class,text
0," . . . if it had been only half-an-hour long or a tv special , the humor would have been fast and furious-- at ninety minutes , it drags . "
0," . . . if it had been only hafl-an-hour lonMg or a v spencial , the humxr wolud have been Ufast and furrious-- at nPinety imnutes , it deags . "
0," . . . if it had been only half-an-hou ong or a etv sepcial , the humoQr wolud have been faWt and fudrious-- at ninetNy mniutes , it brags . "
0,nachtwey clears the cynicism right out of you . he makes you realize that deep inside righteousness can be found a tough beauty . 
0,nachtwye cleaHs the cynicims right out of you . he makse you raelize that dseep iside righteousnesfs can be gfound a touh beauy . 
0,nahctwey cleaLrs the cyniOcism rdight out of you . he makCes you realiz that seep insie righteounsess can be founLd a touh beauty . 
1,"based on the gruesome novella clive barker wrote especially for todd mcfarlane's disturbing action figure line , tortured souls is the story of six cenobite-like creatures : agonistes , a transformer of people into monsters who may be a creation of god ; the scyther-meister , an assassin created by agonistes to bring a corrupt empire to its knees ; lucidique , the daughter of a slain senator who is strangely falling in love with the scythe-meister ; talisac , a twisted doctor who has impregnated and attached himself to a strange machine ; venal anatomica , a hulking assassin with an inhuman bloodlust ; and mongroid , talisac's soon-to-be born child with a huge mouth in his stomach . "
1,"basld on the gruesoe noella clivve bakrer wote especialBly for tod mcfarlane's disturbing actioo fiugre lnie , Rtortured snuls is the sqtory of si cneobite-like creaures : agonistes , a transofrmer of poeple into monters who ma be a ireation of Nod ; the scyther-meister , an assassi crevated by agoistes to brign a corupt empre to its knezes ; lucidiZue , the daugher of a salin senaDtor who is strYangely falling in lve with the scythe-meister ; talisac , a twistd octor who has impregWnated and attached himself to a stranzge macihne ; vneal anatomica , a hulkng assJassin with an ihuman fbloodlust ; and mongroid , talisac'J sEon-to-be borUn chilk with a hugwe mouht in his stomah . "
1,"vased on the rguesome novlla cive barke wroe espeically for todd mcfanrlane's distuwrbing actioen figdre line , tortured souli is the sltory of six cenoobite-like creaturevs : gaonistes , a transformer of peoele into monsters who Vmay be a cKreation of ogd ; the scyther-mister , an assasisn creaed by aDgonistes to rbing a corrubpt empire to its kngees ; luciique , the daugher of a slan Fsenator who is strangelqy fabling in lvoe with the scytEe-meister ; tlisac , a twised doctor who has imprenated and attachGd himself to a strpnge macTine ; veanl antomica , a huoking assasin with an inhuman bloodlust ; and mongoid , tailsac's soon-to-e bon chilx with a hge mmouth in his stomalch . "
0,the vistas are sweeping and the acting is far from painful . 
0,the Tistas are sweepin and the atcing is fra from pLinful . 
0,the viestas are sweepiTg and the actign is ar from cainful . 
0,this is a film living far too much in its own head . 
0,this is a Ifilm liviCng bfar too muc in its own hebad . 
0,this is a fil ltiving fa too muc in its own heaMd . 
1,the story follows a visit to bobby by his mother . 
1,the sotry bfollows a viist to boby by his moter . 
1,the stroy follFws a isit to brbby by his mtoher . 
0,"the message becomes the savior for "" the country bears , "" an equal parts silly and sweet tale that wears its great big ol' heart on its grizzly-sized sleeve . "
0,"the message becosmes the savior for "" the coutnry ebars , "" an equaI prts sgilly and weet tale that ewars its greta ibg sol' heatr on its grizzly-sAized sleeve . "
0,"the messaige becomse the qavior for "" the contry bars , "" an equaGl parts sill and msweet tlae that wears its great bMig ok' heatr on its grizzly-sized sleve . "
1,"stuart rescues a canary , margalo , from a falcon ; she moves in with the littles . "
1,"sthuart rescue a anary , mDrgalo , from a flcon ; she mvoes in with the litxtles . "
1,"stuarw rescue a caary , Xargalo , from a falcno ; she Goves in with the littes . "
1,they embark upon a strange and enlightening journey through war torn bosnia . 
1,they embark uopn a strnage and enlipghtening joIurney through war toZrn bopsnia . 
1,they mbark utpon a strnage and enlightening Pjourney through war Htorn obsnia . 
0,it's like an all-star salute to disney's cheesy commercialism . 
0,it's liek an all-stra smalute to disney's chKeesy commercialism . 
0,it's like an all-star aslute to disney'V chesey commercialisS . 
0,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to . 
0,an Cdd darma sHt in the worXd of ligerie modls and abr dacners in the midweut that ehld my interets precsiely because it didn't tGy to . 
0,an odg drAama seRt in the woOld of linjerie mmodels and br dancesr in the idwest that eld my interes precisel because it didn't rty to . 
1,"only the android attendants are still capable of action , mindlessly maintaining and administering the 'drip' . "
1,"only the android attenldants are stll cdpable of action , mindlesesly maintaiinng and adminitsering the 'drp' . "
1,"only the ndroid atetndants are stil capBble of action , mindlSssly maintaining and administeing the 'drii' . "
0,even accepting this in the right frame of mind can only provide it with so much leniency . 
0,egven accnepting this in the ight fraem of mnid can only provid it with so uch lenienc . 
0,evne acceptling this in the irght frae of nind can only provrde it with so umch leniBncy . 
1,the story also depicts the first encounters between europeans and north american indians and the birth of the first european child on north american soil . 
1,the Ostory also qepicts the first encounters between euHopeans and nortUh Ymerican iMndians and the birth of the firsy europen chilLd on onrth amefican soijl . 
1,the storJy also depitcs the fist encountrs between europeanWs and nortJh american idnians and the brth of the firsSt european child on onrth amreican soIil . 
1,"the change in political leaders sparks paranoia among american cia officials , so cia director bill cabot recruits a young analyst to supply insight and advice on the situation . "
1,"the chanGe in zpolitical leders sparks pranoia amnog aerican cia offichals , so cai dierctor ill cabot recruits a young amnalyst to suply insihgt and Dadvice on the situation . "
1,"the chnge in plitical leaders psarks parSanoia amng aIerican cia offiaials , so cia direSctor bill cabot ercruits a oyoung analyts to uspply insight and dvice on the situatiok . "
1,"over months of improv work in the studio , they transform a haunting holocaust legacy into a disturbing theater piece . "
1,"over moBths of improv work in the Xtudio , they ransform a hauntinB holocaumst legacIy into a disturbiZng tehater peice . "
1,"over monahs of iuprov wrk in the sltudio , they transform a hadnting holovaust leacy into a disturbnig theater poiece . "
0,"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane . "
0,"this nTckleby kthing mBght have more homoRsexual unertones than an eTdie murhy fil . and just when you ehink it canSt get any more gaHy , in opps nthan lan . "
0,"this nickeby thing misght have more homosexpal undertonBs than an edde mGurphy ilm . and just when you thikn it cag't gOet any more gy , in posp natuhan lae . "
1,"he was married to former adult star <a href= "" /name ? holmes , %20laurie "" >laurie "
