class,text
1,"it plays alternate video formats ( vcds , svcds , cvds ) very well . "
1,". he alternate video formats ( vcds , networktss , nots ) very well ."
1,"- second alternate video formats ( vcs , grcrs , meg rc ) very well ."
1,"But, for the money it is a good machine."
1,"but , for the money it is a good machine ."
1,"but , for the money it is a good machine ."
1,I've dropped it atleast a dozen times to my recolletion and it still works as good as ever.
1,s ' ve the it athlyst a dozen times to my recinsetion and it still work as good as ever .
1,techno ' me done it atlyst a connected times to my filehcetion and it still works as good as ever .
1,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . "
1,"this camera has canon ' s great colorimetry , plus what you see in the vanity is what you get ."
1,"this camera has canon ' s great colorimetry , plus what you see in the system is what you get ."
0, D-Link got greedy and in trying to sell you their pathetic extras made the product unusable .
0,d - link got greedy and in trying to sell you their pathetic extras made the product unusable .
0,d - link got greedy and in trying to sell you their pathetic extras made the product unusa . .
1,This is an excellent router for the money.
1,. is an excellent beltr for the money .
1,. is an excellent router for the money .
0," And finally , in early June , this router stopped broadcasting an internet signal ."
0,". finally , in some june , this datet stopped broadcasting an internet signal ."
0,". finally , in all june , this farr stopped broadcasting an internet signal ."
1," You can fill a small room with sound pretty good , but do n't think it rivals a home theater system ."
1,"dash mason fill a small room with sound pretty good , but do n ' t think it lacks a home theater system ."
1,"cl can fill a small room with sound pretty good , but do n ' t think it - a home theater system ."
0,The touch controls took a little getting used to but now I wouldn't change it for the scroll wheel. 
0,the touch control took a little getting used to but now i wouldn ' t change it for the scroll large .
0,the touch controls took a little getting used to but now i wouldn ' t change it for the script only .
1,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . 
1,they . away and the picture turned . quite . . ( as all of my pictures have thus rested ) .
1,they . away and the picture turned out quite . . ( as all of my pictures have thus done ) .
1,"Secondly, all info can be sent to a computer and w/o the hassle of USB wires."
1,"secondly , all info can be sent to a computer and w / o the hassle of boots wires ."
1,"secondly , all instructions can be sent to a computer and w / o the hassle of electrical wires ."
0,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . 
0,. . . taken in an indoor setting are a little either and rarely detail if you tend to take photographs from a distance .
0,. . . taken in an stop setting are a little generally and rarely on if you tend practice take photographs from a distance .
1,"since batteries do run out on everything , this will also be a big money-saver since ipods , irivers , rca , dell , all have built-in batteries that need to be replaced by a technician ( apple charges 100 bones for the battery replacement ) . "
1,"since batteries do run depending on nothing , this will be be a big , - saver . ipods , irivers , series , super , all have built - in batteries that need to be replaced by a technician ( apple passing 100 bones for the battery replacement ) ."
