class,text
35," Human immunodeficiency virus disease with stable control on Atripla.  Resolving left gluteal abscess, completing Flagyl.  Diabetes mellitus, currently on oral therapy.  Hypertension, depression, and chronic musculoskeletal pain of unclear etiology."
35," Human immunodeficiency virus disease with stable control on Atripla.  Resolving left gluteal abscess, completing Flagyl.  , Diabetes mellitus, currently on oral therapy.  Hypertension, depression, and chronic musculoskeletal pain of unclear etiology."
21, Cadaveric renal transplant to right pelvis - endstage renal disease.
21, ? Cadaveric renal transplant : to ? right ? pelvis - endstage ? renal : disease.
28, Evaluation for right L4 selective nerve root block.
28, Evaluation . for right L4 : selective : nerve root block.
23, Anterior cervical discectomy fusion C3-C4 and C4-C5 using operating microscope and the ABC titanium plates fixation with bone black bone procedure.  Cervical spondylotic myelopathy with cord compression and cervical spondylosis.
23,"!  Anterior cervical discectomy fusion C3-C4 ? and C4-C5 , using operating microscope and the ; ABC titanium plates ; fixation with bone black bone ! procedure.  Cervical spondylotic myelopathy with ! cord ! compression and cervical spondylosis."
24," The patient comes for three-week postpartum checkup, complaining of allergies."
24," The patient : comes for three-week postpartum checkup, complaining of allergies."
8, Mohs Micrographic Surgery for basal cell CA at mid parietal scalp.
8,":  , Mohs Micrographic Surgery ? for basal ; cell CA at mid parietal scalp."
12, Patient presents to the Emergency Department with complaint of a bleeding bump on his penis.
12," ; Patient presents to the Emergency Department with complaint of , a bleeding bump on his penis."
3," Lower extremity angiogram, superficial femoral artery laser atherectomy and percutaneous transluminal balloon angioplasty, external iliac artery angioplasty and stent placement, and completion angiogram."
3," Lower extremity angiogram, superficial femoral artery laser atherectomy and percutaneous transluminal balloon ? angioplasty, external iliac ; artery ! angioplasty . and stent placement, : and completion angiogram."
14," EGD and colonoscopy.  Blood loss anemia, normal colon with no evidence of bleeding, hiatal hernia, fundal gastritis with polyps, and antral mass."
14," EGD and colonoscopy.  Blood loss ! anemia, normal colon with no evidence of bleeding, hiatal ? hernia, fundal gastritis with ? polyps, , and ? antral mass."
5," Patient with postnasal drainage, sore throat, facial pain, coughing, headaches, congestion, snoring, nasal burning and teeth pain."
5," Patient ; with postnasal drainage, sore throat, facial pain, coughing, ? headaches, congestion, snoring, nasal burning and ; teeth pain."
5," New diagnosis of non-small cell lung cancer stage IV metastatic disease.  At this point, he and his wife ask about whether this is curable disease and it was difficult to inform that this was not curable disease but would be treatable."
5,".  ! New ! diagnosis of ; non-small cell ! lung : cancer stage IV metastatic disease. ?  At this , point, he ! and ? his wife ask about whether ! this ? is ; curable disease ? and . it was difficult to inform : that this was not . curable . disease . but would ! be ? treatable."
16," Radical resection of tumor of the scalp, excision of tumor from the skull with debridement of the superficial cortex with diamond bur, and advancement flap closure."
16,":  Radical resection of tumor of the scalp, excision ? of , tumor from the skull with debridement of the superficial cortex with . diamond bur, and advancement flap closure."
38, Insertion of a left subclavian Tesio hemodialysis catheter and surgeon-interpreted fluoroscopy.
38, : Insertion ! of ; a left subclavian Tesio hemodialysis catheter . and surgeon-interpreted fluoroscopy.
28," Epidural steroid injection, epidurogram, fluroscopy - Low back pain, herniated disc, lumbosacral Facet, arthropathy."
28," : Epidural ? steroid ; injection, epidurogram, fluroscopy : - Low back pain, . herniated : disc, , lumbosacral ! Facet, arthropathy."
27, Posterior spinal fusion and spinal instrumentation.  Posterior osteotomy; posterior elements to include laminotomy-foraminotomy and decompression of the nerve roots.
27," , Posterior spinal fusion ? and spinal instrumentation.  Posterior ! osteotomy; ; posterior elements ! to include laminotomy-foraminotomy and . decompression of the , nerve roots."
5, The patient was referred after he was hospitalized for what eventually was diagnosed as a conversion disorder. 
5,"!  The patient ! was ! referred ! after he ; was hospitalized , for , what eventually , was diagnosed ! as a conversion ? disorder. "
33, Intensity-modulated radiation therapy simulation note.  The patient will receive intensity-modulated radiation therapy in order to deliver high-dose treatment to sensitive structures. 
33,";  Intensity-modulated : radiation therapy , simulation note.  ! The patient will receive ! intensity-modulated radiation , therapy in ; order to , deliver high-dose treatment to sensitive structures. ? "
38, Primary low segment cesarean section.
38, ! Primary low segment cesarean ; section.
23," A complex closure and debridement of wound.  The patient is a 26-year-old female with a long history of shunt and hydrocephalus presenting with a draining wound in the right upper quadrant, just below the costal margin that was lanced by General Surgery and resolved; however, it continued to drain."
23," A : complex closure ! and debridement of wound.  The patient ! is a 26-year-old female : with ! a long history . of shunt and hydrocephalus presenting with a draining , wound in the , right . upper quadrant, just below : the costal margin that was ; lanced . by General Surgery and resolved; ? however, it continued to drain."
38," Left and right coronary system cineangiography, cineangiography of SVG to OM and LIMA to LAD.  Left ventriculogram and aortogram.  Percutaneous intervention of the left circumflex and obtuse marginal branch with plano balloon angioplasty unable to pass stent."
38," , Left and right : coronary system cineangiography, cineangiography of SVG to OM ? and . LIMA to LAD.  Left ; ventriculogram ! and aortogram.  Percutaneous intervention of the left circumflex , and obtuse marginal branch with plano balloon angioplasty unable to pass ; stent."
2, Patient suffered from morbid obesity for many years and made multiple attempts at nonsurgical weight loss without success. 
2,":  Patient suffered ? from morbid ! obesity for many years ! and , made multiple , attempts at nonsurgical ? weight : loss without ? success. : "
14, Open cholecystectomy (attempted laparoscopic cholecystectomy).
14, ? Open cholecystectomy : (attempted laparoscopic cholecystectomy).
27, Patient did undergo surgical intervention as related to the right knee and it was noted that the reconstruction had failed.   A screw had come loose.
