class,text
1,"romy jumps on board with eagle , and takes command , as the pair rescue each other in a tense and action-packed scene . "
1,"rom leap on board with ying , and pick commanding , as the pairs saved each other in a taut and action-packed scene . "
0,"proof once again that if the filmmakers just follow the books , they can't go wrong . better effects , better acting and a hilarious kenneth branagh . an excellent sequel . "
0,"evidence once again that if the cinematographers just follow the ledgers , they can't going misspelled . optimum consequences , best acting and a amusing kenneth branagh . an super sequel . "
1,"a young french journalist , marina , is writing a report on 'the next film starred by melina : the story of lilly' . "
1,"a youth frans journalists , navy , is write a reports on 'the upcoming kino starred by melina : the stories of lilly' . "
1,"before the gang returns , jack and erin's connection intensifies and who ends up with the money is anyone's guess . "
1,"before the gang restitution , jacque and erin's connecting deepens and who culminates up with the moneys is anyone's reckon . "
1,"samantha is then forced to question her own place in the shark-eat-shark world of ambition and power where truth is ever elusive , enemies wear a friend's face and the stakes are nothing less than life or death . "
1,"samantha is then forcible to matter her own placing in the shark-eat-shark globe of intention and power where veracity is ever elusive , nemesis worn a friend's confronted and the pickets are nothin fewest than lives or die . "
0,a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew . 
0,a light-hearted frenchman films about the witty looking of a manner paragon striving nonviolent of intellect while in a iove fling with a vets who is a non-practicing jude . 
1,"dr . tess coleman ( jamie lee curtis ) and her fifteen-year-old daughter , anna ( lindsay lohan ) , are not getting along . "
1,"doktor . benedict coleman ( jamie rhee cortes ) and her fifteen-year-old girlie , annas ( lindsey lohan ) , are not obtain along . "
0,bisset still commands the screen as the graceful and outspoken frances . 
0,bisset however commandments the screen as the elegant and forthright francis . 
0,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes . 
0,a nightmare dated with a half-formed witt performed a prodigious disservice by a lacks of essentials distancing and a hapless trusted in liberalism arte academies damper sticker trivialities . 
0," . . . more evocative than many other anime features , with its echoes of classic science fiction and contemporary cyberpunk . "
0," . . . more suggestive than multiple other anime characteristic , with its echos of conventional sciences fiction and current cyberpunk . "
1,"the search takes the family to strife-torn sri lanka , where amudha comes face-to-face with reality , and reconciles herself to it . "
1,"the scoured pick the familia to strife-torn sri lanka , where amudha happens face-to-face with realities , and reconciles herself to it . "
1,"though the bosses killed his father , he is loyal to them and is considered family . "
1,"notwithstanding the bosses murdering his fathers , he is trusty to them and is deemed familial . "
0,the truth is that the truth about charlie gets increasingly tiresome . 
0,the truth is that the veracity about vietcong obtains steadily boring . 
0,"this is scorsese's finest work , and one of the best films of 2002 . "
0,"this is scorsese's meanest collaborated , and one of the nicest cinematographic of 2002 . "
0,"the pain , loneliness and insecurity of the screenwriting process are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze . "
0,"the agony , solitude and insecure of the screenwriting processed are strikingly and embarrassingly introduced to slovenly living in this self-deprecating , biting and spiritual featured typed by vietcong coughlin and his twinning brah , donald , and aimed by spiking jonze . "
1,"finnur , a 9 year old boy , finds his way to j&#243 ; hanns world and they develop a special friendship . "
1,"finnur , a 9 annual antique boys , find his ways to j&#243 ; hans worldwide and they elaborate a particular goodwill . "
1,"in keeping with the holiday spirit , the judge gives davey one last chance at redemption-spend the holiday performing community service as the assistant referee for the youth basketball league or go to jail . "
1,"in maintenance with the festive wits , the judges offers dave one lastly opportunity at redemption-spend the vacations fulfilling community servicing as the assistants umpire for the teen basketball league or going to jails . "
1,the sensuous-poetic film is an appeal to dream and a hommage to the great actor klaus kinski . 
1,the sensuous-poetic cinema is an appealed to dreaming and a hommage to the remarkable actress krause kinski . 
1,"but melanie's past holds many secrets , including jake , the redneck husband she married in high school , who refuses to divorce her . "
1,"but melanie's bygone holds numerous confidentiality , encompassing jake , the hillbilly husband she marriage in supreme scholastic , who dismiss to divorcing her . "
1,"the story takes place in rural vermont , against the backdrop of the state capitol , where civil union laws are being debated along with gun control and dwis . "
1,"the history pick placing in agrarian vt , against the background of the sate congress , where civilians union lois are being discussions along with firearms checking and dwis . "
1,"he falls in love with christine and wants her for his own , but she only has eyes for raoul viscount de chagny . "
1,"he waterfalls in amour with kristin and want her for his own , but she only has eye for raul viscount of chagny . "
0,"'lovely and amazing , ' unhappily , is neither . . . excessively strained and contrived . "
0,"'charmer and startling , ' regrettably , is neither . . . excessively uptight and artificially . "
1,the plan slowly unravels when sarah and her lover suspect that her husband has found out . 
1,the plans softly unravels when baroness and her lover suspects that her hubby has detected out . 
0,the splendid ensemble cast inhabits these unglamorous roles with quiet gusto . 
0,the impressive together cast lives these unglamorous functions with hush gusto . 
1,"truly an intellectual , igby is a modern day holden caulfield , and the world he lives in is far removed from the high standards of expectation he holds for it . "
1,"honestly an intelligentsia , igby is a contemporary day holden caulfield , and the global he inhabits in is far eliminated from the supremo norms of anticipation he possesses for it . "
0,davis . . . is so enamored of her own creation that she can't see how insufferable the character is . 
0,davies . . . is so infatuated of her own inception that she can't consults how intolerable the personages is . 
0,goes some way towards explaining how the tragedy occurred and its enduring legacy today . 
0,goes some ways toward elucidate how the tragedy occured and its persistent legacies nowadays . 
1,"unable to let her go quite yet , duncan mimics his dead mother . "
1,"incompetent to let her going perfectly though , duncan mimics his deceased madre . "
1,"as he struggles to achieve social success , he discovers his darker side . "
1,"as he tussle to obtain sociable avail , he discovery his darker side . "
1,"with a cast of non-actors , drawn from the very world which the film portrays , 'shooters' is not just another british genre gangster film - it's a film about real british gangsters . "
1,"with a casting of non-actors , lured from the very worldwide which the kino exposes , 'shooters' is not just another britons genera banger movies - it's a cinematographic about authentic briton thugs . "
1,"daphne must attempt to fit in with the social requirements demanded of her , while also getting to know her father , dealing with his territorial other daughter , and maintaining her own self-identity . "
1,"daphne should endeavor to fitting in with the societal requirement requested of her , while moreover obtaining to savoir her fathers , deals with his territories other fille , and retain her own self-identity . "
1,he trades his grandmother's only treasure for a video game ; he throws his food and he throws tantrums . 
1,he crafts his grandmother's only hoard for a videos jeu ; he sheds his nutrition and he castings tantrums . 
1,"after his wife is murdered , karl loses his fire and disappears into underground munich . "
1,"after his femme is assassination , karol looses his feu and disappears into subterranean oktoberfest . "
0,"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love . "
0,"nevertheless rapturous after all these aged , movie paradise stand as one of the fantastic kino about flick amore . "
