class,text
0,"at its worst , it implodes in a series of very bad special effects ."
0,". its worst , it implodes in a series of very bad pbs effects ."
0,". its worst , it implod in a series of very bad unlimited effects ."
1,"nair 's attention to detail creates an impeccable sense of place , while thurman and lewis give what can easily be considered career-best performances ."
1,". chocolate s attention to detail creates an accec unique sense of place , while theurman and lewis deliver what can - be considered career - best performances ."
1,". ' s attention to detail creates an unecira sense of place , while 'urman and lewis offer what can - be considered career - best performances ."
0,"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention ."
0,"humorless , self - conscious art piecel , made without a glimtone of intelligence and invention ."
0,"humorless , self - conscious art fadel , made without a threadliml of intelligence or invention ."
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking ."
1,"a must - s for the david ce enthusiast and for anyone who appreciates modern , articleyl elegant moviemaking ."
1,"a must - see for the david mmet enthusiast and for anyone who appreciates proper , artylish moviemaking ."
1,"minority report is exactly what the title indicates , a report ."
1,"minority report is exactly what the title indicates , a report ."
1,"minority report is exactly what the title indicates , a report ."
1,"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record ."
1,"priscillahy knows how to in excessate the mundane into the sad mourning , and gets full poundage out of the rolling of a stray typing or the accidental signal of a phonograph record ."
1,"anhy knows how to in actate the mundane into the image picturesque , and gets full acresage out of the rolling of a stray barrel or the unexpected crash of a phonograph record ."
0,"yes , i have given this movie a rating of zero ."
0,"yes , i have given this movie a rating of zero ."
0,"yes , i have given this movie a rating of zero ."
1,"this documentary is a dazzling , remarkably unpretentious reminder of what -lrb- evans -rrb- had , lost , and got back ."
1,"this documentary is a depending , remarkably unpreten colorful reminder of what - lrb - evans - rrb - had , lost , and got back ."
1,"this documentary is a dazzling , remarkably unpreten artifact reminder of what - lrb - ... - rrb - had , lost , and got back ."
1,"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane ."
1,". ' ve just to be a disney pic with as much cleavage as this one has , and a heroine as feisty andɔd as jane ."
1,"fever ' veh to be a disney pic with as much cleavage as this one has , and a heroine as feisty and otherwised as jane ."
0,the new film of anton chekhov 's the cherry orchard puts the ` ick ' in ` classic . '
0,the new comic of anton chekhov ' s the cherry orchard put the ` #k ' in ` classic . '
0,the new film of anton chekhov ' s the cherry orchard puts the ` programk ' in ` standard . '
1,"moretti ... is the rare common-man artist who 's wise enough to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness ."
1,"more . . . . is the rare common - man artist who ' s wise enough to recognize that there are certain things in this ever more complex - - and , as it turns out , more fragile - - than happiness ."
1,"more . . . . is the rare common - man artist who ' s careful enough to recognize that there are few things in the - more complex - - and , as it turns out , more fragile - - than happiness ."
0,terminally brain dead production .
0,terminally handed dead olivia .
0,terminally ip dead throughout .
1,"humorous and heartfelt , douglas mcgrath 's version of ` nicholas nickleby ' left me feeling refreshed and hopeful ."
1,". and heartfelt , douglas mcgrath ' s version of ` nicholas nickleby ' left me feeling ref .ed and hopeful ."
1,". and heartfelt , douglas mcgrath ' s version of ` nick nickdeby ' left me feeling ref .ed and hopeful ."
1,matthew lillard is born to play shaggy !
1,infinity lillard is born to play shaggy !
1,and lillard is born to play shaggy !
0,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot ."
0,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n ' t care who fires the winning shot ."
0,"eventually , they will have a showdown , but , by then , your senses are as andhomy as peas and you do n ' t care who fires the winning shot ."
1,"an enjoyable , if occasionally flawed , experiment ."
1,"an enjoyable , if ( moderator , experiment ."
1,"an enjoyable , if usually second , experiment ."
1,a movie with a real anarchic flair .
1,. movie with a real okrchic right .
1,". movie with a real sorchic , ."
1,puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .
1,. . dramatic and comical spin on the all - too - familiar saga of the contemporary single woman .
1,. a • verse comical spin on the all - too - familiar saga of the contemporary single woman .
1,"between them , de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season ."
