class,text
5,When was the Big Thompson flood ?
5,When was the Iig Thwompson Alood ?
3,What is Steve Rogers 's profession when he 's not Captain America ?
3,Whaht is SteEve Rgers 's profesdion when he 's not saptain APerica ?
3,Who wrote The Secret Life of Walter Mitty ?
3,Who wrote Teh Sedret Lfie of Walter MittYy ?
3,What American poet wrote : `` Good fences make good neighbors '' ?
3,What Aemrican poe wpote : ` Good fenUces make good neighbors '' ?
3,What hockey team did Wayne Gretzky play for ?
3,Wha hockey tema did WaynBe Gretzky paly for ?
0,How can I trace my family roots ?
0,ow can I Ktrace my family rojts ?
3,What 1920s cowboy star rode Tony the Wonder Horse ?
3,What 1920s cowboy sta rode Tpny the Wondnr Hrse ?
0,What is the origin of the atom ?
0,hWat is the orign of the acom ?
3,What kind of business is 7-Eleven ?
3,Wat kin of busniess is 7-Eleven ?
0,What is the origin of the word ` posh ' ?
0,Wha is the oeigin of the woOrd ` posHh ' ?
0,"What does the Greek word polis mean , as in Minneapolis ?"
0,"Whta does the Greek wrd Yolis meax , as in MinneapolQs ?"
1,Which of the five senses develops first ?
1,Which of the fie senss develops fizrst ?
0,Why is the mile 528 feet ?
0,Why is the miel 52 femet ?
0,What is osmosis ?
0,What is osmoss ?
3,What New York Yankee was known as The Iron Horse ?
3,What New Yrok Ynkee was know as hTe Iorn Horse ?
0,How do you reference a website ?
0,ow do you rfeerence a wCebsite ?
5,What was the minimum wage in 1991 ?
5,Whaq was the inimum wage in 1T91 ?
4,What ocean does Mauritania border ?
4,What ochean does Mauritana border ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,Whta gtme do Steve MTcQueen and Edward G. Robnson pay in The Cincinnwti Kdi ?
0,How does psorisis disappear ?
0,ow does psoriiss disappear ?
4,Where does dew come from ?
4,Where does ew ocme from ?
0,"In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?"
0,"In uaugh 's `V` A Hansful of Duts , '' what does the maud lod Zman froce the heo to do every afternfon ?"
0,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?"
0,"ow can I ifnd a lWst of , fx and or eWmail , aGddresses for mhuman resoure epartments in Massachusetts ?"
1,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?"
1,"In Kfka 's Metamogrphosis , the hero avakes hne horning to fidn himself tunred into what ?"
5,What 's the score of a forfeited baseball game ?
5,hWat 's the sjore of a forfeited Caseball gme ?
0,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
0,Wkhy was Muahmmad Ai stripphd of his tetle and bakrred from boxing in 196 ?
1,"What Broadway musical featured the song , `` If I were a rich man ? ''"
1,"Whta Broawday musiAcal feature the ong , `` If I were a rirch man ? ''"
4,"Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?"
4,"WhUere is it planGed to bertm the merchant mship , NLane Victory , which MePchant Marien vetJerans are pconverting into a floating mueum ?"
