class,text
1,"the included eax support is useful at times , especially when you listen to a variety of genres , as it will adjust the equalizer for you which can be a big hassle . "
1,"eax times , you to a variety of genres , as adjust the equalizer you be a big . "
1,"the included eax , when listen to a variety genres , as it the equalizer for you big . "
0,"This is somewhat annoying, but from working with computers (espcially windows -- ugh...)"
0,"This annoying, from working with (espcially --...)"
0,"annoying, but working (espcially windows -- ugh...)"
1," It was easy to install all of the components and directions were easy to understand , even for an old guy like me ."
1," It easy all of and directions were easy , even for old ."
1," It easy to install of easy to , even guy like me ."
0,"It's oftentimes hard to get a good grip on the router, activate the chuck lock, and get enough muscle behind the wrench to get the collet loosened up."
0,"It's to get a good grip on the router, the, enough muscle behind collet."
0,"oftentimes hard to get good on the, activate the, get muscle behind get collet."
0,Buy this if you like mental challenges or trying how to pick locks.
0,if you challenges or trying how to.
0,if you like challenges or to locks.
1,"i can recommend this phone to anyone , anytime . "
1,"i can recommend to , . "
1,"recommend this phone , anytime . "
1,"However since this Router is backward compatible, that doesn't pose a problem at all.  "
1,"However this compatible, doesn't pose a all.  "
1,"Router backward, that doesn't pose problem at.  "
0,i did not managed to make creative nomad explorer to work . 
0,did not managed to make work . 
0,i not managed to nomad to . 
1, I purchased three of these Acer 19 '' at very good rates from Amazon ... we are extremely pleased with the clarity and sharpness .
1, I purchased of these Acer '' good from ... are extremely pleased sharpness .
1, purchased of '' very good rates from Amazon ... extremely with the clarity .
1,the menus are easy to navigate and the buttons are easy to use . 
1,the to navigate and the buttons easy . 
1,to navigate and buttons are easy use . 
1,1) Great audio quality overall.
1,) Great quality overall.
1,1) audio quality.
1,This is one of the best purchases we made.
1,is of best we made.
1,is one the purchases made.
1,newbies will find the full auto setting will give them perfect pictures right out of the box . 
1,newbies will give them pictures out of the box . 
1,will find setting will give them out the box . 
0,this item broke just two weeks after i gave it to my kids for christmas . 
0,item broke two weeks after i it my . 
0,just two i it to my kids for . 
0,"  If there were any complaints I have, they are marginal, but one is Apples' properietary set-up for music files, their incompatibility with other music services (i.e. Napster) is down right wrong."
0,"  any I,, but is set-up music files, their other music services (i.e. Napster) down right."
0,"  were any, they are marginal, but one, incompatibility with (i.e. Napster) is down right wrong."
1,"i must have differing preferences than others here , as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players . "
1,"i must have preferences than , i supplied earbuds sony 's i sounded other . "
1,"must differing preferences others , i prefer the to the ' i thought good on . "
1,but at least youre starting with the most photorealistic images ive ever seen from a camera . 
1,at with the most photorealistic images ive seen . 
1,but at youre starting the ive seen from . 
0,Dont rely on T-Mobile rebates.
0,Dont on rebates.
0,Dont rely T-Mobile.
1,"While the perfect ordor free diaper pail has yet to be invented, the Diaper Champ is a good as it gets."
1,"While free diaper has yet be, the Diaper is a good."
1,"perfect ordor free diaper has yet to invented, Diaper is good."
1,"to my ears , a 160 kbps wma file sounds just as good as the source cd , and the zen xtra sounds just as good as a portable cd player . "
1,"my ears , 160 kbps as good source cd , the just as as a cd player . "
1,"to , kbps wma good as the source , the zen just good as a cd player . "
1, This netbook is exactly what I want for my kids .
1, This is what I my .
1, netbook exactly what I for .
1,i quickly got to use to the interface and can find any song / playlist etc fast enough . 
1,i quickly got use to interface and can / playlist . 
1,i quickly use and can find song / etc fast . 
1,The panorama modes are wonderful.
1,The panorama modes.
1,The panorama wonderful.
0,audio on video also lacking . 
0,audio also lacking . 
0,audio on lacking . 
0,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . "
0,"relative can easily achieve with external nikon , the internal on harsh , images hot spots . "
0,"relative to what i easily achieve external flash on , flash on , flat images spots . "
0,"Personally, I may never buy Symantect products again."
0,", I buy Symantect products."
0,"Personally, may buy Symantect."
0,"navigation could be better , but there is n't really anything the zen xtra can 't do once you 've gotten comfortable with it . "
0,"better , is n't zen xtra can ' once 've gotten comfortable with it . "
0,"navigation be better , there is n't the zen 't you ' gotten with . "
1,"To set up the xbox, wap, and ethernest bridge, with the encryption on was less then 30 mins. "
1,"To set the, wap, and ethernest bridge, with encryption. "
1,"To set, wap, and, with on was 30 mins. "
1,I upgraded both my card and router and really had no problems with installation on my Sony VAIO laptop (XP operating system).  
1,I upgraded and router really had no on Sony (XP system).  
1,I upgraded card and no with installation my Sony VAIO (XP).  
1,"But it is smooth, it is powerful, it is affordable & it has a proven track record."
1,"But smooth, powerful, it is affordable & proven track."
1,"is smooth, is powerful, is & it proven track."
1, Good quality for a small portable speaker .
1, Good quality for speaker .
1, for a small portable .
1,"naturally i did quite a bit of review before purchasing ( i recomend www.nomadness.net ) , and price-wise zens are unbeatable . "
1,"naturally quite bit review ( i recomend www..net ) , and price-wise . "
1,"naturally quite review before purchasing ( i recomend.. ) , price-wise zens are . "
1,Diaper Champ is by far the best diaper pail!
1,Champ by far best pail!
1,Diaper is far the best!
0,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too . 
0,the only have found that i is to in but everyone elses too . 
0,the only that i liked that the hard to read but elses is . 
1," Assembly of the stands is very straightforward , and well detailed in the instructions ."
1," Assembly of stands straightforward , detailed in instructions ."
1," the is very straightforward , in the instructions ."
1,"No more banner ads, pop-ups, and the reliable antivirus."
1,"No banner ads, pop-ups, the."
1,"more, pop-ups, the reliable antivirus."
0,"It's important that people know the following:  First, the interface is slow."
0,"It's know the:  First, the interface."
0,"that people know:  First, the interface."
1,Picture and video quality is ok.
1,Picture is ok.
1,video quality is.
1,i have a hard time using other phones with smaller screens!!!
1,have hard time other phones smaller!!!
1,have hard using phones with screens!!!
1,"This is the mp3 player with everything I need.  As long as it lasts me a good three years, I'm satisfied.        "
1,"This is the need.  long it me a good years, satisfied.        "
1,"mp3 player I need.  As long as me a good three,.        "
1,Creating and modifying playlists is easy and clean.  
1,Creating playlists is and.  
1,and is and clean.  
1,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits . "
1,"i am at the of the raw getting this g3 ( conjunction professional flash ) , and put up the cameras limitations , never within its . "
1,"stunned amazed at of images i getting from ( in my professional ) , easily put up with cameras , because ive seen anything its limits . "
1,the auto setting does a great job most of the time but there are manual settings for those who want them . 
1,auto setting does job most of the time for those them . 
1,auto setting job most of time but there are for want . 
1,all in all suprisingly easy to use . 
1,all in suprisingly to . 
1,in easy to use . 
0, They said the product was defective and said they would send a new one .
0, They the product defective would send new .
0, said product and they would new one .
0,"when i hooked it up it only produced sound - a cd played fine , but with a dvd i only got the audio - no picture ! "
0,"i up it sound - a fine , but with dvd i only got - ! "
0,"i up it sound - a played , with a i got the - no ! "
0,after scouring the various boards i find this is an arbitrary and pervasive problem.
0,scouring the boards i find is arbitrary.
0,scouring the find this an arbitrary pervasive.
1," My 2 XBoxs , Ipod , Iphone , Ipad are all catching a nice strong signal ."
1," 2 , Ipod , Iphone , catching a strong signal ."
1," My 2 , , Iphone , Ipad all a strong ."
0,For last one month my Rebate status showing me that my rebate is apporved and check is delivered but still I am waiting for Check.
0,last month my Rebate status rebate is delivered but still I am for.
0,one month my Rebate showing me that apporved delivered still am waiting Check.
1,"I can connect to my computer via bluetooth to transfer images, calender events, contacts and anything else."
1,"can connect my bluetooth to images, events, and else."
1,"can to my computer via bluetooth, calender, and anything."
1,"6) The phone is really wide, which seems to be a turnoff for many people, but the phone is actually easier to grip and feel more ergonomic."
1,") The phone really wide, which to for, but phone actually easier to grip ergonomic."
1,"6) phone is really, which be turnoff people, but the is to and feel."
1,For the price I think this is a remarkably fun MP3 player.
1,For price I this remarkably player.
1,For the this a remarkably fun.
1, Good price !
1, Good !
1, price !
1,The setup software did everything. 
1,The software everything. 
1,software did everything. 
0,"After some research on the Net, I discovered that there is indeed a flaw with the current WRT54G design (WRT54G, version 3, which Amazon currently sells).  "
0,"After Net, discovered there is a the current WRT54G (, version 3, which currently).  "
0,"the, I that there indeed a with current WRT54G (, version 3, Amazon currently).  "
1,definetely a great camera . 
1,a great . 
1,definetely camera . 
1,"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking . "
1,"4 . shape of this is a squarer , without the better less clicking . "
1,"4 . the shape of this little , without the and less shaking while . "
1,the speakerphone works better than any speakerphone i 've ever had . 
1,speakerphone than any i ' ever had . 
1,the better any speakerphone ' ever had . 
1, The router has 4port 1gig Ethernet switch and wireless Access point AP -RRB- 802.11 n Working flawlessly !
1, The has 1gig Ethernet and wireless - 802. n flawlessly !
1, The has 1gig and wireless Access AP -RRB-.11 !
1, It has a USB port -- so you can plug in a USB-powered drive and have network-accessible storage .
1, It USB -- so plug a USB-powered drive network-accessible storage .
1, It USB port -- so plug in USB-powered and storage .
1,"i compared this to a lot of other cameras , believe me , it 's value for money . "
1,"compared of other , believe me , it ' value for . "
1,"compared to a lot other , , 's for money . "
0,"one bad thing is that it comes with a pitiful 32mb compactflash card , and for most purposes , it is not enough . "
0,"bad is it comes with 32mb , for most , it is enough . "
0,"one is it comes with a compactflash , and purposes , is not . "
1,"The sound quality is superb, much better than that of an iPod, in my opinion.  "
1,"The sound quality, that iPod, in my opinion.  "
1,"sound is, much that of an iPod, my.  "
1, I did n't get any wierd sounds from the side speakers like I did with my old front speakers .
1, get any sounds from speakers like I did my front .
1, n't get any wierd the speakers did with my front .
0,you can't do that with a Sony T610 (which i traded for a 6600).
0,that Sony (which i traded a 6600).
0,you can't do with a Sony ( traded).
0,"the software is not good either and the driver has trouble working with other sound blaster products , which is very dumb . "
0,"is not good has working with other sound blaster , is dumb . "
0,"the not good and the driver trouble with other , is very . "
1,And the video quality is amazing. 
1,And video amazing. 
1,the quality is. 
0," Others may have better luck , but I have never seen a flat-panel with such horrible viewing angles ."
0," have , but never seen a flat-panel such horrible angles ."
0," may better , I have seen a flat-panel such horrible ."
0," If you want good sound , STAY AWAY !!!"
0," If you sound , AWAY !!!"
0," good sound , STAY AWAY !!!"
0,"The Creative MediaSource software that comes with the Zen Micro is cluttered, and excludes my favorite feature in iTunes, the ability to automatically copy everything you import into a certain folder. "
0,"Creative MediaSource that with the Zen Micro, excludes my feature in iTunes, the ability to everything. "
0,"The MediaSource software that comes with Zen, and excludes my feature iTunes, ability copy you into. "
0, The new router worked well for 2 months after which it had failed .
0, The new well for months had failed .
0, for 2 months after it had failed .
1," However , I now have it running nicely and it produces a nice picture ."
1," However , I have it a nice picture ."
1," However , now it and it produces a ."
0,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful."
0,"I have used the 5 the last, the software has gotten disgraceful."
0,"have for past 5 years and for the last 2 years, software."
1,i have not been disappointed with my purchase . 
1,i disappointed with my . 
1,i have disappointed purchase . 
1,* slick-looking design and improved interface 
1,* slick-looking design and 
1,* slick-looking improved interface 
0," I do n't think the external switch is much of a feature because in the end , you have to learn how to identify IP addresses , switch the router from from a dynamic to static IP address , and assign a static IP address that is compatible with your router or modem ."
0," I is much a because in end , you have how to addresses , router from from to IP , and a static IP address is or modem ."
0," I n't the external is much of a because end , you have learn , switch the from to static IP , a that compatible with router or ."
1,  The ease of use of the iPod is a major attribute.
1,  The use iPod is a major.
1,  of use is a major attribute.
1,"the system is terrific in size and design , imo looking better than the ipods . "
1,"system and design , imo looking than ipods . "
1,"terrific in size , imo than the ipods . "
0,this is ridiculous . 
0,this is . 
0,this ridiculous . 
0,You can upgrade but then there's a certain level of trouble involved.
0,You can upgrade there's of involved.
0,can but then certain of trouble.
1,Using your own bags is much cheaper and convenient.
1,your bags much cheaper and.
1,your own much cheaper and.
1,"I also like the lock feature, so it makes the touch pad inactive.   "
1,"I the lock feature, makes the inactive.   "
1,"also like lock, it the pad inactive.   "
1," Here are my observations : Pros : + Folding ; these have a very clever design that allows them to fold in to a small cube for easy transporting + Good Sound ; produces fairly good sound at all but the highest volume levels -LRB- see `` Cons '' , below -RRB- , at least to my untrained ear + Universal Connector ; the unit uses a standard mini connector , so this can be used with all of MP3 players + Power Options ; comes with a USB power cable or it can use 4 x AAA batteries ."
1," Here are : : + Folding ; these a design allows them fold in to a small for easy + Good Sound ; produces fairly at highest levels - '' , below - , at least to ear + Universal ; unit uses , this can used of MP3 players + ; with a USB or it use batteries ."
1," my : Pros : + ; clever them fold in to a for easy transporting + ; produces fairly good at volume levels -LRB- `` '' , -RRB- , least to + Universal ; the unit a mini connector , so can be used all players + Options ; with a power cable it 4 AAA batteries ."
1,"Best phone i've ever owned, period."
1,"Best i've ever,."
1,"Best phone i've,."
0,"i 've attempted to connect this unit to several different tvs , using a multitude of connection methods , and i still can 't get a video signal from the machine . "
0,"'ve connect unit several tvs , of connection methods , and can 't get a video the . "
0,"i 've to connect to several , using connection methods , still ' a signal from the machine . "
0,- some features in the user interface 
0,- features in the 
0,- some user interface 
1,"Initially these phones were fun to play with some of the cool features like the speaker phone, web browser and ofcourse the built in camera."
1,"phones fun to with some like speaker, web and ofcourse built in camera."
1,"these were play with of the cool like phone, browser and ofcourse built."
0,the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case . 
0,the zen could a little archos jukeboxes or of shock . 
0,zen could use construction the archos jukeboxes or kind resistant . 
0," The problem is that the fastest speed anything has connected to it has been around 72MB\/s , even when in the same room ."
0," The the fastest to it been\/s , even when the same room ."
0," is that fastest has connected to been around\/ , even in the same ."
