class,text
0, My only complaint to date is that it dropped the security settings once and I am not sure why ; do n't know if it was something that I did or if it was a malfunction of the router .
0, My only complaint to date is that it dropped the security settings once and I am not sure why ; do n't know if it was something that I did or if it was a malfunction of the router .
0, My only complaint to date is that it dropped the security settings once and I'm not sure why ; do n't know if it was something that I did or if it was a malfunction of the router .
0," First, let me say that I got the 20gb iPod for Christmas, and I most likely would not have spent the $300 myself. "
0," First, let me say that I got the 20gb iPod for Christmas, and I most likely wouldn't have spent the $167 myself. "
0," First, let me say that I got the 20gb iPod for Christmas, and I most likely wouldn't have spent the $349 myself. "
1," - If you want loud , boomy bass , this does the job very well for a computer speaker -LRB- no , these are n't going to hit as hard as larger power-guzzling woofers , but they perform as nice as or better than many home theater woofers I 've heard -RRB- ."
1," - If you want loud , boomy bass , this does the job very well for a computer speaker -LRB- no , these are n't going to hit as hard as larger power-guzzling woofers , but they perform as nice as or better than many home theater woofers I 've heard -RRB- ."
1,"I don't know if we'll run into trouble down the road with odors, but so far I have no complaints and I'm very happy not to have to buy those refills."
1,"I do not know if we will run into trouble down the road with odors, but so far I've no complaints and I am very happy not to have to buy those refills."
1,"I do not know if we'll run into trouble down the road with odors, but so far I've no complaints and I am very happy not to have to buy those refills."
0,"The next problem was that it didn't recognize all the installed components, so it would not update them, most notably and importantly, virus definitions."
0,"The next problem was that it did not recognize all the installed components, so it would not update them, most notably and importantly, virus definitions."
0,"The next problem was that it did not recognize all the installed components, so it wouldn't update them, most notably and importantly, virus definitions."
0,"I tried it again this morning and it said I didn't have the required ""permissions"" and lacked proper administrator status."
0,"I tried it again this morning and it said I did not have the required ""permissions"" and lacked proper administrator status."
0,"I tried it again this morning and it said I didn't have the required ""permissions"" and lacked proper administrator status."
0,"If someone asked me flat out, i'd say to go woth something else.      "
0,"If someone asked me flat out, i would say to go woth something else.      "
0,"If someone asked me flat out, i'd say to go woth something else.      "
1,"12 ) big storage - my entire cd collection in one small device ( 5717 songs , 491 albums and counting ) ! "
1,"7 ) big storage - my entire cd collection in two small device ( 2055 songs , 171 albums and counting ) ! "
1,"9 ) big storage - my entire cd collection in two small device ( 7912 songs , 275 albums and counting ) ! "
1,The radio and voice recording are nice. 
1,The radio and voice recording are nice. 
1,It feels tiny in the hand without it. 
1,It feels tiny in the hand without it. 
0,"The SD500 has only been in my possession for a little over 3 months, and the LCD has been broken twice. "
0,"The SD500 has only been in my possession for a little over 2 months, and the LCD has been broken twice. "
0,"The SD500 has only been in my possession for a little over 4 months, and the LCD has been broken twice. "
0,"The Creative MediaSource software that comes with the Zen Micro is cluttered, and excludes my favorite feature in iTunes, the ability to automatically copy everything you import into a certain folder. "
0,"The Creative MediaSource software that comes with the Zen Micro is cluttered, and excludes my favorite feature in iTunes, the ability to automatically copy everything you import into a certain folder. "
0,These people takes lest effort to process rebate forms.
0,These people takes lest effort to process rebate forms.
1,"I compared it to other CD players (Two models of Panasonic, Rio & samsung) and they were no way even near Zen Micro.  "
1,"I compared it to other CD players (Two models of Panasonic, Rio & samsung) and they were no way even near Zen Micro.  "
1,Their customer service agents are always prompt and polite and my service is terrific.
1,Their customer service agents are always prompt and polite and my service is terrific.
0,- included creative software is pretty poor . 
0,- included creative software is pretty poor . 
1,the appearance is okayed ( at least not ugly ) . 
1,the appearance is okayed ( at least not ugly ) . 
0,2) Phone is awfully slow.
0,2) Phone is awfully slow.
0,I replaced it with a Router Raizer and it works much better.
0,I replaced it with a Router Raizer and it works much better.
0,"f ) it doesnt look pretty -- spending this kind of cash , you want something that has the asthetics bit down , of course "
0,"f ) it doesnt look pretty -- spending this kind of cash , you want something that has the asthetics bit down , of course "
0,"Although, I thought it could've been designed a bit better.  "
0,"Although, I thought it could have been designed a bit better.  "
0,"Although, I thought it could've been designed a bit better.  "
1,It was so easy my toddler would dispose of her on diapers.
1,It was so easy my toddler would dispose of her on diapers.
1,the lcd screen was very large and readable . 
1,the lcd screen was very large and readable . 
0,"it feels slow to focus , and unbearably slow to shoot . "
0,"it feels slow to focus , and unbearably slow to shoot . "
1,") The Zen Micro appears sturdy and well constructed, hefty, if you will, far better than many of its competitors. . "
1,") The Zen Micro appears sturdy and well constructed, hefty, if you will, far better than many of its competitors. . "
1,") The Zen Micro appears sturdy and well constructed, hefty, if you'll, far better than many of its competitors. . "
1,"the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . "
1,"the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . "
0,"If you have no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly."
0,"If you have no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly."
0,"If you've no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly."
1,But this DOES work even if you turn off the LCD viewing -- great  battery saver.
1,But this DOES work even if you turn off the LCD viewing -- great  battery saver.
1,"yes , i recommend it over the competition . "
1,"yes , i recommend it over the competition . "
0, They offered to replace my controller but -- important to note -- they were unwilling to cross-ship it .
0, They offered to replace my controller but -- important to note -- they were unwilling to cross-ship it .
0,the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . 
0,the g3 had problems focusing in low light and would not take the picture when the shutter was pressed but after the shutter had been released a few seconds . 
0,the g3 had problems focusing in low light and wouldn't take the picture when the shutter was pressed but after the shutter had been released a few seconds . 
1, Music sounds great but having surround sound in game is nice and a big difference from headphones .
1, Music sounds great but having surround sound in game is nice and a big difference from headphones .
1,"longer battery life , greater accessibility to online music services , and pc compatibility are the sensibilities . "
1,"longer battery life , greater accessibility to online music services , and pc compatibility are the sensibilities . "
1,- very long-lasting battery life 
1,- very long-lasting battery life 
0,"Even when I set it to low, it's still very hard for me to adjust the player to where and what I want it to do.  "
0,"Even when I set it to low, it is still very hard for me to adjust the player to where and what I want it to do.  "
0,"Even when I set it to low, it's still very hard for me to adjust the player to where and what I want it to do.  "
1,"The interface, while a bit confusing at first, is very easy to navigate after about 15 minutes.  "
1,"The interface, while a bit confusing at first, is very easy to navigate after about 16 minutes.  "
1,"The interface, while a bit confusing at first, is very easy to navigate after about 5 minutes.  "
1,1 . i achieved my basic objective ; my entire cd collection is on a portable device with lots of room to store more . 
1,1 . i achieved my basic objective ; my entire cd collection is on a portable device with lots of room to store more . 
1,2 . i achieved my basic objective ; my entire cd collection is on a portable device with lots of room to store more . 
1, The technical support phone line was responsible for my giving technical support 4 stars .
1, The technical support phone line was responsible for my giving technical support 4 stars .
1,Both the on/off switch (soft start) and the depth lock are within easy reach of the right hand.
1,Both the on/off switch (soft start) and the depth lock are within easy reach of the right hand.
0,I even downloaded the product's user manual - useless. 
0,I even downloaded the product's user manual - useless. 
1,"ripping the songs , even with my 1.1 usb connection is still very quick , and the quality is very good . "
1,"ripping the songs , even with my 1.2 usb connection is still very quick , and the quality is very good . "
1,"ripping the songs , even with my 2.2 usb connection is still very quick , and the quality is very good . "
1,"because of it 's hidden features ( no macrovision , non-regional ) i keep this baby around to watch non-american region dvd 's . "
1,"because of it 's hidden features ( no macrovision , non-regional ) i keep this baby around to watch non-american region dvd 's . "
1,I actually took a friends word on it and went with this Champ when registering and I am glad I did.
1,I actually took a friends word on it and went with this Champ when registering and I am glad I did.
1,I actually took a friends word on it and went with this Champ when registering and I'm glad I did.
1,The setup was very easy. 
1,The setup was very easy. 
1, We like Acer products and this one does n't disappoint .
1, We like Acer products and this one does n't disappoint .
1, We like Acer products and this two does n't disappoint .
1,The darn thing works as promised and it's amazingly cheap too. 
1,The darn thing works as promised and it is amazingly cheap too. 
1,The darn thing works as promised and it's amazingly cheap too. 
0,Still has terrible software.  
0,Still has terrible software.  
1,"with eax on , you can modify your sound , with 4 different presets , which is pretty good , you can get different variations with it . "
1,"with eax on , you can modify your sound , with 4 different presets , which is pretty good , you can get different variations with it . "
0,"Not a killer problem, but not well done, either."
0,"Not a killer problem, but not well done, either."
1," Sound quality is great , bass quality is beyond good ."
1," Sound quality is great , bass quality is beyond good ."
1,*holds the odor in nicely!
1,*holds the odor in nicely!
0,"If you buying this player to use with Napster to Go, wait a while. "
0,"If you buying this player to use with Napster to Go, wait a while. "
1, I really enjoy this product .
1, I really enjoy this product .
0,The battery life can't be very long; let's not be greedy.
0,The battery life can't be very long; let's not be greedy.
0,The battery life cannot be very long; let's not be greedy.
1,The arm band is fantastic and it doesn't budge even at the gym.  
1,The arm band is fantastic and it does not budge even at the gym.  
1,The arm band is fantastic and it doesn't budge even at the gym.  
1, You should use the firmware on the DD-WRT website instead .
1, You should use the firmware on the DD-WRT website instead .
1,"the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery . "
1,"the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery . "
1,I had a Sony ericsson T610 before this and the T610 is far inferior.
1,I had a Sony ericsson T610 before this and the T610 is far inferior.
1,but for what i do use it is perfect . 
1,but for what i do use it is perfect . 
1,but for what i do use it's perfect . 
0,"the software , mediasource , cannot work on my pc . ( laptop , intel p4-2.0 , xp os ) . "
0,"the software , mediasource , cannot work on my pc . ( laptop , intel p4-2.0 , xp os ) . "
1,And the phone has a very cool feature wich allows you to send images via a normal POP3/SMTP e-mail account.
1,And the phone has a very cool feature wich allows you to send images via a normal POP3/SMTP e-mail account.
0,i gave it only 3 stars due to the fact that the 1st one broke when i dropped it from a fairly short distance ( less than 2 ft ) . 
0,i gave it only 5 stars due to the fact that the 1st two broke when i dropped it from a fairly short distance ( less than 2 ft ) . 
0,i gave it only 6 stars due to the fact that the 1st two broke when i dropped it from a fairly short distance ( less than 2 ft ) . 
1,and we still LOVE it!
1,and we still LOVE it!
1,"the zx boasts superior sound quality than the ipod , however it compromises a bit of the unit 's size in doing so . "
1,"the zx boasts superior sound quality than the ipod , however it compromises a bit of the unit 's size in doing so . "
1,"overall , i highly recommend this phone . "
1,"overall , i highly recommend this phone . "
1,"This router acts as a wireless access point, 100 MB switch and a router making it a nice multipurpose device.  "
1,"This router acts as a wireless access point, 134 MB switch and a router making it a nice multipurpose device.  "
1,"This router acts as a wireless access point, 197 MB switch and a router making it a nice multipurpose device.  "
1,"But like I stated, its better then a trash can, but I'm not sure if its better then the Diaper Genie."
