class,text
1,possibly the biggest advantage this player has ( if price was n't enough ) is the fact that the user can replace the battery him / herself by opening the lid and popping in the new battery . 
1,possibly the biggest advantage this player has (if the price was not enough) is the fact that the user can replace the battery by opening the lid and jumping over the new battery.
1,possibly the biggest advantage this player has (if the price was not enough) is the fact that the user can replace the battery itself by opening the lid and jumping on the new battery.
1,"I could probably use a trash can and be ok at this point, but this prduct seems to work very well so far."
1,"I could probably use a garbage can and be fine at this point, but this product seems to work very well so far."
1,"I could probably use a trash can and be ok at this point, but this prduct seems to work very well so far."
0,2 the battery life seems to be on the short side but adequate for most situations . 
0,"2 battery life seems to be on the short side, but suitable for most situations."
0,2 the battery life seems to be on the short side but adequate for most situations . 
0,"it is slightly larger than an ipod , no doubt about it . "
0,"It's a little bigger than an ipod, no doubt."
0,"It's slightly bigger than an ipod, no doubt."
1,I got the diaper champ because of the great reviews as well as the fact that you can use regular garbage bags.
1,"I got the diaper champion for the big reviews, as well as the fact that you can use regular garbage bags."
1,"I have the diaper champion for the big reviews, as well as the fact that you can use regular garbage bags."
1, This machine will change your whole idea of what a laptop should be .
1, This machine will change your whole idea of what a laptop should be .
1,This machine will change your whole idea of what a laptop should be.
1,i bought the player this week and i like it by far . 
1,I bought the player this week and I like him very much.
1,I bought the player this week and I like it a long way.
1,Battery : A Big Big plus. 
1,Battery : A Big Big plus. 
1,Battery: One more Big Big.
1,This was possible due to the variable speed settings for any sized bit.
1,This was possible due to the variable speed settings for any sized bit.
1,This was possible due to variable speed settings for any bit size.
1,"Other than that, the simbian series 60 OS is great and offers lots of proprietary software that will work on your phone if you're willing to hunt for it."
1,"Apart from that, the 60 OS symbian series is great and offers a lot of proprietary software that will work on your phone if you are willing to hunt for it."
1,"Other than that, the simbian series 60 OS is great and offers lots of proprietary software that will work on your phone if you're willing to hunt for it."
1,9 ) wake-up feature that allows you to set up the player to wake up and play selected music at a specified time . 
1,9 ) wake up function that allows you to configure the player to wake up and play selected music at a given time.
1,9 ) wake-up feature that allows you to set up the player to wake up and play selected music at a specified time . 
0,have had problems since the first day 
0,have had problems since the first day
0,have had problems since the first day 
1,the radio feature has superb sound quality . 
1,the radio function has an excellent sound quality.
1,the radio function has excellent sound quality.
1,". iTunes-- this is a love-hate relationship program; usually people with Mac like this program than people with a PC, but depending on your computer expertise, this could be a difficult program to use, and it is required for an iPod. "
1,". iTunes--this is a love-hate relationship program; usually people with Mac like this program than people with a PC, but depending on the experience of your computer, this could be a hard-to-use program, and it's needed for an iPod."
1,". iTunes--this is a love-hate relationship program; usually people with Mac like this program than people with a PC, but depending on your computer experience, this could be a hard-to-use program, and it's needed for an iPod."
1,"the menus and features are easy to manipulate and access , and it takes silent movies . "
1,"menus and features are easy to manipulate and access, and silent movies are needed."
1,"the menus and features are easy to manipulate and access , and it takes silent movies . "
1," Also , it was very easy to set up a route to my WAMP server as the process was exactly the same as my old NetGear ."
1,"Also, it was very easy to set up a route to my WAMP server as the process was exactly the same as my old NetGear."
1,"In addition, it was very easy to set up a route to my WAMP server as the process was exactly the same as my old NetGear."
0,This is due to the unusually slow autofocus system.
0,This is due to the unusually slow autofocus system.
0,This is due to the unusually slow autofocus system.
0,the quick sync is n't any good becuase it either needs to be configured properly or just is n't very useful . 
0,fast synchronization is no good because it needs to be configured correctly or simply is not very useful.
0,fast synchronization is not good because it needs to be configured correctly or simply is not very useful.
0,i bought 2 of this model for christmas presents and neither one of them work ! 
0,I bought 2 of this model for Christmas gifts and none of them works!
0,i bought 2 of this model for christmas presents and neither one of them work ! 
1, Battery last longer too .
1, Battery last longer too .
1,The battery lasts longer too.
1," I took a chance with this new product and am pleased , except in six months it will cost half of what I paid , but that 's the price for current state of the art ."
1,"I took advantage of an opportunity with this new product and I am satisfied, except in six months it will cost half of what I have paid, but that is the price for the current state of the art."
1,"I took advantage of an opportunity with this new product and I am satisfied, except that in six months it will cost half of what I have paid, but that is the price for the current state of the art."
0,"Although I disabled Norton AntiSpam, it is still there."
0,"Although I disabled Norton AntiSpam, it is still there."
0,"Although I disabled Norton AntiSpam, it's still there."
1,8. Connected the phone to my tablet pc and now can access company VPN at 56k speed via bluetooth.
1,8. Connected the phone to my PC tablet and now you can access the company's VPN at a speed of 56k via bluetooth.
1,8. He connected the phone to my pc tablet and now he can access the company's VPN at a speed of 56k via bluetooth.
1,the program is called Gnomad and works great for me and seems to cover all the features the included windows sofware does. 
1,The program is called Gnomad and works very well for me and seems to cover all the features of the windows including Sofware does.
1,The program is called Gnomad and works very well for me and seems to cover all the features of the windows including Sofware makes.
1,"Solid, squeak-free, large screen."
1,"Massif, no squeaks, big screen."
1,"Solid, squeak-free, large screen."
1,excellent range of metering options as well . 
1,excellent range of measurement options as well.
1,excellent range of metering options as well . 
1,I like the speed control.
1,I like speed control.
1,I like the speed control.
1," This is an outstanding product , one that lives up to the PR ."
1,"This is an exceptional product, which complies with public relations."
1,"This is an outstanding product, one that complies with public relations."
1,"software is easy to use ( although redhat software is better , but costs money ) "
1,"software is easy to use (although redhat software is better, but it costs money )"
1,"software is easy to use (although redhat software is better, but it costs money)"
1,zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod . 
1,Zennx's replaceable battery was the decisive factor in my purchase of Zennx on iPod.
1,Zennx's replaceable battery was the decisive factor in my purchase of Zennx over iPod.
1,the design and construction are excellent -- as is the legendary quality of the nikon optics . 
1,design and construction are excellent -- just like the legendary quality of nikon optics.
1,the design and construction are excellent -- as is the legendary quality of the nikon optics . 
1,"Overall, if you know what basic steps to take, it was not difficult to connect, and the s/w worked well to connect.  "
1,"In general, if you know what basic steps to take, it was not difficult to connect, and the s/w worked well to connect."
1,"Overall, if you know what basic steps to take, it was not difficult to connect, and the s/w worked well to connect.  "
1,actually using the nomad jukebox is easy and uncomplicated . 
1,actually using the nomad jukebox is easy and uncomplicated . 
1,really the use of nomadic jukebox is easy and simple.
0,"It takes a while to learn how to use it right, and at this point I am able to make about 70% of my calls using it."
0,"It takes a while to learn how to use it right, and at this point I am able to make about 70% of my calls using it."
0,"It takes a while to learn how to use it well, and at this point I'm able to make about 70% of my calls using it."
1," Well , I can not complain about the volume , bass or mounting abilities of the system ."
1,"Well, I can't complain about the volume, the low capacity or system assembly."
1,"Well, I can't complain about the volume, the low capacity or the installation of the system."
1,"the lcd is larger than the previous model , the nx , and has a bright blue backlight which illuminates the screen more successfully than the nx 's green backlight did . "
1,"The lcd is larger than the previous model, the nx, and has a bright blue backlight that illuminates the screen more successfully than the green backlight of the nx made."
1,"the lcd is larger than the previous model , the nx , and has a bright blue backlight which illuminates the screen more successfully than the nx 's green backlight did . "
1," For the price , the sound is great and their portability -LRB- pack down to a large egg-shape -RRB- is quite good ."
1,"For the price, the sound is great and its portability -LRB- packaging up to a great form of egg -RRB- is quite good."
1,"For the price, the sound is great and its portability -LRB- packed up to a great form of egg -RRB- is quite good."
