class,text
5,How many Beatles ' records went #1 ?
5,or many so ' or went in ?
5,venerable many me ' or went to ?
4,What canal does the Thatcher Ferry Bridge span ?
4,what canal the the thatcher bridge bridge bridge ?
4,what canal has the thatcher bridge bridge bridge ?
3,What character in The Beverly Hillbillies has the given names Daisy Moses ?
3,what performance in the divorced hillicies has the given names daisy and ?
3,what heroine in the family hill archersies has the given names daisy meaning ?
1,What does God create in the first sentence of the Bible ?
1,", does god create in the first sentence of the subject ?"
1,now does god create in the first sentence of the bible ?
5,How long does the average domesticated ferret live ?
5,how long does the average regularated wonder ! ? ?
5,how long does the average evolutionaryated ! or ? ?
3,What hard-of hearing artist painted Sunflowers ?
3,what hard - of sang artist - orflowers ?
3,what hard - of hearing artist . spaflowers ?
4,What are the two cities in Dicken 's `` A Tale of Two Cities '' ?
4,what are the two cities in dicken ' s ` ` a tale of two cities ' ' ?
4,what are the two cities in dicken ' s ` ` a tale of two cities ' ' ?
3,Who is Robin Williams ?
3,who etc robin williams yes
3,who is robin williams ?
3,What people make up half the Soviet Union 's population ?
3,... ! think up half the european union ' s population ?
3,? ! make up half the perfect union ' s population ?
5,How many years of schooling after highschool does it take to become a neurosurgeon ?
5,how many years of schooling after highschool does it take to be a neurosurgeon ?
5,how many years of schooling after highschool does it take to become a wonderuro -geon ?
0,What is the history of yo-yos ?
0,what is the history of yo - twos ?
0,why is the history of yo - sos ?
3,What National League baseball team employed 72 third baseemen in its first 2 seasons ?
3,- national league baseball team employs or 3rd (emens in its first 2 seasons ?
3,. national league baseball team employ 72 third -emen in its first 2 seasons ?
0,How do I give a good massage ?
0,how for i to a ? massage ?
0,how how i ! a ? massage ?
0,How do I tie dye clothes ?
0,immune do i ? dye clothes ?
0,( do i banks dye clothes ?
0,What is magnetar ?
0,what is magnet but ?
0,what is magnet ! !
3,What Italian leader had a lifelong fear of the evil eye ?
3,what korean part had a lifelong fear of the evil ( ?
3,what declared leader had a lifelong fear of the evil attack ?
3,Who was the first American world chess champion ?
3,said was the first shot world chess champion ?
3,right to the first and world chess champion ?
5,How much money does the Sultan of Brunei have ?
5,fits ? money does the sultan of brunei have ?
5,? how money does the sultan of ? have ?
5,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?
5,at more colors was the 1940s collectible called a donald duck ! boat ?
5,tennis many colors was the 1940s collectible called a disney duck ! boat ?
3,Who developed the first polio vaccine ?
3,manager and the first teenio impact ?
3,"and and the first teenio , ?"
1,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?
1,... was the name of the u . s . navy gun . in the film the sand ! ?
1,in was the name of the u . s . navy gun # in the film the sand ? ?
1,What trophy is awarded to the winners of the Super Bowl ?
1,what ) is awarded to the winners of the super bowl ?
1,what ( is awarded to the winners of the super bowl ?
0,What is a pig in a poke ?
0,what is a most in a ? ?
0,what is a pig in a balloon ?
0,How is saline used in medicine ?
0,how is girls used in medicine ?
0,how ： right used in medicine ?
0,What does storm wave mean in Japanese ?
0,what does crossed . mean in the ?
0,what does - from mean in to ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
5,how small chairs are shown in vincent van gogh ' s house work the artist ' s room in arles ?
5,how method chairs are shown in vincent van gogh ' s cosmetics work the artist ' s room in arles ?
3,Whom did the Chicago Bulls beat in the 1993 championship ?
3,mystery did the ruling bulls beat in the world championship ?
3,? did the with bulls beat in the fashion championship ?
0,For what reason did the Shea & Gould law firm close their L.A. office ?
0,for what reason did the shea and gould law firm jump their l . a . office ?
0,for what reason did the shea & gould law firm stop their l . a . office ?
1,What Broadway musical was inspired by Cervantes 's Don Quixote ?
1,/ and musical was inspired by cervantes ' s don quixote ?
1,", newest musical was inspired by cervantes ' s don quixote !"
0,What is a bone marrow transplant meant for ?
0,what is to bone ! transplant meant for ?
0,what is - bone - transplant meant for ?
0,Why is Rush 's 2112 called 2112 ?
0,why is rush ' s just2 called 2112 ?
0,"why is rush ' s ,2 called 2112 ?"
0,How is energy created ?
0,su is ? created ?
0,- is ! created ?
5,What is the most number of goals scored by a single team in an NHL hockey game ?
5,on is the total number of goals total by a single team in an nhl hockey game ?
5,... is the highest number of goals total by a single team in an nhl hockey game ?
5,What is the fine for having a dog on a beach ?
5,what is the also for having a pig on a beach ?
5,what is the question for having a change on a beach ?
1,What horse did Zorro ride ?
1,ing horse ? zorro big ?
1,and horse while zorro riders ?
1,What is a fear of drinking ?
1,what is a fear of drinking -
1,what is a fear of drinking ?
3,Name a canine cartoon character other than Huckleberry Hound to have a voice by Daws Butler .
3,. a cartoon cartoon character version than huckleberry hound to have a voice by .ws . .
3,. a cartoon cartoon character other as huckleberry hound to have a voice by daws duck .
5,How big is the Chappellet vineyard ?
5,how big is the chaletlet vineyard ?
5,how big is the chaplelet vineyard ?
1,What whisky is `` known by the company it keeps '' ?
1,"what whisky is ` ' known by the company it keeps . ' """
1,what whisky is ` ` ' by the company it keeps ! . and
3,What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
3,"what "" league baseball team ' s worst finish over 1926 and 1964 was fourth ?"
3,what these league baseball team ' s worst finish between 1926 and 1964 is fourth ?
0,What is probability theory ?
0,mankind is no theory ?
0,tv is - theory ?
4,What Russian seaport has a name meaning `` Lord of the East '' ?
4,"what - seaport has a name meaning "" | lord of the / ' ' ?"
4,"what russian seaport has a name meaning "" [ lord of the . ' ' ?"
3,What piano company claims its product is the `` Instrument of the immortals '' ?
3,"? ? company says its product is the ` ` instrument of the immortals ' , ?"
3,". gps company claims its product is the ` ` instruments of the immortals ' "" ?"
3,What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?
3,! is the name of the american who was captured when his flight jumping won over french - held lebanon ?
3,! is the name of the american who was captured when his over fell up over chinese - held lebanon ?
1,What religion has the most members ?
1,what religion has the most members ?
1,what religion has the most point ?
1,Which comic book was not spawned directly from the pulp magazines ?
1,which comic book was not spawned - from the pulp magazines ?
1,which this book were not spawned any from the pulp magazines ?
1,What are the main blood vessels ?
1,what were of so blood vessels ?
1,what are the not blood vessels ?
3,What famous comedian recently tried without success to revive the play ?
3,what famous seo recently tried without success to revive the play ?
3,what famous celebrities recently tried without crisis to get the play ?
4,What is the geographical center of the US including Alaska and Hawaii ?
4,what is the geographical center of the us including alaska and ? ?
4,what is the the center of the us including alaska and in ?
0,How can you define time ?
0,how can you define means )
0,how stable you defineve ?
4,What North American city boasts the biggest Polish population ?
4,think seo american city with the biggest polish current ?
4,hint ! american city in the biggest polish problem ?
1,What D.H. Lawrence novel was originally titled Tenderness ?
1,what d . h . lawrence novel was originally titled tenderness ?
1,what d . n . lawrence novel was originally titled tenderness ?
0,How do you identify prime numbers ?
0,how could to identify prime ! ?
0,how ! ? identify prime number ?
3,"Who wrote the book , `` Huckleberry Finn '' ?"
3,"who . the book , ` ` ? : - finn ' ' ?"
3,"who . the book , ` ` ! picks buster finn ' ' ?"
0,What is a Mexican hairless ?
0,what is a mexican hairless !
0,what is a mexican hairless ?
1,What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?
1,! ( and a show regular came into the world as tadeus wladys wonder toynopka ?
1,as (a playhouse show regular came into the world as tadeus wladys - konopka ?
0,How can I trace my family roots ?
0,how can i grow my family roots ?
0,"how "" i ah my family roots ?"
0,What 's the meaning of UOL ?
0,much ' s the meaning of ?ol ?
0,. ' s the meaning of₁ol ?
1,What is the medical term for cancer of the blood ?
1,"like is the medical "" for cancer of the ? ?"
1,? is the medical magazine for cancer of the blood ?
3,Who is stationed at Camp Swampy in the comic strips ?
3,who - stationed at camp swampy in the comicever ?
3,who . stationed at camp swampy in the comic streaks ?
4,Where is Belize located ?
4,where is squealed located ?
4,where is ? located ?
5,When did beethoven die ?
5,） did beethoven ! ?
5,quickly did beethoven snow ?
1,What toy can you make sleep ?
1,of toy can with make - ?
1,from toy can classical make leap ?
1,What does a topophobic actor suffer from ?
1,! does a topophobic actor snorted ? ?
1,! is a topophobic actor - from ?
1,What animal has the best hearing ?
1,what animal has the best single -
1,what animal has the best bat ?
5,How many John Deere tractors have been manufactured ?
5,how but stable lawe ... have been : ?
5,how - former peacee and have been and ?
0,What is Olestra ?
0,", not olestra ?"
0,1820 ! olestra ?
0,What is Bombay duck ?
0,##df is bombay g ?
0,is is bombay ) ?
3,What astronomer-architect designed the present St. Paul 's Cathedral in London ?
3,- astronomer - architect of the cathedral st . paul ' s cathedral in london ?
3,- astronomer - architect - the reform st . paul ' s cathedral in london ?
1,What James Michener book is subtitled Spanish Travels and Reflections ?
1,"not not michener book is sub : spanish , and reflections ?"
1,by the michener book is sub titled spanish habits and reflections ...
1,What is considered the costliest disaster the insurance industry has ever faced ?
1,what ? infinite the costliest disaster the insurance industry has ever since ?
1,what ? it the costiest disaster the insurance academy has ever ! ?
3,What Mexican leader was shot dead in 1923 ?
3,girls . leader was shot dead in time ?
