class,text
0,What is Remembrance Day all about ?
0,What is all ?
0,What does a red flag mean in auto racing ?
0,a red flag mean auto ?
4,Name the country of giants twelve times the size of man in `` Gulliver 's Travels . ''
4,Name giants twelve times the of 's Travels . ''
1,What nutrients are for healthy bones and teeth ?
1,What for bones teeth ?
1,What are some of the significant historical events of the 1990s ?
1,What some of significant events of ?
0,What do the 12 days of Christmas mean ?
0,the days of Christmas ?
3,Who made the largest cocaine seizure in Ventura County history ?
3,largest cocaine seizure in history ?
3,Name the U.S. Senate majority leader and the Speaker of the House .
3,Name.. Senate leader and Speaker of House .
1,Where is the human skin least sensitive ?
1,human skin least sensitive ?
3,What kind of women gave Sigmund Freud erotic dreams ?
3,What of Sigmund Freud dreams ?
0,How did Lee Harvey Oswald purchase his rifle ?
0,did Lee purchase his ?
3,Who was the first man to return to space ?
3,Who was first to space ?
4,"Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?"
4,"Where can up-to-date ocean temperature information , preferably North Caribbean ?"
3,What is the name of Dolly Parton 's rarely seen husband ?
3,What the Dolly Parton 's seen ?
1,What are dinosaur droppings called ?
1,What dinosaur droppings ?
5,How long was the longest hiccup attack ?
5,How was longest attack ?
0,"What was the claim to fame of the football game that saw Fordham defeat Waynesburg State 12601 on September 3 , 1939 ?"
0,"was the claim of game that saw State 12601 on September , ?"
1,What does a chiropodist treat ?
1,a chiropodist treat ?
1,What is the most heavily caffeinated soft drink ?
1,the most heavily caffeinated ?
4,What city is . KDGE Radio located in ?
4,What is . KDGE in ?
4,What island was the target of the U.S. 's Operation Urgent Fury ?
4,was target the U.S. ' Operation Fury ?
5,How many years ago did the ship Titanic sink ?
5,How many years did sink ?
3,Who is Samuel Pickering ?
3,Who Samuel ?
4,What U.S. state ends with a G ?
4,.S. ends with a ?
3,Who portrayed Carl Bernstein in All the President 's Men ?
3,portrayed Bernstein President 's Men ?
3,Who invented Make-up ?
3,Who invented ?
4,What country did the Mau Mau Uprising take place in ?
4,What the Mau Uprising in ?
3,Who portrayed the title character in the film The Day of the Jackal ?
3,Who the in The Day the Jackal ?
3,Who did Jackie Kennedy commission to write The Death of a President ?
3,Jackie Kennedy commission to Death of ?
4,Where is McCarren Airport located ?
4,Where is located ?
3,Who developed potlatch ?
3,developed potlatch ?
1,In what war was the first submarine used ?
1,In war the submarine ?
1,What are the main blood vessels ?
1,What are vessels ?
1,What are the three animals in Sheila Burnford 's The Incredible Journey ?
1,three animals in Sheila Burnford 's ?
4,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?
4,I a list in America that direct stock purchase plan ?
4,What botanical marvel did Nebuchadnezzar build ?
4,marvel did Nebuchadnezzar ?
1,"What Broadway musical featured the song , `` If I were a rich man ? ''"
1,"What musical featured , If I rich man ? ''"
0,What does `` antidisestablishmentarianism '' mean ?
0,does antidisestablishmentarianism '' mean ?
3,Who was the prophet of the Muslim people ?
3,Who the Muslim people ?
0,What caused the death of Bob Marley ?
0,What of Bob Marley ?
4,What Russian city used to be called St. Petersburg and Petrograd ?
4,city used to called St. Petrograd ?
1,What articles of clothing are tokens in Monopoly ?
1,clothing tokens in Monopoly ?
4,Which continent has the most roses ?
4,Which has most ?
0,"How does Cos Cob , CT get its name ?"
0,"How does , CT name ?"
4,What river does the Grand Coulee Dam dam ?
4,What Coulee Dam dam ?
4,What body of water does the Danube River flow into ?
4,What body Danube River flow ?
5,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?"
5,"How many the project in , by a consortium by , produce ?"
4,What country did the Nile River originate in ?
4,did the Nile in ?
4,What canal does the Thatcher Ferry Bridge span ?
4,canal the Thatcher Ferry ?
4,What 's the name of the temple that is located near the capital city of Laos ?
4,What ' the name temple is located of Laos ?
0,Why are lions called `` King of the Jungle '' ?
0,lions `` King of Jungle '' ?
1,What two colors are you blind to if you suffer from protanopia ?
1,What are you if suffer from ?
0,What does an echidna look like ?
0,What does an ?
1,What is the most famous German word in the English language ?
1,What German word in English language ?
4,What famed river flows through Bagdad ?
4,famed river Bagdad ?
3,What tennis player has the nickname `` Nasty '' ?
3,What player has Nasty '' ?
5,What year did the United States pass the Copyright law ?
5,year did pass the law ?
5,How long do you have to pay back debt after claiming chapter 11 bankruptcy ?
5,How long you to back claiming chapter ?
3,What explorers followed Columbus to the Americas ?
3,What Columbus to the ?
1,What color is most often used to symbolize truth ?
1,What most to symbolize truth ?
4,What country has problems with hooligans ?
4,has problems with ?
5,How many people watch network television ?
5,How people watch ?
3,"Whom does Uncle Duke 's girl friend , Honey , room with ?"
3,"Whom does Uncle Duke ' , Honey , ?"
1,What currency is used in Australia ?
1,What is used ?
5,How many corners does a spritsail have ?
5,How does a spritsail ?
5,When did the royal wedding of Prince Andrew and Fergie take place ?
5,did royal Prince Andrew and place ?
0,How do you address a Chinese person ?
0,How do you a ?
0,What is the origin of the candy cane at Christmas ?
0,What origin of candy at ?
0,What is ethylene ?
0,is ethylene ?
0,How did former WWF wrestler Rick Rude die ?
0,WWF wrestler Rude die ?
4,What are tourist attractions in Reims ?
4,are attractions in ?
0,Why is black the color of mourning in the West ?
0,Why black of in West ?
1,What are the historical trials following World War II called ?
1,are historical trials II called ?
4,What U.S. city 's skyline boasts the Gateway Arch ?
4,U.. city ' skyline the Arch ?
5,How long does it take the typical American to eat 23 quarts of ice cream ?
5,long the typical American to 23 quarts of ?
3,Name of heroine in `` Scruples '' ?
3,Name of in '' ?
4,What city 's the kickoff point for climbs of Mount Everest ?
4,What city ' kickoff point of Mount ?
3,What athlete makes the most money from sports merchandise sales ?
3,athlete the from sports sales ?
4,What is the deepest area of the Arctic Ocean ?
4,What the deepest Arctic Ocean ?
4,Where can I find detailed information about Manchukuo ?
4,I find detailed information ?
4,What state produces the best lobster to eat ?
4,What state produces lobster ?
1,What is a film starring Jude Law ?
1,is film Jude Law ?
5,How many four star generals were there and who are they ?
5,many four generals there and they ?
4,Where can I get mailing lists ?
4,can I mailing ?
0,How can I get some free technical information on Electric Vehicle ?
0,can get some technical information Electric ?
5,How far is the longest hole in 1 on any golf course and where did it happen ?
5,How is the longest in 1 on any happen ?
5,Boxing Day is celebrated on what date ?
5,Day is celebrated what ?
1,What is damage to business and government caused by bureaucracy ?
1,damage to caused by bureaucracy ?
3,What terrorist group was headed by Donald DeFreeze ?
3,What terrorist by DeFreeze ?
1,What term means a sexual attraction between a male and a female ?
1,What sexual attraction a and a ?
0,What is a bone marrow transplant ?
0,What a transplant ?
0,What is the history of Valentine 's Day cards ?
0,is the history Valentine ' cards ?
4,In what city is the headquarters of Sinn Fein ?
4,In city is of Fein ?
1,What two vessels fought the first sea battle between iron-covered ships ?
1,What two vessels fought first battle ?
4,Name the largest country in South America .
4,Name largest in America .
5,"What 's the population of Biloxi , Mississippi ?"
5,"'s the of Biloxi , ?"
3,What are the three most successful companies of our time ?
3,What successful of our time ?
1,What Homerian epic chronicles events toward the end of the Trojan Wars ?
1,Homerian chronicles events end of Trojan ?
1,What was Mel Gibson 's first movie ?
1,What was Gibson ' movie ?
3,What was football star Elroy Hirsch 's nickname ?
3,star Elroy 's nickname ?
1,Which ear can most people hear better with ?
1,Which most people hear ?
4,In what area of the world was the Six Day War fought ?
4,In area of the Six fought ?
4,What are the names of the tourist attractions in Reims ?
4,the names the tourist in ?
3,"What 's the name of the actress who starred in the movie , `` Silence of the Lambs '' ?"
3,"What ' name the in movie , Silence of the Lambs '' ?"
3,Who murdered Leno and Rosemary LaBianca on August 1
3,Who murdered Leno LaBianca 1
4,What river runs through Liverpool ?
4,What runs through ?
5,What is the recomended age to switch a child from a crib to a bed ?
5,the recomended age to a a to a ?
4,What U.S. state are the Finger Lakes in ?
4,What.S. are the in ?
5,How many liberty bells have there been ?
5,How have there been ?
5,When did Jaco Pastorius die ?
5,When Jaco die ?
4,Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?
4,Where find the lyrics for song Married Today ' ` ' ?
3,"Who wrote the song , `` Silent Night '' ?"
3,"Who wrote song , Night '' ?"
5,What time does Wee Willie Winkie run through the town ?
5,time Willie Winkie through town ?
1,What did Warlock wear on his forehead in Marvel comics ?
1,What did on forehead comics ?
1,What is the greatest source of `` white '' magic in the Marvel Universe ?
1,What the greatest source white '' magic Universe ?
5,What are the lengths of pearl necklaces ?
5,are lengths pearl necklaces ?
5,How many teaspoons make up a tablespoon ?
5,How teaspoons make a ?
3,What former president 's daughter has written a book titled Murder in the White House ?
3,president 's daughter written book titled in House ?
1,"What World War I battle saw 6 , 0 troops killed in one day ?"
1,"What World War I 6 , troops one ?"
1,What dog was dubbed The Mortgage Lifter ?
1,dog The Mortgage Lifter ?
5,When was the last major eruption of Mount St. Helens ?
5,When was last of St. ?
5,How many watts make a kilowatt ?
5,many watts kilowatt ?
0,"What clause in the U.S. Constitution may not be changed , altered or amended ?"
0,"What in.S. Constitution may be , amended ?"
3,What U.S. vice-president killed Alexander Hamilton in a duel ?
3,.S. vice-president killed Alexander in ?
0,What are some chemical properties of mendelevium ?
