class,text
1,"Superb Quality Pictures, LOW LOW PRICE, TRUE 1.3megapixel,  super portable"
0,Antenna pretty flimsy
1,Sound Quality. Clear Picture. External Battery. Features.
0,short battery life
1,easy to use.. light weight.. many features
1,"Excellent picture quality, easy to use, both optical and LCD viewfinders"
0,A bit tough to hold on to
1,"Lightweight, ease of use"
1,"sturdy, light, attractive"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Cheap, decent quality"
0,"difficult to get flash perfect, resolution slightly obsolite"
1,great versatility 
1,"good quality, durable, reasonable priced"
0,"Games, you can only personalize ring tones by groups-not individuals, battery charging."
1,"Size, style, durability, OS, sound, reception."
1,"Compact, large screen, inexpensive"
0,Poor voice quality
1,"SIZE! Picture Q, Image Stitch mode, speed"
0,Looses Connection in Michigan Dunes
1,"price, size, quality"
0,"large unit, costly ($2500)"
0,It won't  turn heads if that's what you care about.  Sure is blue!
0,"Drinks ink like a fish, tends to jam quasi-frequently "
0,Reliability Issues
0,"Battery Life, Low rings, and a lot more things..."
0,"battery life, can't download ringers"
1,"cartridges won't put a whole in your wallet, it is small, dual cartrage system"
0,"battery life, reception, price, not tri-mode"
1,"Great options, built strong, pleasing look, good clarity."
0,Doesn't have good long term reliability
0,"Bulky, and a bit heavy"
0,"Screen color is limited, vision content is lacking"
1,Compact and light
0,"Bad software, problems with resolution"
1,"8X zoom, compact size, excellent 3 megapixel images, , "
0,"None! Well ok maybe battery life, but the Dimage's is still better than most."
1,"colorful features, extra large font, alarm/w/timer and email feature."
0,"Uses lots of ink, a bit noisy, one color ink cartridge rather than individual tanks"
0,Works bad on new Win2000 PC
1,"Feature rich, picture quality, storage media flexibility"
0,Sometimes light spots on photos
1,It's great and easy
1,"Size, GSM, usage profiles"
1,"Very good price, many features, rather compact, excellent quality of images"
0,difficult to capture movement
1,Great quality pics. Very easy to use.  No mistakes
1,"The price I guess, after having checked at a couple of stores."
0,"Ringer volume(Please read review), menu a bit difficult to navigate."
0,"expensive, made in China, questionable quality of materials"
1,Great  customer  service  and  recieption
1,"Awesome Performance, Excellent Pictures and Sharp Crisp Images, Great Tele-Photo"
0,very very very very expensive
0,"Papper loading, top loading"
1,Provides all the basic functions of a cell phone.
0,Needs a lot of light
0,Sucks the juice right out of the batteries
0,"lens adapter, lack of case"
0,"BIG,HEAVY,NO SHADE, IMPOSSIBLE TO DRIVE"
1,"Easy to use, Color Screen, Loaded w/ ringers, and screensavers."
0,None
1,Size; Sound quality; External caller ID display; Trimode; Appearance
0,color cartridge hard to snap into place
1,"10x zoom, Small size, Full manual mode, Driver-less connection"
1,"IR port, network-ready version (the TN), speed"
1,"Mini CD storage, Zoom Lens"
1,Smallest 3MP camera on the market; loaded with features; great picture quality!
0,Not Much.
0,BATTERY..... need I say more?
0,no USB port
0,"At farther distances using the zoom, the pictures were dark and the color not sharp"
0,Takes a few seconds longer than my last four printers to begin printing.
1,Easy to use
1,"Cheap, Nice Quality"
1,"Color Screen, battery life, memory capacity"
0,Too many to list.
0,No support for the future
0,"Noisy, must be open in front"
0,"durability, flaky LCD connection, no WAP, can't store email addresses, not a world phone"
0,Print cart. are expensive (every brand is)
0,None
1,Loud ring
1,"Light weight, affordable, quality built"
1,"easy to learn how to use, ability to preview photos."
1,"Large Speed dial, Pay as you go plan, durable"
1,small footprint and fewer cords
0,Poor sound quality & software
1,"Very sturdy, very comfortable in the hand, good pictures."
1,"Ease of use, vibrant color"
1,Small & Lightweight; very stylish; lots of features
1,"Reliable, Great Pictures, Easy to Use, Speed is Fast, Great SIZE (Very Small)"
1,Cheap
0,mobile charging apparatus has to be manufacturers own
1,"Excellent Laser Printer and Fax, Good Copier, Excellent Customer Service"
0,"Unreliable, turns off randomly, deletes text messages on its own"
1,"Bright 2&amp;quot; LCD screen, Compact size, Easy to use, Onboard editing features, Easy Sony menu, InfoLithium batteries, USB connection, Memory Stick media, Sony quality"
0,"Poor build quality, reception, battery life, iTap"
1,A great value for the begginer
0,None
0,"Non intuitive controls, no zoom, and tends to over or underexpose pictures"
0,Best for first time digital photographers.  
1,"Good Print Quality, Direct Access to photo cards (can use w/o computer)"
0,"poor design, only Kodak can repair it."
1,Take great looking pictures with ease
1,"Fast, great print quality "
1,Very easy camera to use
0,Battery life is 1 day with minimal use after 1 Year.
0,Flash-work less reliable; picture quality sags. 
0,still uses 2 seperate ink cartridges
0,Battery life could be better
0,It's not under $100.00
0,Takes a little getting used to -&gt; but don't all phones?
1,"lightweight and compact, sturdy construction and comfortable"
1,"Great print quality, low cost of ownership"
1,"picture quality,price"
1,its pretty and takes nice pictures
0,"Screen not pretty, sometimes hangs mid-call"
0,Lacks a good photo-editing program
1,"Great features, easy to use, great look."
0,"Weak vibrate, flash, long antenna stub, Transflash format"
0,I do not like the power saver mode
1,Workhorse disguised as a cool techie toy
1,"An acutal ring sound, decent display, small/lightweight, good amount of features."
0,Slow parallel port speeds - No USB
1,lightweight and very reliable
1,"Solid, reliable, great sound quality, and cheap."
1,Easy to push.  Gets you outside.
0,"disk compacity, photo lag time."
1,"features, picture quality"
1,"cute design, downloadable ringers and wallpaper"
0,"No true multi-contact phone book. Annoyingly sensitive, side volume/ alert button. Calendar alerts questionable."
1,"Lots of options, great design"
1,"Good quality,Inexpensive,Versatile"
0,"Aperture priority is limited, very proprietary, no continuous mode and only one focus zone."
1,It's free.
0,i print too much
0,"Ringer volume, cumbersome user manual"
1,"Great, portable printer with better than average results"
1,"small, good keys, can be dropped from at least three feet and not break"
0,"ring volume, slow menu navigation, battery life"
1,"narrow, easy to get through doors and aisles"
1,"Great size, shape and features, especially voice notes"
1,Easy and trouble-free
0,Paper Jams
1,"High resolution internal lcd, many features, expandable memory card"
1,"fit-shirt-pocket size, reasonable price, pop-up flash, all-aluminium body"
1,Learned what to avoid in my next digital camera purchase.
1,"Fast, good quality"
0,Prints too slow
0,"No optical zoom (digital zoom only), Smart media"
1,"reliability, printing quality, ease of set-up &amp;amp; use"
1,great small size
0,The battery life like any phone isn't that great.
0,No simple ring tones; can't turn wallpaper off; battery life nowhere near what they claim.
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium case"
1,"not too expensive, clear &amp;amp; sharp printing"
0,"bad paper feed, poor print quality"
1,solid light good looking
1,"Ease of use, price"
0,"Paper jams, noisy, goes through ink pretty fast."
0,Not the latest phone or technology.
0,Fades and falls apart
1,"-rotating lens, zoom, varying resolution settings"
1,"Very light, excellent macro,excellent portrait with scenery background, easy to use"
0,"frequent misdials, not in servive bad text display,  few accesory compatibility"
0,None
0,NEC should send these out with a full toner cartridge instead of half
0,Ink runs out way to quick
1,"price, ease of use"
1,"Ease of use, durability, quality"
0,User settings; menu items; holding signal; lack of email
1,Cheap and Happy
1,"looks great, voice dialing, voice notes"
1,"Looks, speed, features, capabilities"
1,"Price, features, appearance, battery life, locking features"
1,"Flexibility, light weight, sturdy."
0,"A little heavier & bulkier than the others, No time-syncing???"
0,Vibrate then ring starts ringing too soon.
1,"real music ringers, mp3 player capability, big screen"
0,no telephone or answering machine with it
0,"The camera only came with a 110 Volt charger. It burned up the first day in England, even though we had a converter. Toshiba is not yet shipping the 220V model, and as a result I had to buy a multi-voltage charger at a camera store in the UK. When I return"
0,"a little noisy, the ink drains a little quickly"
1,"Multi-position seat and footrest, large storage basket, easy fold, lightweight"
1,Inexpensive/Quality photos/useful features not found on most cameras in the $$ range/Simple to use.
0,"Bulky, Unreliable file reading"
0,"$20 cable not included, it's kind of slow."
0,"No com.interfaced,B&W screen,no viberate ring,Texts tones,good basic?"
1,Adequate for the money
0,Battery life. You will need to invest in rechargeable batteries.
1,"Image quality, design, ease of use, good auto and manual mode photos, build quality excellent."
1,"Great printer, good functions, easy to use, very fast"
1,"Super features, good sounding audio, web access"
1,"size,battery life,style, features"
1,"Initial cost, good image output, easy install"
0,"Limited calendar function, limited alarm, battery life fades with use, calculator awkward, TERRIBLE RECEPTION!!!"
1,"Cheap, easy to use"
1,Very useful product
0,"Battery hog, flash not always sufficient"
1,"high picture quality, protected lens (barrel and cover)"
0,USB-cable offloading of IMGs is problematic; 'SmartMedia' storage cards are pricey; no image stablization.
0,The 8 1/2 X 11 is the same price
0,"Expensive, fewer custom covers available for this model"
1,"small, durable, dual band, built in calendar features and AOL IM,"
1,"EASY TO USE, AND GOOD QUALITY PICTURES"
0,"no RAW, small LCD, no ""aidlamp"" for the autofocus, too complex menus"
0,"Not great battery life, Cannot put any lenses on it"
1,Photowise 1.7; Switchable LCD; LCD cover; optical viewfinder
0,"Batteries, LCD"
1,"Low price, easy setup, works well with Mac OS 10.2"
0,BREAKS WAYYYYYYYYYYYY TO EASILY COMPARED TO SIMILAR FLIP PHONES AND ITS EXPENSIVE
0,no USB port or flash memory cards
1,"GREAT CLARITY, easy to use, cool camera, great sounding ringtones, great 65,000 color screen."
1,"Great  photo output, quiet, low cost ink."
1,"Resolution, Supports USB, CF, AA batteries"
0,The most unintuitive piece of crap that I've ever had to deal with.
1,"Easy to use, uses a regular computer disc, has a great zoom, nice picture quality"
1,"Indiglo display backlight, sleek design, solid features, speakerphone."
0,a little expensive
1,Wonderful and economic choice
0,None that I know of!
1,"Amazing picture quality, loads of features, ability to add lenses"
1,Plenty of customisable covers; great games; voice- and one-touch dialing; durable; vibrating alert; internal antenna
1,"Computer does not have to be on to make copies, exceptional color copy quality "
1,"Open with one hand, big display, ringers"
0,Printing quality and speed could be better but for an inexpensive printer it is great.
1,"image, cost, one hand point&amp;shoot, AA battery, Compact Flash, movie mode, SCUBA case "
1,"ring tones, durability, size, price"
1,"battery life, works ok with most phone centric web sites, decent speaker phone."
1,"Good quality, uses floppy discs"
1,"Excellent Clarity,"
0,Headset doesn't have answer/hangup button.
1,"Ink cost, 2X printing."
1,"Good quality pictures, stores on floppy disks"
1,"Why  I wanted to buy another NOKIA, is It's one of the better cell phones"
1,"Lots of features, price"
0,Bad power management
1,"Rugged, fast, easy to use, and excellent pictures."
1,"When it works it is fast, high quality and has a small desktop footprint"
0,slightly slow print time
0,None come to mind.
0,Weird text input; the ring tones and such which come standard are rotten
1,"Looks pretty, has extra functions"
1,"Very light weight, useful features, excellent quality."
0,"A little pricey, shakes alot. Ink consumtion"
0,poor battery life and difficult user interface
1,"Camera, audio recorder, calendar, notes, customizable themes, good reception, clear audio"
0,A bit fat - takes up space
0,horrible color issues left my pictures looking unrealistic &amp; cartoon-like
0,Too cheap to keep
0,Small Buttons
1,Extremely easy set up process
0,"Low resolution, slow, no lens cover, poor image quality, crappy software."
1,"Ease of use, 10x optical zoom"
0,"When using infant carrier, older child cannot sit; somewhat heavy; manuvering in stores takes practice!"
1,price and ease of use
1,Great having a phone and Plam in one; great battery life!
1,"Easy to use, flat bed scanner, very quiet, plenty of options."
1,"Styling, user interface, battery life, infra-red communication, integrated speaker."
0,"Somewhat small display, pricey"
0,"if you want a camera, this phone won't get the job done."
1,"Nice pictures, low price"
0,doesn't live up to claims. quickly breaks down
1,"lightweight, has a canopy, good support in seat and backrest, easy to maneuver"
0,Write time is a little slow.  Lower resolution are distorted. 
1,Great colors
1,"Good RF performance, nokia menu easy to use. Profiles rock! Great battery life."
1,a attractive solid easy to use compact fully spec'd out phone
1,"compact, easy to use, good feature set"
1,"easy of use, sturdy, convenient"
0,"Focussing problems, no uncompressed mode, still can't touch film for image quality"
1,Price
0,"One cartridge, expensive ink, slow"
0,Hard to break down and somewhat heavy.
0,"No key lock to prevent accidental calls, unintuitive web navigation"
1,"Lots of features, Manual mode, Compact, $$ Value, 3.3 Megapixels"
1,"Small size, mostly clear"
0,"Lack of Good Zoom, Battery Hog, Red-Eye control"
1,thetic
1,"super low price, light weight,"
1,"Picture Quality, lots of features"
1,"Fast, quality pictures, great color and ease of use"
1,"Large color screen, external Caller ID, backlit buttons, SUPERB speakerphone."
1,"Large display, large buttons, reception, frugal battery usage, full featured, durable case"
0,very short battery life
1,"cheap, zoom, slim"
1,Very Cheap and easy to find at stores.  Does it all.
1,"A significant and notable step up from previous Ink-Jet ""Photo"" printers."""
1,"Easy to use, Ink Provided, A strong home printer"
0,The one I bought does not perform consistently at all
1,"Good price, Above average print quality."
0,"Slow ""film"" speed, and the widest angle ain't wide enough"
1,"affordable, high quality pictures, holds a lot of pictures, USB port, pocket-sized, so it's easy to carry around."
0,Eats the Ink!
0,"Terrible sound quality (On two separate M-610's),"
1,"Funky, sexy, easy to use"
0,"Cons ?,Cons ?, Seriously,I have only minor gripes with small C/F card supplied."
1,"Reliable, Good Quality, Cheap Storage"
0,"Battery goes fast, manual settings are hard to get right, "
1,"Great picture quality, easy to use"
1,"Durable, All the right features"
1,the navy color of the frame
1,"Easy to use, cheap, durable, good print quality, fast black and white printing, color compatibility..."
0,"Drinks ink, clogs easily"
1,Great color quality
0,"bad repair experience, LEMON, short battery life, lens cap falls off, REDS hot."
0,Speed &amp; only supports USB.
0,Small form factor makes hitting the buttons difficult if you aren't paying attention.
0,small memory
0,Bulky. &#13;&#10;Not many bells and whistles.
0,Somewhat noisy when paper is loading into printer
1,"very easy to use, good flash, large viewfinder"
0,Speakerphone while on calls.
0,A little big for small hands.
1,Extremely fast TEXT printing; Separate Less Expensive Ink Cartridges; Completely closes when not in use
1,quality
0,"Camera, flip phone"
0,trying to answer messages can be difficult.
0,Can't think of any
0,Toner is a little on the expensive side.
1,Price and Weight
1,"Great quality for price, fast document printing, reliable for the most part"
1,"Easy to use basic functions, large clear LCD preview, inexpensive memory modules"
1,"GoodLooking, Dual LCDs, Voice-Active, WAP, Shortcuts Menus, ringtone-composer"
1,"Small, beautiful, customizable phone. Has the most features of any phone in the US!"
1,two way radio!
0,"bad technology, programs not integrated- can't add appointment from database, need two hands to operate"
0,"wireless web access pricey, battery easily detachable, small means it's easy to misplace or lose"
1,Easy to use and install cartridges.
0,"noisy when you turn it on, but oh well..."
0,Ink evaporates and then clogs print head
1,finely tuned technology
1,"very compact, easy to use, pretty good picture quality, &amp; fun special effects"
0,Can not be used on any windows program but windows 98. 
0,"No cable, print quality."
0,Expensive picture cards if you want a larger one
0,Cumbersome menu; washed-out LCD; tech support
1,"Lightweight, good quality, good value for money"
0,"No window in canopy, no 5-point harness"
1,2 for 50 bucks. do I need say more?
0,Mode Dial is very likely to fall off.
0,"Weak reception, No Vibrator Ringing"
1,"Great reception, better camera, good looks, Bluetooth"
0,None.
0,Black and white display; speakerphone is hard to hear
0,My first one was defective! Retail price is too high.
1,"good size, voice dialing, strong signal, vibrates, Huge phonebook."
1,"Superb design, great sound quality and reception."
0,"batteries used up very fast, no optical zoom"
1,fun and easy
1,Cheap!
0,"Expensive, no voice-dial"
1,Extremely lightweight 
0,Little ringers to choose from. Cannot turn on speaker phone until other party picks up.
1,cost
1,"Rugged, Kodak Authentication Module, ActiveX interface."
0,Uses color in like mad!
1,"Lots of features, easy to use, fits comfortably in hand, fast connection"
0,Nothing
0,"Expensive ink ($60 for both cartridges), Noisy, Cheap construction, Wastes ink"
1,Stunning output -- it's really jaw-dropping.
1,"Excellent image, 35mm competitor, excellent overall features"
1,Great Camera for the Price
1,easy to use
0,It ain't a $1600 Olympus!
0,A little bit noisey
1,"Backlighting, clear reception, fewer dropped calls, excellent display"
1,"Photo Quality, Size, and Price"
1,"Price, ease of use, AC adapter"
0,"slow, poor quality, poor paper feed"
1,"External LCD, Looks great"
0,This Vivitar is the worst possible quality
1,excellent quality photos
0,"Its very stressful printer, with many frustrations. Go to Kinkos."
0,Awkward manual exposure setting - You'd better be prepared to buy an AC Adapter
1,"mpeg movie opiton w/ video out, 2.8x zoom, fun little camera"
0,Subpar in ALL phases
0,Needs a lot of light.
0,"Only a VGA camera (but the pics are good for being VGA), No expandable memory"
1,It folds in half
0,"small card, not easy to take candids at night"
0,none
1,Quality and initial price. Easy to print banners.
0,"limited memory, no mp3 ringtone support"
0,Need I say more?? Thanks for the rant space
1,"INCREDIBLY sharp pictures, 3.34 megapixels, less CCD noise than its predecessors, small size, fast transfers, solid construction."
1,Easy to use and set up with any program
0,Just make sure you buy it from somewhere other than Cellular Choice.
1,Easy to use.
1,everything but cost!
1,"good color rendition even on plain paper, reasonable price"
0,"It doesn't quite recline flat, but it is enough for baby to sleep comfortably."
1,"use to e-mail photos, no film!,view on tv "
0,"zoom, delay before the picture is taken and battery length"
1,"simple, takes clear pictures while moving"
0,Ink is in one cartridge and cost 29 - 35 dollars each.
0,"No standard ringer, can not assign caller-id images, vibrates while being charged, no speakerphone"
1,"price, automation and picture quality"
1,"Great quality printing, low-priced"
0,NONE
1,"clarity, ease of use, cool ""kinda"" new look"
1,"Easy use, long zoom lens, great quality pictures"
0,"Looks and feels cheap, talk time less than promised, battery meter is deceptive"
1,"Good price / quality ratio, Sturdy design"
0,battery life could be longer
1,"A Cheap, easy to use camera."
0,"battery life, need to set date and time after putting in new batteries"
0,eats batteries alive
0,"Tendency to reboot itself, awkward button locations"
1,"Excellent picture quality, camera is light and compact"
0,ink cartridges on the expensive side
1,good basic phone without a lot of useless features
0,"Blurred colors, edge spots, see dots/lines"
1,"Size, bluetooth capability"
0,Inconsistent picture quality
0,Front slider easily broken
0,"gsm network not always available, no date with time"
0,"Exif viewer and launcher are cumbersome, you will be frustrated trying to d/l w/USB port"
0,nothing
1,"Very Nice Looking, Status symbol, more ring tones, external display"
1,"Uses ink tank system, prints nice looking products&amp;#13;&amp;#10;"
0,Pricey
1,Good digital sound quality and battery life
1,"light, decent voice quality, built in speaker phone, comes with two face plates"
1,"OK reception, nice ringtone quality, small and light"
1,"Superb photo quality, strong flash, high magnification level"
0,Not for very serious photography.
1,Still looking for some.
0,None.
0,"No video, no call restrictions,"
1,"lightweight, easy use"
0,Heart-stopping price if bought without service
1,"light weight,and priced right"
1,"1200X2400 dpi, 10ppm color, dual side printing"
0,"only 2.1MP, no sound in vid clips, slightly annoying GUI"
1,"Excellent pics, Easy to use."
0,It lacks the resolution in picture quality of some other well known brands.
0,"Doesn't have any games, cannot download ring tones"
0,"Phone has been through repairs, hard to get certain parts, no good speakerphone options"
0,"RINGER, VOLUME, RECEPTION, Battery Life"
0,"Can't turn off annoying sound, speakerphone is extrasuper quiet, not my all-time favorite setup/rearrangement options"
0,"Not the best photo printer, flimsy design"
0,heavy and bulky
1,Comes with Infant Seat and Base
1,Easy to learn to use
0,Poor indoor photo quality. Especially the flash and white balance.  Battery life.
0,Not as plush as some of the other strollers.
1,"Ease of use, small size and reliability"
1,"Small, good quality pics"
0,"Price tag, very confusing menu, uncomfortable feel, plastic antenna, SMALL screen and stiff buttons"
1,Looks like a cool phone (though in fact it's not!)
1,Great features and specifications for price.
0,"can hog large amounts of CPU leading to CPU hang times... may need to wait for printer to finish medium to complex jobs on low to mid range computers, price is a bit much for some budgets"
1,"nice design, adjustable volume, durability, clarity, features, reception"
1,"Compact, Sharp 4 Mega Pixel file sizes, Great Features, Excellent outdoor shots."
0,"Un-ergonomic, fragile, battery weak"
0,"Slow onboard camera - computer transfer, picture shown in LCD screen prior to shot is a bit brighter than the final image, no lense cover"
1,"Clear, simple, solid, and long battery life"
1,Easy to use and understand functions
0,Software is a little lacking
0,"Noisy, no ink level indicator, no Windows XP drivers (official)"
0,"No direct camera connection, Manual alignment"
0,poor speaker phone and clunky
0,None that I can find
0,Images taken using the flash
1,Photo-quality at a reasonable price. Quiet.
0,"Inaudible ringer, poor battery"
0,"Costly Ink, very slow"
1,"Nice form-factor, Long battery life, Good reception, Lots of accessories"
0,Replacement ink cartridges are expensive
0,"Heavy, Poor close range performance."
0,None
0,Menu interface could be easier to use
1,"Picture quality, price, software"
0,Wish it could take an MPEG longer than 60 seconds.
1,"small, clam shell, call clarity, 1xRTT capable, midi sound (polyphonic), web-enabled"
0,"Charging port attachment easy to lose, clarity could be better"
1,Fun Color (Sunscapes); Large Canopy; Rear step for a toddler; Perego Quality
0,2-3 Second delay from the time you press the button until the picture is actually snapped
0,image quality is less than perfect
0,"battery life, pricey at &amp;gt; $500"
0,Expensive!!!
0,Cost (But still worth it)
1,"Compact, easy to carry, sharp pictures, very easy to operate, can control the flash."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
0,size
1,"Speaker, Voice activation, screen size, wireless web"
1,Makes a good paperweight
0,"Focus depth could be better, battery life could be longer."
0,expensive ink.
1,Decent color
0,no storage
0,"1. Careful reading of documentation a MUST , 2. Will Fuji build a star in follow-up?"
0,"Little higher price, and the outer skin is not durable enough."
1,cost
1,"Small, Excellent Battery Life, Web Browser Built In"
0,"zoom doesn't work very good, hard to find accessories, slightly bulky"
0,"1-sec delay image capture, availability of blank disks,"
1,"Small and lightweight, voice commands, connectivity to other devices."
1,"Small, lightweight, caller id outside of flip, multi feature, comes with hands free"
0,Expensive...
0,None
0,"Poor battery life, flash issues"
1,Quality &amp;amp; Ease of Use
1,"Small size, light weight, bright LCD and manual features.  1 year warranty."
0,"Couldn't find one ,unless you feel that paying less for more is a con."
1,new features
0,"Prints slightly skewed, no USB connections, Noise.  Annoying sterile robotic voice  which repeats error and need messages (i.e. out of paper, etc.)."
0,but its just not big enough
1,"270 degree swivel lens, LCD display, various camera modes"
1,"Very cheap, fairly good resolution"
1,"Sexy, easy to carry in pockets, aluminum casing"
0,"Features galore, hard to use, heavy, very pricey"
0,finding batteries that last!
1,Great picture quality
0,Locking keys is a must
0,pictures a little grainy
1,"Great quality output, quiet"
0,"prints so good, you'll be spending lots of $ on paper!"
1,"great photo quality, easy for beginners"
0,"both cameras are bad quality (nothing new for cell phones), Motorola charger, weak vibrate"
1,"blocks roaming charges, nice looking, sturdy antenna"
1,great zoom lens
0,Certain options may seem limited to some.
1,"solid, 'non-flip,' loud speakerphone, loud ringer, simple design/menu system, excellent basic features"
0,Batteries dont last long
1,"very simple interface, multi usage for memory sticks, USB link, long time battery..."
1,"Great Quality, Print Cartridges Last A LONG Time"
0,"15 image memory, 640x480 resolution, basic software package"
0,I wish it rang louder!
1,Light-weight stroller when compared to most.  Easily maneuverable in tight spaces.  Folds easily.
0,"Brakes are difficult to apply, canopy doesnt provide much shade"
1,"Clear pictures, easy to use, 6x zoom, cute"
0,"Low battery life, not as many features as higher-end analog, feels funny in hand at first"
1,"PointnShoot simplicity, Matrix Metering, incredibly flexible scene modes, "
1,"Battery life is long, camera, java games, mp3 ringtones, color screen"
0,None
1,You don't have to have the film developed.
0,Screen is hard to read.  No protective cover.
1,"Size, Durability, Color replication is superb for price, few relics, MPEG movies great, 3x optical"
0,slow in taking a picture
0,Accessories and phone are somewhat spendy.
1,"Small size, quality images, easy of use"
1,"Bells and whistles galore, easy to use, quality product, convenient"
0,Reception inside some buildings is difficult.
