class,text
1, I would strongly recommend this product !
1,pauline would alexia recommend this product !
0," The only reason I did n't give it 5 stars is because the speakers on the monitor are a little weak , but that 's really to be expected is n't it ..."
0,"the only reason i did n ' t give it 5 stars is because the speakers on the monitor are a little weak , but that ' s really to be expected is n ' t it . . ."
0,My fingers are kind of stubby so it took a while to learn how to hit a key without hitting the adjacent ones.
0,my fingers are kind of stubby so it was a while to learn how to do a key without reading the adjacent ones .
1,i just purchased this player and i have to say that i love it . 
1,i i v this game and i have to say that i love it .
1,I got a 1GB MMC upgrade for this phone and now I can:
1,i i a 1gb mmc upgrade for my phone and now i can :
0,"All that said, I am a little disappointed with the quality of the pictures from the camera."
0,"all that said , i am a little disappointed with the quality of the pictures from the medium ."
0,"The major reasons I didn't give it a five are:  One, I didn't think the fine adjustment worked well."
0,"senior side reasons i didn ' t give it a five are : one , i didn ' t think the fine adjustment worked well ."
1,I upgraded both my card and router and really had no problems with installation on my Sony VAIO laptop (XP operating system).  
1,i upgraded both my card and router and probably had no problems with installation on my sony vaio - ( k independent system ) .
0,"The cons, at times the diaper wipes get stuck in the disposal area making it hard to turn the handle back and forth."
0,". cons , at times the diaper wipes get stuck in the disposal area making it hard to turn the handle back and forth ."
1,"the screen is large , defined , and easy to read , and the silver unit is naturally cool . "
1,". pad is large , defined , and easy to read , and the silver unit is naturally warm ."
0,"The headphones which came with it are mediocre at best but what can you expect from a set of ""ear buds"".  "
0,". headphones which came with it are medallycre at best but what can you expect from a set of "" ear buds "" ."
1, The sound is clear and clean but if your not on top of it you ca n't hear a thing .
1,the sound is clear and close but if you not on top of it we ca n ' t hear a thing .
1,Its  not a perfect system but its a very good one.
1,its your a very system but its a very good one .
1,Pros.1.Speed  2. Signal Strength  3.Advanced Configuration Options
1,. s . 1 . speed 2 . signal strength 3 . advanced configuration options
0,"my "" fast forward "" button works , but it takes a little extra pressure on it to make it go . "
0,"my "" fast forward "" button works , but it gives a little extra pressure on it to make it map ."
1,"first of all , my calls were loud and clear , unlike with sprint . "
1,"first of all , my games were loud and clear , unlike with sprint ."
1,"but if you 've used a slr 35mm camera , the controls are very intuitive ! "
1,"! if you ' ve used a slv cameramm camera , the controls are very intuitive !"
0,You must keep double checking depths.
0,you . keep double - depths .
0,"third , the poor design continues with the case . "
0,"third , the butterfly design in with the case ."
0," It is tall , so I ended up laying it on its side ."
0,"reflects is tall , so i ended up laying it on its side ."
1, There are no incompatibility problems and they work fine .
1,. are no inc .atibility problems and they work fine .
0,creating playlists using the included software to minimize issue 3 was n't as easy as i would have liked . 
0,", playlists using the new software to minimize issue 3 was n ' t as easy as i would have liked ."
1,"However, setting up using the quick start instructions was a breeze.  "
1,"however , setting up using the quick start strips was a breeze ."
1,At 128 the songs sound very good.  
1,at 128 the days ' very so .
0, I could tell this was a `` cheap '' monitor as soon as I set it up .
0,i could tell this was a ` ` only ' ' monitor as soon as i set it up .
1,removable and cheap battery - a li battery usually works properly for 1-3 years . 
1,. shoulder and intelligent battery - a lac battery usually works properly for 1 - 3 years .
