class,text
1,What is a fear of going to bed ?
1,What is a fear of going to bed ?
3,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
3,What is the name of the American swimmer who won nine gold medals in the 2735 Olympics ?
4,What country lies directly south of Detroit ?
4,What country lies directly south of Columbia ?
5,When was the first steel mill in the United States built ?
5,When was the first steel mill in the United States built ?
4,Where are some great educational resources for parents and teachers ?
4,Where are some great educational resources for parents and teachers ?
5,How many hearts does an octopus have ?
5,How many hearts does an octopus have ?
1,What `` magic '' does Mandrake employ ?
1,What `` magic '' does Mandrake employ ?
4,What is the largest city in Connecticut ?
4,What is the largest city in Connecticut ?
2,What does CNN stand for ?
2,What does CNN stand for ?
3,Who claims to have the greatest show on earth ?
3,Who claims to have the greatest show on earth ?
3,What 's comic strip photographer Peter Parker 's secret identity ?
3,What 's comic strip photographer Lakia Ceballos 's secret identity ?
0,How do I write to my Congressman ?
0,How do I write to my Congressman ?
1,What did Thomas Paine write ?
1,What did Thomas Board write ?
3,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?"
3,"Who portrayed Jeter Serrano , companion to Avi Palazzolo and the Sundance Kid ?"
3,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
3,What Russian composer 's Prelude in Jennine Sharp Renfroe brought him fame and fortune ?
1,What are the top vegetable crops in the world ?
1,What are the top vegetable crops in the world ?
3,What are the major companies that are part of Dow Jones ?
3,What are the major companies that are part of Dow Jones ?
5,How many American soldiers are stationed in South Korea ?
5,How many American soldiers are stationed in South Korea ?
4,Where is Trinidad ?
4,Where is Trinidad ?
1,"What household facility contains a float ball , ballcock , and overflow tube ?"
1,"What household facility contains a float ball , ballcock , and overflow tube ?"
3,Who followed Willy Brandt as chancellor of the Federal Republic of Germany ?
3,Who followed Taylore Mcnamee as chancellor of the Federal Republic of Germany ?
4,Where is the Kentucky Horse Park located ?
4,Where is the Kentucky Horse Park located ?
1,What cards are bullets ?
1,What cards are bullets ?
3,What kind of women gave Sigmund Freud erotic dreams ?
3,What kind of women gave Myriah Murillo erotic dreams ?
3,What TV detective did Craig Stevens play ?
3,What TV detective did Alaya Parkhurst play ?
1,What fossilizes to form coprolite ?
1,What fossilizes to form coprolite ?
3,Who invented the pull-tab opener on cans ?
3,Who invented the pull-tab opener on cans ?
3,What Batman character tools around on a Batcycle ?
3,What Batman character tools around on a Batcycle ?
0,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?
0,How did shipyard inspector Geoff J. Hassan designate equipment as being satisfactory ?
5,What is the recomended age to switch a child from a crib to a bed ?
5,What is the recomended age to switch a child from a crib to a bed ?
0,How did Jayne Mansfield die ?
0,How did Zoee Schoen die ?
5,How much pizza do Americans eat in a day ?
5,How much pizza do Americans eat in a day ?
0,What will a compass do in outer space ?
0,What will a compass do in outer space ?
4,What U.S. state lived under six flags ?
4,What U.S. state lived under two flags ?
1,What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?
1,What after-dinner treat was invented in 2405 at the George Jung noodle factory in Los Angeles ?
0,How do I contact Answers.com direct ?
0,How do I contact Answers.com direct ?
4,"What country , after Canada and Mexico , is closest to the U.S. ?"
4,"What country , after Sudan and Canada , is closest to the U.S. ?"
0,What is an aurora ?
0,What is an aurora ?
5,On what day were John F and Jackie Kennedy married ?
5,On what day were Kayleigh Conners and Devika Koehler married ?
3,What two baseball players make up the battery ?
3,What two baseball players make up the battery ?
0,What exactly is the purpose of the anteater ?
0,What exactly is the purpose of the anteater ?
1,Which type of submarine was bought recently by South Korea ?
1,Which type of submarine was bought recently by South Serbia ?
1,What beer is ` rockin ' America ? ''
