class,text
5,How much does the President get paid ?
5,How much does the Chairmen obtains credited ?
5,Mode much does the Presidents obtain paid ?
3,Who is the Queen of Holland ?
3,Whom is the Quinn of Dutch ?
3,Whose is the Reine of Dutch ?
5,What is the chemical reactivity of argon ?
5,Quoi is the chemicals reactivity of arjun ?
5,Whereof is the chemically reactivity of arjun ?
5,What is the exchange rate for Australian to American money ?
5,Quoi is the interchange rate for Australia to America cash ?
5,Quoi is the shares rate for Aussie to Americans monetary ?
1,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?"
1,"Quel explosive do you obtain by blend smut , sulphur and saltpeter ?"
1,"What explosives do you gets by mixes coal , sulfide and saltpeter ?"
5,What day of the week was July 13 ?
5,Quel day of the chow was June 13 ?
5,Whereof day of the chow was June 13 ?
1,What keeps clouds in the air ?
1,Quoi keeps cloud in the airplane ?
1,Whereof retains clouds in the aeronautics ?
4,Where is the massive North Korean nuclear complex located ?
4,Wherein is the monumental Northerly Korea nuclear complex located ?
4,Wherever is the massive Northerly Corrie nuclear knotty located ?
3,Who are the top ten richest people in the world ?
3,Whom are the superior tio wealthiest people in the international ?
3,Whose are the supreme dix richer people in the globe ?
1,What TV game show once saw a contestant admit to picking his toes in the shower ?
1,Quel TV jeu displaying once seen a contestants accepted to picking his fingers in the bathroom ?
1,Quel TVS game displays once observed a contender acknowledged to selecting his toes in the bathroom ?
1,What dangles over the tongue from the palate ?
1,Quel dangles over the tongue from the palais ?
1,Whar dangles over the tongue from the palais ?
3,What U.S. vice-president killed Alexander Hamilton in a duel ?
3,Quel U.S. vice-president assassinated Alexandr Hamilton in a duel ?
3,Quel U.S. vice-president assassinating Aleksander Hamilton in a duel ?
4,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?"
4,"Quel Europe nation boasting the ville of Furth , discoveries where the river Rednitz and Pegnitz converging ?"
4,"Quoi Europe nationals boasting the ville of Furth , find where the waterways Rednitz and Pegnitz converged ?"
5,What was the date of Iraq 's invasion of Kuwait ?
5,Quoi was the dates of Iraqis 's invasions of Kuwait ?
5,Whereof was the dating of Iraqi 's invade of Kuwait ?
5,How long do flies live ?
5,How largo do flies iive ?
5,How longer do flies iive ?
3,Name of the lady the Great Gatsby pines for ?
3,Denomination of the ladies the Super Gatsby pin for ?
3,Names of the missus the Grand Gatsby pine for ?
5,How many innings are there in a regulation softball game ?
5,Mode multiple inning are there in a bylaws softball jeu ?
5,Mode several inning are there in a rule softball gaming ?
3,What company is the largest Japanese ship builder ?
3,What enterprise is the grandest Japans starship builder ?
3,What enterprise is the widest Japans battleship builder ?
3,What New York Yankee was known as The Iron Horse ?
3,Quel Nuevo York Yankee was familiar as The Railroad Horsey ?
3,Whereof Nuevo York Yankee was familiar as The Railroad Equestrian ?
0,What causes headaches ?
0,Whar causes headaches ?
0,What arouses headaches ?
3,What fruit-topped actress was known as The Brazilian Bombshell ?
3,Quel fruit-topped actor was renowned as The Brazil Bombshell ?
3,Whereof fruit-topped actor was familiar as The Brasilia Bombshell ?
3,What player squats an average of 3 times during a baseball doubleheader ?
3,Quel protagonist deads an averaging of 3 time during a baseball doubleheader ?
3,Whar protagonist lunges an averaging of 3 time during a baseball doubleheader ?
1,What is the recipe or formula for Coca-Cola ?
1,Quel is the recipe or formulas for Coca-Cola ?
1,Quel is the recipes or formulas for Coca-Cola ?
3,Who was America 's first Public Enemy No. 1 ?
3,Who was America 's frst Populace Enemies Nope. 1 ?
3,Who was Americans 's outset Public Adversary Not. 1 ?
3,Whose cover is that of an employee of Universal Import and Export ?
3,Who covered is that of an staffs of Globally Imported and Exporting ?
3,Whom coverings is that of an employees of Globally Importing and Exports ?
4,Where is the group M People from ?
4,Whereby is the grouping metres People from ?
4,Wherein is the groups metres People from ?
3,Who claims to have the greatest show on earth ?
3,Whom claims to have the greater displayed on tierra ?
3,Whose claims to have the finest displays on lands ?
3,Who won the 1968 California Democratic primary ?
3,Whom won the 1968 California Congo primaries ?
3,Whose won the 1968 California Congo primaries ?
5,How many bones are there in the human hand ?
5,Mode myriad bones are there in the mankind hand ?
5,Mode various bones are there in the humans hand ?
0,What are the medical purposes of `` clitoridectomy '' ?
0,Quel are the medications objective of `` clitoridectomy '' ?
0,Quel are the medicine targeting of `` clitoridectomy '' ?
5,How old was Sir Edmund Hillary when he climbed Mt. Everest ?
5,Mode antique was Monsieur Edmund Hillary when he hiked Tm. Everest ?
5,Mode vecchio was Sirs Edmund Hillary when he leaped Tm. Everest ?
5,How big is the largest diamond ?
5,How grandes is the grandest diamonds ?
5,How overwhelming is the grandest diamonds ?
0,What are those little blue reflectors in the middle of the road for ?
0,Whar are those petite bleu reflectors in the medium of the paths for ?
0,Whereof are those tiny bleu reflectors in the oriente of the chemin for ?
