class,text
1,ITunes can be downloaded from the enclosed CD or for free from the Apple site.    
0,"Also, diapers and wipes get stuck in the grove below the piston."
0, The interface took a little getting used to.
1,This is my first MP3 player and I am so impressed with what such a small device can do.  
0,i just bought one and returned it as defective for good reason . 
1,i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before . 
1,They're easy to use. 
1, I especially love the ` remote ' controller stand with it 's big volume knob and simple selector buttons .
0,The collet for the 1/4 inch bits is a pain to get in and even harder to get out.
1," Overall, this product is AWESOME. "
1,the service from the supplier was exceptional . 
0,c ) the scroll bar is a travesty -- enough said 
0,"Unfortunately, Creative offered scant few pages of instruction, which meant that I was on own from the outset. "
1,Battery : A Big Big plus. 
0," Have the latest firmware but as many others have described , the router will randomly stop working for 5 minutes then work again ."
0,"After 4 attempted installs, I have finally given up."
0,"First of all, I've never been big on earbuds - they're just not that comfortable."
1,I couldn't believe what I had been missing.
0," After that , the router would never even respond to its own internal browser link ."
0,"I hope you have a magnifying glass, because the number displayed as well as most of the pop up options are tiny."
0,"There will be much erasing of text as, one would tend to type something instead of the actual letters."
1,"I am just in love with this phone, especially after using a more primitve phone about 3 years."
1,"unarguably better than Apple's, and nice earbuds to boot.  "
0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks."
1,feels solid in hand . 
0,i 've had this thing just over a month and the headphone jack has already come loose . 
0,The Diaper Genie needs it's own refill bags in order to work and that's just more money that you don't have to spend.
1,"try before you buy if at all possible : although i am a mac addict now for over a decade and everyone i know has previously bought an ipod , the nomad zen xtra was a far better value and is just as easy to use with regards to both hardware and software interface . "
1,"i 've only had it a week , but so far , everything about this camera is making me happy . "
1," The speakers have a very rich sound and good bass also , obviously not thumping bass for which you would need a huge subwoofer !!"
1," Harmon international has done a great job on all of these equipment , the AVR 525 produces crystal clear sound with excellent clarity ."
0, Since it would not work as advertised I called support .
1,I've been incredibly happy with this camera.
1,"the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . "
0,I dont use the belt clip cuz it fails to hold the player securely (design problem). 
1,the best 4 megapixel/4x optical zoom camera available and fairly easy to use . 
1,FM tuner & Microphone : Having a tuner in the player is a blessing. 
1,The display and brightness on this phone is quite extraordinary.
