class,text
5,"Perhaps you've heard of the Library of Congress.  Nice Library. Burton Barr Central Library has a bigger reading room. Wil Bruder was the Architect.  You either love his work, or you hate his work.  I love his work!  And, this library is as good as it gets. Arrive in the sixth floor reading room a little before Noon *on* the Summer Solstice.  Ask a librarian:  They'll tell you why. [ah, the mystery....]"
3,"Ok, I usually write longer more intricate reviews about a restaurant but for this new establishment I will summerize. 1.  Great decor and ambience; would be better minus the flat screens 2.  Friendly service; but needs more training with food and knowledge of  3.  Timing of Kitchen; if a table has two or more persons, food should come out at the same time or around the same time.  Especially when they are not sharing. 4.  Food; if you specialize in spring rolls, please make sure they are rolled up proficiently.  It needs to be tight, not loose:) Flavors are good, but there could be a variation of sauce for the spring rolls.  4 rotating flavors for over 20 rolls is not a good ratio. 5.  Pricing is not bad for some items, but I do agree with other reviews that for most items, the pricing is a little high for the neighborhood biz and the quality of food offered. Overall, nice place to hang with friends for a drink and nibble before the actual dinner somewhere else. I will give it a few more months for an update.  This place has potential, but not well executed. When opening a restaurant, you should be ready and able to.  If you are not, you should wait til the staff is well trained.   I believe the owner or chef is inexperience.  Hopefully, it will improve... Get to work guys!!"
4,"I've been coming here for 10 years and still love it. The bbq beans are really good. My favorite thing to get here is a jumbo baker (and they mean jumbo) with everything on it including a side of chopped beef and then I add their homemade bbq sauce to it. Sooooo good. Their homemade root beer and limeade are also yummy. I remember them having a customer appreciation day once a year (I think in May) where lunch and dinner and free! You would get a pulled pork sandwich, a side and a drink for nothing. The lines would be out the door, but the food is worth the wait. I also remember them offering a free dinner (can't remember the choices) on your birthday. It's a cute little place in downtown Gilbert. Check it out."
1,"I hadn't been to Fuddruckers for about 20 years... now I know why.  Cashier was nice and very helpful.  I ordered bacon cheese burger combo.  Fries were only warm, not hot.  Burger was not very tasty and it was full of gristle bits... you know the ones that stick between your teeth.  Lots of trash on the floor.  After we were finished, someone came to ask how things were.  I told here about the fries and she offered to get me more; I declined.  She offered a free dessert: I accepted.  In all, not a good experience, will probably be at least another 20 years before I go back."
4,"Talk about options!  It's almost unfair to have so many items on a menu.   Especially when the food is so good.  I have gone to the Cheesecake Factory several times and have not been able to even put a dent in the menu. So, I wasn't too hungry this time, so I decided to order from the small plates menu.  We started with the corn fritters.  Then I ordered the shrimp and grits and my husband ordered the hibachi steak.   The only reason I didn't give them five stars is because we didn't get our appetizer until the our food was ready.  And by that time, we had already stuffed our faces with bread and butter (which is delicious)!  The server apologized for delay in bringing our app and the manager came by and didn't charge us for the corn fritters.  That was much appreciated!  We only had one of the fritters since our other dishes were in front of us and we didn't want those to get cold.   I really like the shrimp and grits.  I think the dish came with a little too much sauce...but that's just me....I just really liked the taste of the cheddar grits.  My husbands steak was really really good!  The hibachi steak is what I normally ordered.  I will go back again!"
4,"Located next to T-Mobile on the Southeast corner, the parking is terrible because of the ""always busy"" Paradise Bakery.  Good prices (about $1-2 less than most other places), quick service, good manicure and decent arm/hand massage, clean place. I plan to come back try out their pedicure soon."
5,This was our first time at Texas BBQ House. They gave us a sample and help us with our order. The brisket was fantastic. I got the moist and my wife got the lean. We both enjoyed our choices immensely. I will definitely go back. I wanted some spicy BBQ sauce and apparently they have it but I didn't see it.
4,"I stopped by early this morning to satisfy my crave for something new. The place is very clean and a man came out to greet me and was ready to serve. He clearly explained every item I was curious about since the labels were in Spanish. I asked if his name was Miguel and he said yes. I told him I read about his bakery on Yelp. Then he said that he loves Yelp and that's how word is going around now for him and he also uses to find reviews on other places. He was very friendly and had lots of patience. I was the only customer at the time and he actually doesn't mind having a conversation unlike open ended talks with others. I ended up buying 10 pastries and it cost $6.80. What a great deal! They also sell other items such as tamales, burritos, and menudo. I inquired about the burritos cuz I like mine with a little kick,but unfortunately they weren't ready yet. He showed me the homemade tortillas and he says he used them on the burritos. He said they don't look big, but he assured that the burritos are filled with red (mild) or green (with a kick) chili, shredded pork, and some potatoes. He said that one burrito is good to fill up a person. So...I must come back and try it.  So far I've had the flaky pastry with the shredded coconut and Bavarian cream...the Bavarian wasn't as creamy than I'm used to. I almost thought it would have been better off to not have it, but it's a nice added flavor when you eat it all together rather than just tasting the Bavarian on its on.  I had that curvy, pretty looking pastry which is topped with crystal sugars and with all the sugar on top, I thought it might be too sweet, but nope. It was just fine with the pineapple filling (excuse me as I wipe my drool).  Then it was off to have the caramel flautas dusted with powdered sugar. The first bite was eh. The second bite was...um. Third bite, WOW! I finally reached the part that had more caramel in it and I LOVE IT!!! Did I mention that I'm not a big fan of caramel? This caramel is sweet and creamy. It's just so good! A definitely must have for next time. That's about as much my tummy let me eat for today. I'm sure the rest will be just as good and I can't wait till tomorrow morning to try to rest of my goodies."
4,"Good place to have a beer, duck fart, or whatever you may fancy.  I am absolutely in love with their fried pickles. They are so far my favorite in the valley. Long sandwich style slices with a crispy light beer-esque batter. They also have some wonderful perogies on the menu. If you order a burger... you must try the red cabbage slaw as a side. I like going here to just have a low key night. Good place to watch sports too- that's just not really my scene."
4,"I went to Saba's feeling a little scared.  Fast food Greek in a strip mall?  This could go one of two ways...surprisingly good or health code violation bad.   I am very glad to say it didn't end being the latter.  In fact, the food here was pretty damn good.  I did expect Saba's to be an order at the counter joint, so I was a little disappointed to see it was actually a tiny restaurant.  I like my Greek fast and cheap, okay?  But I got over it, got a table and began the interminable wait for our server to stop chatting with other diners and take our order. The menu has all the normal Greek items, including falafel- little fried balls of joy I might add- gyros, vegetarian platters, spanakopita and dolmas.  Prices for the sandwiches and gyros are pretty cheap, but when you venture into the platter territory, you're going to pay for it. Platters start around $10 and go up.  I ordered the falafel, of course, and so did my boyfriend.  The pita sandwiches don't come with any sides, so we ordered a basket of fries to go along with our meal. The dcor was pretty cool with big pictures of Greece all over the walls and the classic Greek music piped in.  Unfortunately, not even the Greek music could mask the hideous, loud tool of a diner that was sitting at the table in front of me. He was one of those idiots that has to talk so loud, even the half-deaf cook in the kitchen can hear him.  He was so loud I felt like I should respond to his questions.  Hey moron- saying things like ""I like it loose, like my women,"" is just not funny. Anyways, when we finally got our food, it was really good.  The falafel pita and the fries were tasty, but our server sucked.  He obviously knew the loud tool, and kept chatting with him while we waited for our check.  That was a little annoying, but overall, Saba's is a good choice for a quick Greek meal."
