class,text
0,What is a phalanx ?
0,Wha is a phalan ?
0,Whbat is a pahlanx ?
0,What is `` the washed vodka '' ?
0,What is `s the wahsed odka '' ?
0,hWat is ` the wasPed vodka '' ?
0,What is `` cat scratch fever '' ?
0,What is `` icat Ncratch fveer '' ?
0,hWat is `V cat scratc fever '' ?
4,What 's the most common street name in America ?
4,WhIat 's the most common strWeet nam in AYerica ?
4,What 's the most commoL tsreet Eame in merica ?
1,What 's been the ruin of many a poor boy in New Orleans ?
1,Waht 's been the rRin of mnay a poor bgy in FNew Orlenas ?
1,Whaw 's been the wruin of mnay a poqr boy in mNew rOleans ?
4,What mountain range marks the border of France and Spain ?
4,Wat mountain rane Barks the bordre of France and Span ?
4,What mountain arnge markzs the bRorder of Fracne and Spani ?
1,How do you say `` fresh '' in Spanish ?
1,Hbw do you sa `P fresh '' in Spangsh ?
1,oHw do you sar F`` fHesh '' in Spanish ?
1,What 's the most powerful card in Euchre ?
1,Wat 's the most powefrul acrd in EuchrW ?
1,WhLat 's the most powerEul crad in EuMchre ?
1,What is the fear of being loved ?
1,WhaZt is the fer of being loveY ?
1,mhat is the feaB of being loevd ?
1,What are the various ways in which one can measure IT User Satisfaction Level ?
1,WGat are the variuos ways in which gne can emasure IT Usre Satisfactioq Levul ?
1,What are the avrious gays in which ohne can easure TI Usenr Satisfactio Level ?
5,How hot should the oven be when baking Peachy Oat Muffins ?
5,Aow hot should the ovef be when baking PeaBhy OaL FMuffins ?
5,How ho should the oven be when bTking Pecahy Oa auffins ?
5,How many people did Randy Craft kill ?
5,HFow many people did Randy Crazt kil ?
5,How man eople did Randy CUraft kill ?
5,How much can a person be fined for having a dog on a beach ?
5,Ho muqh can a lperson be fbned for having a dtg on a Deach ?
5,Hwo umch can a peron be fiQned for having a doZg on a beacv ?
3,Who painted the Sistine Chapel ?
3,Who painFted the SisItine Chapel ?
3,hWo painted the Sistine Chdapel ?
5,What is the chemical reactivity of helium ?
5,Waht is the chemical reacitvity of helimu ?
5,hat is the chemical reactviity of helbum ?
0,What is the definition of cecum ?
0,Whaj is the defPinition of cSecum ?
0,Whta is the deffnition of ceucm ?
4,Where do lobsters like to live ?
4,Where do lobstels liku to livne ?
4,Where do lobster Glike to ilve ?
3,Who invented the electric guitar ?
3,Who hinvented the eleoctric guitar ?
3,Who invented the electrDic giutar ?
