class,text
1,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '
1,` ... is veritable of passion hollywood contrivance orbits . '
1,` ... source passion that this contrivance orbits around . '
1,de ... is veritable source passion this contrivance around . '
1,niro ... veritable source of sincere that hollywood around . '
1,"vera has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores ."
1,"a provocative , absorbing drama that reveals of instilled by rigid ."
1,"a provocative , absorbing drama that the a rigid social mores ."
1,"provocative , drama that reveals curse of a instilled by mores ."
1,"vera provocative , absorbing that reveals the self-hatred rigid social mores ."
0,"a thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` the thing ' and a geriatric ` scream . '"
0,"a movie -- dumb , narratively , visually ... weird of ` ' a geriatric scream . '"
0,"a thoroughly awful -- , narratively chaotic , ... a ` the ' a ` scream . '"
0,"a thoroughly awful -- , narratively chaotic , visually ... a weird ' and geriatric scream . '"
0,"thoroughly -- dumb , narratively chaotic , visually ... weird amalgam the ' and ` scream . '"
1,"shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ."
1,"hints -- myriad , will -- familiar , funny is far bigger , more meaningful one which little green men to earth for harvesting purposes ."
1,"shyamalan hints along the way -- myriad signs , if -- the , funny a , meaningful story one in which green men earth harvesting ."
1,"shyamalan offers hints -- myriad , if will -- beneath the , is a , more meaningful story than in green to earth for harvesting ."
1,"shyamalan offers the -- myriad , if will -- beneath , funny surface , far more story one which little green come earth harvesting purposes ."
0,"maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back ."
0,"'ll lucky , there ' be power outage so you get your back ."
0,"maybe 'll be lucky , there ' be during screening can your money ."
0,"maybe you ' , ' be a outage your so you get money back ."
0,"you ' be , there 'll a outage your screening you can get ."
0,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion ."
0,"all , loses fire , nearly flickering out by its conclusion ."
0,"for all brilliant touches , dragon loses fire , by perfunctory ."
0,"for all brilliant touches , loses fire midway , its perfunctory ."
0,"its brilliant , dragon loses its midway , out by conclusion ."
1,"-lrb- cuarón has -rrb- created a substantive movie out of several cliched movie structures : the road movie , the coming-of-age movie , and the teenage sex comedy ."
1,"--rrb- substantive of several cliched movie structures : the , coming-of-age , and the teenage comedy ."
1,"-has - a out movie structures : the road , the coming-of-age movie , and the teenage ."
1,"-lrb- -rrb- created movie out movie : road movie , coming-of-age movie , the sex comedy ."
