class,text
5,How many e-commerce companies are started every day ?
5,How several e-commerce corporation are initiates each day ?
5,How various e-commerce enterprise are began entire day ?
5,How various e-commerce firms are begun everything day ?
5,Mode many e-commerce entrepreneurial are embarked all day ?
3,Who was the first English circumnavigator of the globe ?
3,Whom was the frst Englishmen circumnavigator of the planet ?
3,Whom was the outset Englishmen circumnavigator of the globo ?
3,Whose was the fiirst Frenchman circumnavigator of the orb ?
3,Whose was the firstly Englishman circumnavigator of the planet ?
1,What color flies closest to the staff on Belgium 's flag ?
1,Quel colouring stealing nearest to the staff on Belgium 's flagged ?
1,Quoi coloration smee near to the employees on Belgium 's flag ?
1,Quoi dye flying nearer to the workforce on Belgium 's flag ?
1,Whar colored flying near to the staffs on Belgium 's flag ?
3,Name of heroine in `` Scruples '' ?
3,Behalf of idol in `` Inhibitions '' ?
3,Denomination of idol in `` Inhibitions '' ?
3,Designation of heroin in `` Inhibitions '' ?
3,Naming of idol in `` Qualms '' ?
4,What country is the origin of the band the Creeps ?
4,Quel nations is the origins of the bands the Willies ?
4,Whar nationals is the genesis of the banding the Sneaks ?
4,Whereof nations is the originating of the banding the Crawls ?
4,Whereof nations is the source of the bands the Crawls ?
3,Who invented basketball ?
3,Who coined basketball ?
3,Who concocted basketball ?
3,Whom invented basketball ?
3,Whose invented basketball ?
0,What did Cool Hand Luke go to jail for ?
0,Quoi did Cooling Hand Lke go to imprisons for ?
0,Quoi did Refrigerate Hand Lke go to prison for ?
0,Whar did Cooling Hand Matty go to prison for ?
0,Whar did Cooling Hand Matty go to slammer for ?
1,What is a film starring Jude Law ?
1,Quel is a film championships Jude Lois ?
1,Whar is a movies championships Jude Law ?
1,What is a films starring Judd Legislation ?
1,Whereof is a flick championship Jude Law ?
5,What is the fare cost for the round trip between New York and London on Concorde ?
5,Quoi is the tariffs costs for the ronda travelling between Nuevo Yorke and London on Concord ?
5,Quoi is the tariffs prices for the rounded journeys between Nouveau Yorke and London on Concord ?
5,Whar is the tariff price for the redondo journey between Novel Yorke and London on Concordia ?
5,Whereof is the tariff expenses for the redondo tours between Newer Yorke and London on Concordia ?
5,What was the 1940 annual salary for a boilermaker ?
5,Quel was the 1940 annually payrolls for a boilermaker ?
5,Quoi was the 1940 annually salaried for a boilermaker ?
5,Quoi was the 1940 year remuneration for a boilermaker ?
5,Whar was the 1940 year wages for a boilermaker ?
3,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?
3,Quel tv networks flogged its athletic programmed on Inga Nelson 's bodies in 197 ?
3,Quoi televisions network horsewhipped its athletic programs on Inga Nielson 's cadaver in 197 ?
3,Quoi tv grids whipped its athletic program on Inga Nielsen 's organs in 197 ?
3,Quoi tvs grids flogged its sportsman programmed on Inga Nelson 's agencies in 197 ?
3,What are the top ten most common girl names in the US ?
3,Quel are the supreme ten most commons fille naming in the USA ?
3,Quoi are the supreme dix most common giri surnames in the USA ?
3,Whar are the topped dix most commons daughters name in the US ?
3,Whereof are the superior dix most common fille name in the USA ?
0,How do cameras take pictures ?
0,How do camera take photograph ?
0,How do cameras taking photographs ?
0,How do cameras taking pictured ?
0,How do cameras taking visuals ?
4,What building are British monarchs crowned in ?
4,Quel build are Britannica monarchs crowned in ?
4,Quel construction are Briton monarchs crowned in ?
4,Quoi constructing are Britain monarchs crowned in ?
4,Whereof build are Briton monarchs crowned in ?
4,What North American city would you visit to see Cleopatra 's Needle ?
4,Quel Northerly Americana city ought you visit to behold Cleo 's Needle ?
4,Whar North Americano ville ought you visited to see Cleo 's Needle ?
