class,text
1,david banner is performing regeneration experiments and uses himself as a guinea pig . 
1,banner is performing regeneration experiments uses himself . 
1,david is performing regeneration experiments uses a . 
1,david is regeneration and uses himself guinea . 
1,regeneration experiments and as a guinea pig . 
1,"as she learns more about her ex's infidelity , she wonders if bogdan's lifestyle may be preferable to the manipulative starkness of her ex that ultimately lead to his murder . "
1,"as learns her , lifestyle may be preferable to the starkness her that to his murder . "
1,"as she more about , wonders if lifestyle be manipulative starkness of her ex that murder . "
1,"she learns about her infidelity , she bogdan's may be to the manipulative of that murder . "
1,"she more her infidelity , bogdan's lifestyle be preferable manipulative starkness of her ex to murder . "
1,"yet , the fellowship is broken and boromir is dead . "
1,", the fellowship is broken is . "
1,"yet , fellowship is boromir is . "
1,"yet , fellowship is broken boromir . "
1,"yet , the fellowship broken and . "
0,"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor . "
0,"kids fantasy adventure , and should its whimsical . "
0,"kids love adventure , and should its whimsical . "
0,"kids love its adventure , and should its . "
0,"kids will love its and , and grownups . "
0,"meyjes's movie , like max rothman's future , does not work . "
0,", like rothman's future , does work . "
0,"meyjes's movie , like max future , . "
0,"meyjes's movie , max , not work . "
0,"movie , max future , not work . "
1,"the gang breaks their leader out of jail , killing the policemen in the process . "
1,"breaks their of jail , killing the process . "
1,"gang their of jail , killing in process . "
1,"gang their out jail , in the process . "
1,"the their of jail , killing policemen process . "
0,"on the surface , the film is played straight , with sustained tension and effective frights . but the director has done his research , and fills every scene with a subversive humor that's 100% pure imitation hitchcock . "
0,", film is , with tension effective frights . director has done research , and every scene with a subversive humor% . "
0,", film is straight , sustained tension and effective frights . but director done , and fills scene subversive that's% hitchcock . "
0,"on the , the played , and frights . director has done his research , and every humor that's% pure imitation . "
0,"surface , played straight , with tension and effective frights . the has research , every with subversive humor that's% imitation . "
0,those who want to be jolted out of their gourd should drop everything and run to ichi . 
0,those who want be jolted of their to ichi . 
0,those who want jolted their should everything run to . 
0,want be jolted their gourd should everything run ichi . 
0,who want to be jolted of gourd should to . 
0,viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some freudian puppet . 
0,this underdramatized is like watching transcript a therapy brought to humdrum life . 
0,underdramatized overstated film a transcript therapy session brought to life by puppet . 
0,viewing underdramatized but overstated film like a session by some freudian puppet . 
0,viewing underdramatized like a therapy brought to humdrum life by some puppet . 
0,kidd deals with lust and egoism the way a surgeon is interested in a tumor . he exposes ugly attitudes but maintains compassion for his mean-spirited subject . 
0,and egoism way a surgeon is tumor . he ugly maintains for his subject . 
0,deals lust and the way in a tumor . ugly but for mean-spirited subject . 
0,deals the a interested in a tumor . exposes ugly but maintains compassion his . 
0,kidd lust and egoism way interested in a . he but compassion for subject . 
1,"in all , the film examines a destructive relationship that struggles with even the simplest decisions . "
1,", film a that struggles even the simplest decisions . "
1,", the film examines a relationship even the decisions . "
1,"all , the examines a relationship that with the . "
1,"in all , a destructive relationship struggles with the . "
0,"viewers of "" the ring "" are more likely to remember the haunting images than the plot holes . "
0,"viewers "" "" are more to images than the plot . "
0,"viewers "" "" more likely the images than plot holes . "
0,"viewers "" ring "" are likely to haunting images the . "
0,"viewers "" the "" are to the haunting than plot . "
0,every defiantly over-the-top action scene -- from high-stakes car chases to fearsome drug busts -- seizes your adrenal gland and milks it like an epileptic farmer . 
0,every defiantly action -- high-stakes car drug busts -- seizes adrenal gland epileptic farmer . 
0,every over-the-top -- high-stakes car fearsome drug busts -- seizes adrenal gland milks farmer . 
0,every over-the-top scene -- car to drug busts -- seizes gland it an farmer . 
0,over-the-top -- from car chases drug -- your adrenal and milks it like an . 
1,the film provides the viewer with a close-up biographical look at the lives of the enforcers of this penalty and of their personal fates . 
1,film the viewer look the of penalty and of their personal fates . 
1,the film provides viewer a close-up at lives enforcers this and fates . 
1,the film provides viewer with a close-up look at lives of their . 
1,the the viewer at the lives the enforcers of this their personal . 
1,"a married seattle couple ( megan murphy , jeff weatherford ) struggle in their relationship as they approach the millenium , each looking for new directions in their life . "
1,"a ( megan murphy , jeff weatherford ) in as they the , for new directions their . "
1,"a couple ( , jeff ) struggle in relationship as they the millenium , each directions life . "
1,"a married couple ( megan , ) relationship they approach the , each new directions their life . "
1,"seattle ( megan , jeff weatherford ) in relationship they approach the millenium , new in life . "
0,sunshine state is a fine example of a carefully written film . but you shouldn't be too aware that a movie is well-written . 
0,state is a of a carefully . you aware that a movie . 
0,sunshine a fine of written film . shouldn't aware that movie is . 
0,sunshine state a a written . be that a movie is well-written . 
0,sunshine state is fine film . but that a movie is well-written . 
0,it's a celebration of self-confidence and a slap in the face of a society that cherises impossibly unnatural physical perfection . 
0,a celebration of a slap in the cherises unnatural physical . 
0,a celebration of self-confidence the face society impossibly physical perfection . 
0,a self-confidence a in the face society that unnatural perfection . 
0,of self-confidence slap face of a society that impossibly perfection . 
1,"jacki ( gina gershon ) , sexy punk rocker and lead singer of the all-girl band clamdandy , is at a crossroads . "
1,"( gershon ) , lead singer band clamdandy , is at a crossroads . "
1,"( gina gershon ) , sexy and singer the all-girl band , crossroads . "
1,"jacki ( gershon ) , sexy punk rocker lead , at a crossroads . "
1,"jacki ( gina gershon ) , punk and lead of all-girl , is . "
0,a poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature . 
0,a humorous loves its communicates something rather about human . 
0,a poignant and gently that and rather beautiful human . 
0,gently humorous parable that loves and rather human nature . 
0,poignant gently that loves its characters something rather human . 
0,no amount of nostalgia for carvey's glory days can disguise the fact that the new film is a lame kiddie flick and that carvey's considerable talents are wasted in it . 
0,amount for carvey's glory days can disguise new film is kiddie and carvey's considerable wasted . 
0,amount nostalgia glory can the the new film is a kiddie flick and talents in . 
0,no amount nostalgia can disguise that the is lame kiddie and carvey's considerable talents are . 
0,no of nostalgia carvey's glory disguise that is lame kiddie flick carvey's considerable are it . 
1,"slowly , it changed to love but it was still unsaid . "
1,", it changed to still unsaid . "
1,", it it was still unsaid . "
1,"slowly , love it still unsaid . "
1,"slowly , to love but unsaid . "
0,watching spirited away is like watching an eastern imagination explode . 
0,spirited like watching an imagination . 
0,watching away is an imagination . 
0,watching is an eastern imagination . 
0,watching spirited away like eastern . 
0,"you'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it . "
0,"be left of having witnessed great performance , perhaps , in to to and shake it . "
0,"just witnessed great performance and , perhaps , give in the urge get on your shake . "
0,"left having just witnessed a , perhaps , to the urge to on feet and shake . "
0,"left with the of witnessed a great performance and , , in to the get your . "
0,this is a movie that made me smile for two hours straight . 
0,a movie made me two hours . 
0,is movie made smile hours straight . 
0,is movie that made smile for . 
0,that made smile for two hours . 
1,"when he meets a beauty , renee ( izabella miko ) , who says she's reincarnated he must confront his beliefs . "
1,"beauty , ( izabella miko ) , who says she's must confront his . "
1,"he beauty , ( izabella miko ) , who says he must confront . "
1,"when he a , renee ( miko ) , who says reincarnated must . "
1,"when meets beauty , ( izabella ) , who she's he must his . "
0,"it challenges , this nervy oddity , like modern art should . "
0,", nervy oddity , modern art should . "
0,", this oddity , like art should . "
0,"challenges , this nervy , modern should . "
0,"challenges , this oddity , art should . "
0,"this is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but ayres makes the right choices at every turn . "
0,"is the kind subject matter that so fumbled lesser filmmaker , but ayres the at . "
0,"kind subject have been by a lesser , ayres makes the right at every turn . "
0,"of subject matter could easily been by a lesser , the right at every turn . "
0,"this the kind of matter that could so easily have filmmaker , right at turn . "
1,"in these modern times where phrases like "" two income families "" are the norm , is it wrong for a woman to want to stay home and raise a family ? "
1,"modern times where like "" two income families "" norm , is wrong for a home a ? "
1,"these times where like "" families "" norm , is for a woman to home and a ? "
1,"these where phrases like "" families "" norm , it for woman to stay home raise a ? "
1,"times phrases like "" income "" are norm , is wrong for to want stay home and ? "
0,"the project honors [dickens'] passionate voice , and the strong ensemble cast sees us through a few tonal shifts . "
0,"honors [] passionate , and ensemble cast through a few shifts . "
0,"the honors [] , and the cast us through a shifts . "
0,"the honors [dickens'] , the strong cast sees through a . "
0,"the project [dickens'] voice , and strong us through tonal . "
0,should appeal to more than just hardcore hip-hop fans . 
0,appeal more just hardcore fans . 
0,appeal more than just hip-hop . 
0,should to than hardcore fans . 
0,should to than just hip-hop . 
1,"with some encouragement from tom ( paul bettany ) , the self-appointed town spokesman , the little community agrees to hide her and in return , grace agrees to work for them . "
1,"with from tom ( bettany ) , town spokesman , agrees hide and in return , grace to work . "
1,"with some encouragement from ( paul ) , town , little community to hide , grace agrees to them . "
1,"with some encouragement from tom ( ) , self-appointed town , little agrees hide and , grace agrees work . "
1,"with some encouragement from tom ( paul ) , the self-appointed , the little return , to for them . "
0,"just as moving , uplifting and funny as ever . "
