class,text
1,"it 's a wonderful , sobering , heart-felt drama ."
1,It's a wonderful and sober drama with a sense of heart.
1,"It's a wonderful drama, sober, heart-sense."
1,"It's a wonderful, sober drama with a sense of heart."
1,"it 's a wonderful , sobering , heart-felt drama ."
0,odd and weird .
0,Strange and strange.
0,odd and weird .
0,"in its best moments , resembles a bad high school production of grease , without benefit of song ."
0,"In its best moments, it resembles a poor fat production in high school, without the benefit of the song."
0,"in its best moments , resembles a bad high school production of grease , without benefit of song ."
0,"it has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition ."
0,"It looks like a surprisingly young mutiny, a joke with pop influence whose charms are immediately evident and wear out thin with repetition."
0,"It looks like a surprisingly young riot, a joke with pop influence whose charms are immediately evident and wear out thin with repetition."
0,"has the air of a surprisingly young riot, a joke with pop influence whose charms are immediately evident and wear out thin with repetition."
0,"has the air of a surprisingly youthful uproar, a joke with pop influence whose charms are immediately apparent and wear out thin with repetition."
1,there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
1,There's a lot of tongue on the cheek in the movie and there's no doubt that the filmmaker is having fun with everything.
1,there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
1,"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story ."
1,"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story ."
1,"drumline is -- the mere suggestion, though visually convincing, of a fully realized story."
1,it strikes hardest ... when it reminds you how pertinent its dynamics remain .
1,Hit harder... when it reminds you of how relevant his dynamics are.
1,Hit harder... when it reminds you of how relevant their dynamics are.
1,It hits harder... when it reminds you how relevant their dynamics remain.
1,it strikes hardest ... when it reminds you how pertinent its dynamics remain .
1,"the exploitative , clumsily staged violence overshadows everything , including most of the actors ."
1,"Exploiting violence, organized clumsily eclipses everything, including most actors."
1,"Exploiting violence, organizing unpleasantly eclipses everything, including most actors."
1,"exploitative violence, clumsily organized eclipses everything, including most actors."
1,"the exploitative , clumsily staged violence overshadows everything , including most of the actors ."
0,"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here ."
0,"... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here ."
0,"...a complete wreck of a film so careless, so unequal, so unpleasant that I don't think any spectator, young or old, would spend a good time here."
1,much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep .
1,much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep .
1,much of everything about Lily Cahou-chou is hypnotizing: some of her crying might make you cry.
1,much of everything about lily cahou-chou is hypnotizing: some of her crying could make you cry.
0,it is too bad that this likable movie is n't more accomplished .
0,It is a pity that this pleasant film is no longer made.
0,It's too bad this beautiful movie isn't made anymore.
0,It's too bad this nice movie isn't made anymore.
0,it is too bad that this likable movie is n't more accomplished .
1,"if you 're down for a silly hack-and-slash flick , you can do no wrong with jason x."
1,"If you want a dumb hack-and-slash movie, you can't hurt Jason X."
1,"If you want a stupid hack-and-slash movie, you can't hurt Jason X."
1,"If you're down for a dumb hack-and-slash movie, you can't do any harm to Jason X."
1,"if you 're down for a silly hack-and-slash flick , you can do no wrong with jason x."
1,credit director ramsay for taking the sometimes improbable story and making it feel realistic .
1,Ramsay credit manager to take the story sometimes unlikely and make it feel realistic.
1,credit director ramsay for taking the sometimes improbable story and making it feel realistic .
0,"unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook ."
0,"an unambitious writing emerges in the film, using a plot that could have come from a textbook of an animated film."
0,"an unambitious writing emerges in the film, using a plot that could have come from a textbook of an animation film."
0,"an unambitious writing emerges in the film, using a plot that could have come from an animated-film script textbook."
0,"unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook ."
0,"the film is all over the place , really ."
0,"The film is all over the place, really."
0,"The film is everywhere, actually."
0,"The film is everywhere, really."
0,"the film is all over the place , really ."
1,one of the very best movies ever made about the life of moviemaking .
1,One of the best movies ever made about film life.
1,one of the very best movies ever made about the life of moviemaking .
0,... silly humbuggery ...
0,... dumb humbuggery...
0,... silly humbuggery ...
0,"seagal ran out of movies years ago , and this is just the proof ."
0,"Seagal ran out of movies years ago, and this is just a test."
0,"Seagal ran out of movies years ago, and this is just proof."
0,"seagal ran out of movies years ago , and this is just the proof ."
0,the fact that it is n't very good is almost beside the point .
0,The fact that it's not very good is almost out of the question.
0,the fact that it is n't very good is almost beside the point .
1,"the ingenious construction -lrb- adapted by david hare from michael cunningham 's novel -rrb- constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism"
1,"the ingenious construction -lrb- adapted by David Lebre of Michael Cunningham's novel -rrb- constantly flows forward and backward, weaving themes between three threads that allow us to see events as if through a prism"
1,"the ingenious construction -lrb- adapted by david hare from michael cunningham 's novel -rrb- constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism"
0,"the story is also as unoriginal as they come , already having been recycled more times than i 'd care to count ."
0,"the story is also as unoriginal as they come , already having been recycled more times than i 'd care to count ."
0,"the story is also as unoriginal as they come, having already been recycled more times than I would like to tell."
1,"i still like moonlight mile , better judgment be damned ."
1,"I still like the moonlight mile, better judgment be condemned."
1,"i still like moonlight mile , better judgment be damned ."
1,"ratliff 's two previous titles , plutonium circus and purgatory county show his penchant for wry , contentious configurations , and this film is part of that delicate canon ."
1,"The two previous titles of ratliff, the plutonium circus and purgatory county, show their inclination to controversial and controversial environments, and this film is part of that delicate canon."
1,"The two previous titles of ratliff, the plutonium circus and the purgatory county, show their inclination to polemic and polemic environments, and this film is part of that delicate canon."
1,"ratliff 's two previous titles , plutonium circus and purgatory county show his penchant for wry , contentious configurations , and this film is part of that delicate canon ."
