class,text
1,What color of Monopoly properties are landed on most often ?
1,What colorise of monopoly property are land on most oft ?
1,What colouring of monopoly dimension are down on most oftentimes ?
3,What 's the most common nickname of U.S. college football teams ?
3,What 's the most green moniker of uranium.mho. college football squad ?
3,What 's the most vernacular moniker of uranium.southward. college football team ?
1,What two colors are you blind to if you suffer from protanopia ?
1,What II colours are you screen to if you abide from red-blindness ?
1,What ii colourise are you subterfuge to if you brook from red-blindness ?
4,Where was George Washington born ?
4,Where was George Capital pay ?
4,Where was George Capital tolerate ?
5,What percentage of the body is muscle ?
5,What pct of the personify is musculus ?
5,What portion of the soundbox is brawn ?
3,What information can you tell me about actor James Cromwell ?
3,What data can you say me about doer occlude Ironsides ?
3,What info can you assure me about player impede Ironsides ?
4,In which state are the Mark Twain National Forests ?
4,In which commonwealth are the commemorate brace interior Forests ?
4,In which tell are the patsy couple internal Forests ?
0,What is Boston Kreme ?
0,What is Beantown Kreme ?
0,What is Boston Kreme ?
4,What European country 's monarchy was restored in 1975 ?
4,What European commonwealth 's monarchy was reinstate in 1975 ?
4,What European land 's monarchy was repair in 1975 ?
1,Which airplane was Fawaz Younis convicted of hijacking ?
1,Which aeroplane was Fawaz Younis convict of commandeer ?
1,Which plane was Fawaz Younis convict of highjacking ?
5,How many milliseconds in a second ?
5,How many millisecond in a 2nd ?
5,How many msec in a indorsement ?
3,Who was Bonnie Blue Butler 's father ?
3,Who was comely downcast Butler 's engender ?
3,Who was sightly downhearted Butler 's get ?
4,What country is the origin of the band the Creeps ?
4,What land is the blood of the set the crawling ?
4,What land is the stock of the stripe the mouse ?
0,What is Tetrinet ?
0,What is Tetrinet ?
4,What kind of habitat does the scorpion live in ?
4,What form of habitat does the Scorpion exist in ?
4,What variety of habitat does the Scorpion lively in ?
5,How much money does a back injury lawsuit get ?
5,How often money does a indorse injury cause take ?
5,How often money does a punt injury causa bewilder ?
4,What are the names of all the seas in the world and what ocean do they drain into ?
4,What are the distinguish of all the ocean in the reality and what sea do they drainpipe into ?
4,What are the distinguish of all the sea in the universe and what sea do they drainage into ?
5,How long did the Paris Commune hold out for against the rest of France ?
5,How longsighted did the Paris communicate bear out for against the quietus of France ?
5,How recollective did the Paris communicate appreciation out for against the remain of France ?
4,Which city did Christian Crusaders fight to recapture from the Muslims ?
4,Which metropolis did christian Crusader push to recapture from the Muslim ?
4,Which metropolis did christian reformist oppose to retaking from the Muslims ?
0,What happened to Phillip Taylor Kramer ?
0,What befall to Phillip Taylor Kramer ?
0,What occur to Phillip Taylor Kramer ?
3,What dummy received an honorary degree from Northwestern University ?
3,What boob meet an honorary point from Northwestern university ?
3,What pinhead invite an honorary stage from northwesterly University ?
1,What is the dialogue circle in cartoons called ?
1,What is the dialog set in toon anticipate ?
1,What is the negotiation encircle in toon phone ?
3,Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?
3,Which of the pursuit rock'n'roll 'northward peal virtuoso has a `` sensation '' on Hollywood avenue ?
3,Which of the trace careen 'nitrogen stray wizard has a `` champion '' on Hollywood boulevard ?
1,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?
1,What was the appoint of the uracil.sulfur. USN gunboat in the movie The backbone pebble ?
1,What was the mention of the uranium.randomness. navy gunboat in the movie The backbone pebble ?
5,When did Charles Lindbergh die ?
5,When did Charlemagne Lindbergh conk ?
5,When did Charlemagne Lindbergh pass ?
4,"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?"
4,"What European commonwealth brag the metropolis of Furth , retrieve where the river Rednitz and Pegnitz meet ?"
4,"What European land bluster the metropolis of Furth , happen where the river Rednitz and Pegnitz meet ?"
4,What constellation represents a hunter with club and shield ?
4,What constellation constitute a huntsman with golf-club and carapace ?
4,What constellation present a Orion with lodge and cuticle ?
0,How do you make a computer chip ?
0,How do you give a figurer scrap ?
0,How do you score a figurer splintering ?
0,"What exactly , specifically does sleep do for you ?"
0,"What incisively , specifically does kip do for you ?"
0,"What precisely , specifically does rest do for you ?"
3,Who was Maria Theresa ?
3,WHO was mare Theresa ?
3,Who was mare Teresa ?
2,What does NN O `` mean when used as a prefix in Irish surnames ?
2,What does NN o `` entail when put-upon as a prefix in Irish cognomen ?
2,What does NN o `` meanspirited when victimised as a prefix in Irish surname ?
0,What are some children 's rights ?
0,What are some tyke 's rightfield ?
0,What are some youngster 's right ?
3,What was Marilyn Monroe 's real name ?
3,What was Marilyn Monroe 's literal appoint ?
3,What was Marilyn Monroe 's substantial cite ?
3,Who was the second man to walk on the moon ?
3,WHO was the indorsement homo to pass on the daydream ?
3,WHO was the instant world to paseo on the lunation ?
5,When did the Berlin Wall go up ?
5,When did the berlin fence proceed up ?
5,When did the berlin palisade exit up ?
4,What is the richest state in the U.S. ?
4,What is the ample State in the uranium.entropy. ?
4,What is the ample tell in the uracil.southward. ?
1,Ray Charles is best known for playing what instrument ?
1,Ray Charlemagne is secure live for wager what instrument ?
1,Ray Charles is honorable screw for flirt what cat's-paw ?
3,"Who wrote the song , `` Silent Night '' ?"
3,"WHO spell the song , `` Silent night '' ?"
3,"Who publish the Song , `` dumb Night '' ?"
5,What is the frequency of VHF ?
5,What is the frequence of VHF ?
5,What is the oftenness of VHF ?
5,How tall is kilamanjaro ?
5,How grandiloquent is kilamanjaro ?
5,How magniloquent is kilamanjaro ?
0,What are amaretto biscuits ?
0,What are amaretto biscuit ?
0,What are amaretto cookie ?
0,What is the origin of the term `` The Brooklyn Side '' in bowling ?
0,What is the origination of the terminus `` The Brooklyn English '' in bowl ?
0,What is the pedigree of the condition `` The Brooklyn position '' in bowl ?
1,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
1,"What are other agency of nonplus debase fool besides pregnancy , angle deprivation , and weight countermand ?"
1,"What are other direction of aim stretch pit besides gestation , slant loss , and weightiness annul ?"
3,What is the best distance education university or college ?
3,What is the practiced space instruction university or college ?
3,What is the salutary space Education university or college ?
4,Where can I take a test that will tell me what I should be when I grow up ?
4,Where can iodin train a examine that will distinguish me what ace should be when iodin turn up ?
4,Where can iodine subscribe a prove that will assure me what ane should be when ace develop up ?
4,"Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?"
4,"Where can i obtain all the data iodine pauperization to bed about the side civic War , 1642-1649 , ?"
4,"Where can single incur all the entropy iodin indigence to fuck about the side Civil warfare , 1642-1649 , ?"
3,Who is Olive Oyl 's brother ?
3,WHO is Olive Oyl 's sidekick ?
3,WHO is olive Oyl 's sidekick ?
0,What do I need to learn to design web pages ?
0,What do I penury to see to pattern vane Page ?
0,What do i demand to study to excogitation web foliate ?
0,What is the purpose of the SysRq key on my computer keyboard ?
0,What is the design of the SysRq discover on my calculator keyboard ?
0,What is the role of the SysRq describe on my estimator keyboard ?
1,What is the primary language of the Philippines ?
1,What is the elemental lyric of the Filipino ?
1,What is the principal lyric of the Philippine ?
5,What is the approximate weight of a teaspoon of matter in a black hole ?
5,What is the approximative angle of a teaspoonful of topic in a nigrify yap ?
5,What is the gauge slant of a teaspoonful of subject in a ignominious pickle ?
0,How do you stop junk snail mail ?
0,How do you arrest rubble snail send ?
0,How do you halt trash snail post ?
4,What is the greatest hiking Web site ?
4,What is the big boost vane site ?
4,What is the enceinte hike entanglement site ?
5,The Olympic Games in which year allowed Nadia Comaneci to become popular ?
5,The Olympian game in which class provide Nadia Comaneci to turn democratic ?
5,The Olympian punt in which twelvemonth leave Nadia Comaneci to get democratic ?
1,What is the only vegetable that starts with `` z '' ?
1,What is the only veg that jump with `` omega '' ?
1,What is the only veggie that commence with `` ezed '' ?
0,What are the rules to `` snow golf '' ?
0,What are the find to `` blow golf '' ?
0,What are the ruler to `` Snow golf '' ?
3,What Pope inaugurated Vatican International Radio ?
3,What Pope introduce Vatican international radio ?
3,What pontiff inaugurated Vatican external radio ?
4,What state in the United States covers the largest area ?
4,What State in the connect States incubate the great region ?
4,What nation in the unite state track the heavy area ?
4,Where can I find full written draft of CTBT ?
4,Where can ane uncovering good written drawing of CTBT ?
4,Where can one uncovering wide written outline of CTBT ?
1,Who were John F. Kennedy 's dogs ?
1,Who were bathroom fluorine. Kennedy 's firedog ?
1,Who were whoremaster fluorine. Kennedy 's firedog ?
1,What 's the term for an organism that lives on or in another ?
1,What 's the condition for an being that sprightliness on or in another ?
1,What 's the terminus for an being that sprightliness on or in another ?
1,What is the belt of low pressure around the equator called ?
1,What is the swath of depleted force about the equator name ?
1,What is the swath of miserable squeeze roughly the equator hollo ?
3,"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?"
3,"WHO indite the bestselling missionary go and inquiry in southward Africa , issue in 1857 ?"
3,"WHO publish the bestselling missionary travel and inquiry in S Africa , print in 1857 ?"
4,Where is Amsterdam ?
4,Where is Amsterdam ?
4,What London street claims to be the world center for men 's tailoring ?
4,What London street arrogate to be the humanity centerfield for valet 's orient ?
4,What London street exact to be the existence middle for humans 's cut ?
4,What country in 1998 had the most suicides regardless of population size ?
4,What commonwealth in 1998 had the most felo-de-se disregardless of universe sizing ?
4,What land in 1998 had the most suicide irrespective of universe sizing ?
1,Name the men 's cologne that is associated with the sea .
1,epithet the humans 's Cologne that is consociate with the ocean .
1,figure the piece 's Koln that is consort with the ocean .
0,How do I contact Answers.com direct ?
0,How do iodine contact resolution.com aim ?
