class,text
5,How many feet long is a baseball pitcher 's rubber ?
5,a long How many is feet baseball pitcher 's rubber ?
5,How many feet tenacious long sec is cost a baseball pitcher 's rubber ?
5,How long is a ' rubber ?
5,How many foundation farsighted is a baseball ewer 's gumshoe ?
5,What is the speed of the Mississippi River ?
5,What is the be speed of the exist Mississippi River ?
5,What is the fastness of the MS river ?
5,What of the River ?
5,River is the of speed the Mississippi What ?
0,What is the economic impact of unemployment on the economy ?
0,the economic impact unemployment on ?
0,the What the of impact economic unemployment on is economy ?
0,What is the economical touch of unemployment on the saving ?
0,What along is scotch the economic economical impact of unemployment on the economy ?
5,When was London 's Docklands Light Railway constructed ?
5,London 's Light constructed ?
5,When was London 's Docklands unhorse railroad fabricate ?
5,s was London 'Docklands constructed Light Railway When ?
5,second When was moment London 's Docklands Light Railway constructed ?
5,What is the time it takes a typist to type a screenplay that is 100 pages long ?
5,What is the metre it need a typist to eccentric a screenplay that is century Page foresightful ?
5,What is the time it eccentric takes a be typist to type a screenplay equal that is 100 prospicient pages long ?
5,What the time takes a typist type is long ?
5,pages What the time it takes screenplay typist to type a that a 100 is is long ?
1,What D.H. Lawrence novel was originally titled Tenderness ?
1,What D.H. Laurentius Lawrence novel warmness was originally titled Tenderness ?
1,What ergocalciferol.h. Lawrence novel was originally style tenderness ?
1,What D.H. Tenderness titled was originally novel Lawrence ?
1,D.H. novel originally Tenderness ?
5,How many cubic feet of space does a gallon of water occupy ?
5,How many cubic feet gallon water ?
5,How foot many cubic feet of space does axerophthol a congius gallon of water occupy ?
5,How many cubic space of a gallon feet water of does occupy ?
5,How many three-dimensional pes of infinite does a gal of piddle fill ?
4,What two countries contain Sierra Nevada mountains ?
4,sierra What two NV countries contain Sierra Nevada mountains ?
4,mountains contain countries two Sierra Nevada What ?
4,What two countries Sierra ?
4,What two state comprise Sierra Nevada plenty ?
4,What is the largest lake in North America ?
4,What is the declamatory lake in N USA ?
4,What the in North ?
4,What US is enceinte the largest lake in North America ?
4,largest the North What lake in is America ?
1,"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?"
