class,text
0,no film could possibly be more contemptuous of the single female population . 
0,. film could possibly be more )uous of the single female population .
0,"i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn't care . "
0,"i walked her not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn ' t matter ."
1,"when his sister meets a grisly death in san francisco , he goes there to hunt her killer . "
1,". his girl meets a grisly death in . colorado , he goes there to hunt her killer ."
0,"although the editing might have been tighter , hush ! sympathetically captures the often futile lifestyle of young people in modern japan . "
0,". the editing might have been happy , hush !egoricalally captures the imagined sadness lifestyle of young people in modern japan ."
1,"as they sort out clues - it's a slight person , perhaps a woman , who walks with a leg brace and rides the bus - they also find a mutual attraction . "
1,"as they find out places - it ' s a slight person , perhaps a woman , who walks with a leg brace and rides the bus - they do find a mutual attraction ."
1,"partnered with the sassy , stunning sistah girl , our hero must first undergo the ultimate attitude adjustment and trade in his 'fro and platforms for tennis sweaters and penny loafers . "
1,"partnered with the bellesy , stunning sistah girl , our hero must first undergo the ultimate attitude adjustment and trade in his ' fro of platforms for crop sweaters and pouch sockers ."
0,"full frontal had no effect and elicited no sympathies for any of the characters . by that measure , it is a failure . "
0,"full thus did an effect and eliciteed no trustmpathies for any of the characters . by that measure , it is a failure ."
0,"it's shocking , intense , and totally creepy , yet compelling and sad . jeremy renner gives a career-making performance . "
0,"it ' s shocking , set , and totally creepy , and compelling and ... . . renner gives a career - making performance ."
0,"a dim-witted and lazy spin-off of the animal planet documentary series , crocodile hunter is entertainment opportunism at its most glaring . "
0,"a dim - wit torpedo and lazy spin -off of the animal planet documentary series , crocodile hunter is entertainmentaticporthmsm at its most glaring ."
0,"what is 100% missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . "
0,"line . 100 % missing here is a script of even the most elemental worth , an inkling of genuine wit , and anything resembling accessories ."
1,"he tries to recapture the past , and make some sense of his life , that of his friends and family , and the present state of his native country . "
1,"he tries to recapture the past , and make some sense of his life , and of his families and family , and the present state of his native country ."
1,inspector mo eventually discovers through a tabloid magazine that a self-proclaimed psychic named shana had phoned a radio program on the day of the kidnapping to warn of the incident . 
1,inspector . . discovers from a tabloid magazine that a s - proclaimed psychic . shana had phoned a radio program on the day of the kidnapping to warn of the incident .
0,"what is unique about his secret life is that an assumption of intelligence , tolerance , and acceptance is already made , and thus the movie can focus on telling a compelling story . "
0,"what special unique about his secret life is that an assumption of goodness , tolerance , and acceptance is already made , and thus the movie can focus on telling a compelling story ."
1,"sex , lies &#38 ; superheroes features the writers and artists who have helped make comic books a medium for sophisticated stories and artwork . "
1,"sex , nature & 38 ; :es features the writers and artists who have helped made comic books a medium for sophisticated stories and issues ."
1,"in prospect bay , a remote outpost on the south australian coast , two communities , the goonyas ( whites ) and the nungas ( blacks ) , come together on the one field they have in common , the football field . "
1,"in prospect bay , a remote town on the south australian coast , two communities , the wanyas ( whites ) and the nungas ( blacks ) , come together on the one field they have in common , the football field ."
0,"if you're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you're at the right film . "
0,"if you ' re as happy listening to movies as you are watching them , and the slow parade of human localty selectivescinates you , then you ' re at the right film ."
1,"he encounters woody , a tow truck driver who sends him down a dead-end that is the black road . "
1,"he encounters . , a tow truck driver and changes him into a dead - end that is the black road ."
1,"this fairy tale beginning freefalls from happy to disastrous as the newlyweds are besieged by emotionally challenged children , a savagily jealous ex-wife and a drunken dad . "
1,". fairy tale beginning free . from happy to disastrous as the newlyweds areft by emotionally romantic children , a savagily jealous ex - wife and a drunken dad ."
0,"one of the more irritating cartoons you will see this , or any , year . "
0,". # the more gag cartoons you will see any , or any , year ."
0,"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive . "
0,". story without its ,undancies , and the young actors , not very . , are sometimes inex . ."
0,another useless recycling of a brutal mid-'70s american sports movie . 
0,. lot recycling of a brutal mid - ' 70s american or movie .
