class,text
1," After much frustration , I finally upgraded the firmware to the latest DD-WRT firmware at DD-WRT 's website and it resolved all my problems ."
1," afterward practically foiling , iodin last raise the microcode to the former DD-WRT microcode at DD-WRT 's website and it answer all my trouble ."
1," afterwards lots foiling , i ultimately advance the microcode to the late DD-WRT microcode at DD-WRT 's website and it conclude all my problem ."
1," It was a snap to set up and my PS3 , ASUS EEE Netbook , Droid 2 , and PCs all connect without issue ."
1," IT was a breeze to Seth up and my PS3 , ASUS EEE Netbook , Droid two , and microcomputer all link without subject ."
1," IT was a flick to determined up and my PS3 , ASUS EEE Netbook , Droid deuce , and PC all unite without issuance ."
0, When the screen was n't contracting or glitching the overall picture quality was poor to fair .
0, When the cover was n't abridge or glitching the boilersuit fancy caliber was pitiful to average .
0, When the covert was n't concentrate or glitching the boilersuit movie choice was miserable to carnival .
1,"operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store . "
1,"maneuver its many sport is well-to-do and frequently obvious - i 'm no annie lebovitz , but i was able-bodied to fig out most of its power just mess approximately with it at a camera fund . "
1,"mesh its many sport is slowly and ofttimes obvious - i 'm no annie lebovitz , but i was able-bodied to physique out most of its power just mess round with it at a camera entrepot . "
0,"who knows how many uses you 'll get out of it before it craps out , but it probably will . "
0,"who hump how many manipulation you 'll sustain out of it before it stool out , but it credibly will . "
0,"who recognize how many apply you 'll commence out of it before it shite out , but it believably will . "
1,and it holds sooooo much music and audio files . 
1,and it defend sooooo much medicine and sound lodge . 
1,and it reserve sooooo lots music and sound file . 
1,"When I saw a high gain (low price) antenna was available to the WRT54G router, I thought I'd happily give up some (practically unattainable anyway, since you've got to be in spitting distance from the router) speed in favour of wider coverage. "
1,"When unity construe a luxuriously benefit (humble toll) antenna was uncommitted to the WRT54G router, iodin believe I'd merrily feed up some (much unrealizable anyhow, since you've beat to be in spew aloofness from the router) hie in favor of all-inclusive reporting. "
1,"When unity interpret a richly advance (modest terms) aerial was uncommitted to the WRT54G router, i reckon I'd blithely break up some (much unachievable anyway, since you've flummox to be in spue aloofness from the router) zip in privilege of full reporting. "
1,This camera is so easy to use!
1,This camera is so easily to manipulation!
1,This camera is so well-fixed to employment!
1,+ i had no problem using musicmatch software already on my computer to load songs and albums onto this unit 
1,+ i had no trouble exploitation musicmatch package already on my calculator to dilute birdcall and album onto this whole 
1,+ i had no trouble habituate musicmatch package already on my reckoner to lade Sung and album onto this whole 
0,only used for 3 month before it 's down ! 
0,only employ for III month before it 's down ! 
0,only habituate for III month before it 's down ! 
1," All in all , this is a very good option for anyone who has a small portable computer and wants a lapdesk and external speakers ."
1," totally in all , this is a very practiced selection for anyone who has a pocket-sized portable estimator and need a lapdesk and outside speaker ."
1," totally in all , this is a very thoroughly choice for anyone who has a belittled portable reckoner and require a lapdesk and international speaker ."
1,i 've had no problems at all so far and i 'm very happy . 
1,i 've had no problem at all so FAR and i 'm very well-chosen . 
1,i 've had no trouble at all so FAR and i 'm very glad . 
1,another good thing is that this camera seems to introduce much less noise in dark places than others i 've seen . 
1,another full affair is that this camera look to enter lots LE interference in drear put than others i 've realize . 
1,another honest matter is that this camera look to acquaint lots LE randomness in moody position than others i 've envision . 
1,this thing plays everything i feed it . 
1,this affair trifle everything i give it . 
1,this matter gambol everything i prey it . 
0," Nor there is a clear manual offered by the manufacturer or by Qwest , Qwest does provide some info , but nothing about what is not intuitive enough in the screen ."
0," Nor there is a crystalise manual propose by the producer or by Qwest , Qwest does cater some information , but cipher about what is not visceral adequate in the screenland ."
0," Nor there is a unclouded manual provide by the producer or by Qwest , Qwest does furnish some information , but zero about what is not visceral plenty in the riddle ."
0,the catch is it 's built like a piece of crap . 
0,the charm is it 's make similar a tack of poop . 
0,the trance is it 's make same a while of turd . 
0,* main dial is not backlit . 
0,* master dial is not backlit . 
0,* primary dial is not backlit . 
1,my favorite thing about the nomad is the eax feature . 
1,my deary affair about the nomad is the eax have . 
1,my ducky affair about the nomad is the eax lineament . 
0,"Like most of their solutions (which first blame other applications for errors), the tech persons line was that this was probably a Microsoft error - it was NOT."
0,"corresponding most of their answer (which initiative goddamned other application for erroneousness), the tech someone argumentation was that this was likely a Microsoft wrongdoing - it was not."
0,"same most of their resolution (which commencement inculpation other coating for misplay), the tech mortal demarcation was that this was credibly a Microsoft erroneousness - it was non."
1,"The startup time, quality of pictures and videos is outstanding."
1,"The inauguration sentence, timbre of visualise and videos is owing."
1,"The startup meter, timbre of figure and picture is owing."
1, It has a USB port -- so you can plug in a USB-powered drive and have network-accessible storage .
1, IT has a USB embrasure -- so you can ballyhoo in a USB-powered movement and have network-accessible store .
1, IT has a USB larboard -- so you can stopper in a USB-powered motor and have network-accessible entrepot .
1,I have had mine for about a year and use a third party firmware on mine and love it. 
1,ace have had mine for about a twelvemonth and habituate a tierce company microcode on mine and enjoy it. 
1,iodine have had mine for about a class and manipulation a thirdly company microcode on mine and fuck it. 
0,"after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it . "
0,"after cop the matter up , i ground that it would only wager LE than fifty % of the DVD i order in it . "
0,"after swipe the affair up , i bump that it would only flirt LE than L % of the videodisk i assign in it . "
1,size - extremely small and convenient will fit in your pocket and not bother you . 
1,sizing - highly modest and commodious will correspond in your sack and not fuss you . 
1,sizing - super minuscule and commodious will conniption in your scoop and not botheration you . 
0,"second , the menu system and controls are poorly designed . "
0,"bit , the menu organisation and assure are poorly project . "
0,"s , the card system and moderate are poorly intentional . "
0,"on several different occasions it has displayed "" no disc "" with a disc inside . "
0,"on several dissimilar juncture it has exhibit "" no disk "" with a disk inwardly . "
0,"on various dissimilar juncture it has display "" no saucer "" with a disc interior . "
0,"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works . "
0,"also , their t-zones , although cheesy ( $ iv.ic / moment. ) never knead . "
0,"also , their t-zones , although sleazy ( $ quaternary.ic / minute. ) never play . "
1,"For the money, I'm not sure you can do better."
1,"For the money, I'm not certainly you can do sound."
1,"For the money, I'm not surely you can do best."
1," However , when I plugged it into my Mac Mini , the screen looked wonderful ."
1," however , when ace blocked it into my Mac Mini , the covert appear fantastic ."
1," nevertheless , when i secure it into my Mac Mini , the cover seem marvelous ."
1,"It was a very quick setup and installation, in fact the disc that it comes with pretty much makes sure you cant mess it up. "
1,"IT was a very promptly apparatus and installment, in fact the saucer that it seed with fairly often gain surely you lingo wad it up. "
1,"IT was a very spry apparatus and initiation, in fact the platter that it do with jolly often stimulate surely you camber muckle it up. "
1,"however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice . "
1,"nevertheless , for a $ 600 - $ 800 budget , i consider this camera is an first-class prize . "
1,"withal , for a $ 600 - $ 800 budget , i consider this camera is an first-class pick . "
1,"despite its being slightly larger than the ipod , i must say i was surprised to see how small it was when i unwrapped the box ! "
1,"disdain its being slimly gravid than the iPod , i moldiness state i was storm to envision how humble it was when i divulge the package ! "
1,"disdain its being slimly orotund than the iPod , i mustiness state i was storm to meet how humble it was when i discover the boxful ! "
0,"The only not-so-positive comment I have is about the depth adjustment, it is not easy to micro-adjust accurately."
0,"The only not-so-positive notice iodine have is about the astuteness readjustment, it is not well-to-do to micro-adjust accurately."
0,"The only not-so-positive remark single have is about the profundity allowance, it is not slow to micro-adjust accurately."
0,"the interface software itself , which should be user-friendly , was anything but easy-to-use . "
0,"the interface package itself , which should be user-friendly , was anything but easy-to-use . "
0,"the port package itself , which should be user-friendly , was anything but easy-to-use . "
1,"(You can do it one handed while still hanging on to the baby.) Also, we like using regular trash bags instead of having to worry about buying refills (like with the Diaper Genie)."
1,"(You can do it 1 pass while nevertheless dangling on to the infant.) besides, we same employ veritable ice suitcase instead of having to care about buying replenish (alike with the nappy jinni)."
1,"(You can do it unrivalled hand while lull attend on to the mollycoddle.) too, we similar victimization even crank pocket instead of having to concern about bribe replenish (alike with the Diaper jinnee)."
1,The SD500 software install was seamless and the product documentation is very detailed. 
1,The SD500 package establish was unlined and the merchandise support is very detail. 
1,The SD500 package instal was unlined and the merchandise certification is very elaborated. 
0,"The Creative MediaSource software that comes with the Zen Micro is cluttered, and excludes my favorite feature in iTunes, the ability to automatically copy everything you import into a certain folder. "
0,"The creative MediaSource package that do with the dose micro is littered, and eject my ducky sport in iTunes, the power to mechanically transcript everything you importation into a sealed pamphlet. "
0,"The originative MediaSource package that amount with the dose micro is clutter, and except my darling boast in iTunes, the power to mechanically replicate everything you moment into a sealed booklet. "
1,I was using the cheapie pail...and it worked ok until the opening device fell apart.
1,ane was habituate the cheapie pail...and it sour hunky-dory until the unfold twist diminish isolated.
1,iodine was victimisation the cheapie pailful...and it play Oklahoma until the scuttle device precipitate asunder.
1,"It really is the perfect travel  camera, plus it offers the convenience of digital photography."
1,"IT rattling is the stark trip  camera, addition it pass the contrivance of digital photography."
1,"IT real is the unadulterated locomotion  camera, asset it tender the gadget of digital photography."
1,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . "
1,"i am dead in reverence of this camera , canyon redact tremendous calibre into the g3 . "
1,"i am dead in veneration of this camera , canyon pose tremendous timber into the g3 . "
1," My house is small , so it 's hard to judge the real strenght of the product through a lot of walls , but in my house the product worked perfectly in all rooms and corners , with no signal interruptions ."
1," My firm is minuscule , so it 's arduous to gauge the tangible strenght of the intersection through a mickle of wall , but in my home the intersection forge absolutely in all way and nook , with no point gap ."
1," My household is minuscule , so it 's tough to gauge the material strenght of the ware through a portion of rampart , but in my theatre the production form utterly in all room and recession , with no signalize disruption ."
0,"I say adequate because it was enough to get wireless working, but nowhere near enough instruction to do the proper configuration job that I could have done if so!"
0,"1 read adequate because it was decent to obtain radiocommunication solve, but nowhere most sufficiency teaching to do the right conformation problem that unity could have make if so!"
0,"iodine enounce tolerable because it was adequate to develop tuner run, but nowhere penny-pinching decent command to do the proper conformation problem that unity could have practise if so!"
1,"It's so small and light, even with a spare battery, you really can take it anywhere."
1,"It's so lowly and abstemious, regular with a supererogatory bombardment, you truly can aim it anyplace."
1,"It's so small-scale and idle, yet with a unembellished shelling, you real can proceeds it anyplace."
1,"On the whole, I'm quite happy with the purchase.  "
1,"On the completely, I'm rather well-chosen with the buy.  "
1,"on the wholly, I'm quite felicitous with the leverage.  "
1,"8 . perhaps inspired by the canon 's factory white-correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets . "
1,"eighter . maybe cheer by the canyon 's mill white-correction circumstance ( which were recover wanting and had to be falsify by a exploiter before the blanched boundary from establish etc could be pick out ) , the g3 has often knifelike white-hot counterbalance . "
1,"ogdoad . possibly revolutionize by the canyon 's mill white-correction context ( which were constitute missing and had to be alter by a exploiter before the blank bound from progress etc could be clean out ) , the g3 has practically sharpie whiten commencement . "
1,I never get dropped calls.
1,I never cause pretermit calls.
1,I never find dropped name.
1,the screen is bright and ring tones are unlimited . 
1,the cover is promising and phone flavour are unlimited . 
1,the cover is smart and band tint are unlimited . 
1,It also works just fine for international calls.
1,It also ferment just ticket for outside forebode.
1,It also wreak just ok for external Call.
1,Gets nice sound too. 
1,arrive nice vocalise too. 
1,begin nice healthy too. 
0,"when i hooked it up it only produced sound - a cd played fine , but with a dvd i only got the audio - no picture ! "
0,"when i abstract it up it only get audio - a CD run amercement , but with a videodisc i only pose the sound - no photograph ! "
0,"when i purloin it up it only farm voice - a candle dally mulct , but with a DVD i only fetch the sound - no video ! "
1,"ripping the songs , even with my 1.1 usb connection is still very quick , and the quality is very good . "
1,"rend the Sung , level with my single.single usb connective is inactive very nimble , and the prize is very goodness . "
1,"rive the strain , still with my I.single usb joining is distillery very speedy , and the tone is very estimable . "
0,The other pail I used started to smell after 2 weeks of use.
0,The other pail single employ begin to aroma after two weeks of employ.
0,The other pailful ace expend jump to smack after 2 weeks of employment.
0," However , SharePort on this new router worked 0 % of the time ."
0," however , SharePort on this fresh router make zero % of the clock ."
0," notwithstanding , SharePort on this raw router wreak nought % of the clock ."
0,Such a small zoom length that you would think that the zoom would be silent since it hardly zooms in...wrong!
0,such a humble surge duration that you would believe that the soar would be understood since it scarcely surge in...wrongfulness!
0,such a modest surge distance that you would retrieve that the surge would be still since it scarcely surge in...wrongfulness!
1,you can take pictures seconds after you turn the camera on...literally! 
1,you can proceeds depiction indorsement after you become the camera on...literally! 
1,you can remove figure instant after you bit the camera on...literally! 
1,"You can turn this phone into a gaming machine, a camcorder or a digital camera, an mp3-player, a movie viewer, a voice recorder, a personal secretary, a GPS map browser, a book, a multifunction remote controller, practically everything that you can do with the computer, plus it is a phone(!!) and also you can carry it in your pocket :)."
1,"You can number this telephone into a back car, a camcorder or a digital camera, an mp3-player, a picture looker, a interpreter record-keeper, a personal escritoire, a GPS represent browser, a script, a multifunction distant restrainer, much everything that you can do with the reckoner, summation it is a earphone(!!) and too you can channel it in your scoop :)."
1,"You can release this sound into a game auto, a camcorder or a digital camera, an mp3-player, a flick spectator, a spokesperson registrar, a personal escritoire, a GPS function browser, a record, a multifunction distant restrainer, much everything that you can do with the reckoner, positive it is a call(!!) and likewise you can behave it in your bag :)."
0,"after @ 3 months , it stoppped playing higher number scenes on dvds . "
0,"after @ ternary months , it stoppped dally higher issue tantrum on videodisc . "
0,"after @ three months , it stoppped play higher bit shot on videodisc . "
1,"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking . "
1,"quadruplet . the pattern of this twist is a petty square , without losing the weight which agency just counterbalance and LE stir while tick . "
1,"quaternary . the contour of this twist is a trivial straight , without losing the weightiness which intend adept symmetry and less excite while snap . "
0," The problem is that the fastest speed anything has connected to it has been around 72MB\/s , even when in the same room ."
0," The job is that the debauched velocity anything has colligate to it has been some 72MB\/s , fifty-fifty when in the same way ."
0," The trouble is that the riotous quicken anything has unite to it has been approximately 72MB\/s , eventide when in the same way ."
1,looks ok - very shiny chrome and mirrors . 
1,expression ok - very shining chromium-plate and mirrors . 
1,front Oklahoma - very bright chrome and mirrors . 
1,"  I have transferred in about 2,400 tracks so far - very easy to use both the Ipod and iTunes. "
1,"  i have change in about two,cd racetrack so FAR - very slowly to usance both the iPod and iTunes. "
1,"  unity have transpose in about II,cd chase so FAR - very promiscuous to usance both the iPod and iTunes. "
1,"overall , i highly recommend this phone . "
1,"overall , i extremely urge this ring . "
1,"overall , i extremely urge this telephone . "
1,This phone has a nice blend of features without going overboard.
1,This call has a Nice conflate of sport without depart overboard.
1,This headphone has a overnice merge of characteristic without leaving overboard.
1,"the volume range is great , so you can blast it if you want . "
1,"the book grade is groovy , so you can gust it if you wish . "
1,"the intensity scope is large , so you can crucify it if you deficiency . "
1,easy to use : a lot of reviews has mentioned about this 
1,wanton to employment : a peck of reassessment has note about this 
1,well-to-do to habit : a flock of followup has name about this 
1,"- the replacable battery is great since once it eventually wears out ( as all lithium batteries do ) , you will be able to buy another easily . "
1,"- the replacable barrage is bang-up since once it finally break out ( as all Li shelling do ) , you will be able-bodied to bribe another easy . "
1,"- the replacable shelling is outstanding since once it finally clothing out ( as all Li shelling do ) , you will be able-bodied to purchase another well . "
1,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon . "
1,"reverse to what ive study elsewhere , the g3 does synchronize at i/250 of a irregular with third-party flash , just as it does with the dedicate swank from canyon . "
1,"wayward to what ive show elsewhere , the g3 does synchronise at I/250 of a irregular with third-party heartbeat , just as it does with the dedicate instant from canyon . "
1,the player is intuitive and outputs great sound quality . 
1,the player is nonrational and outturn heavy well-grounded quality . 
1,the player is visceral and outputs slap-up profound calibre . 
1,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc. "
1,"enceinte camera , i have been expend this for respective months and become fantabulous resultant , unsubdivided well-disposed use , in many scenery indoor , out-of-door , C , closelipped up macro etc. "
1,"groovy camera , i have been utilise this for various months and experience fantabulous issue , round-eyed well-disposed use , in many scenery indoor , out-of-door , bamboozle , stuffy up macro etc. "
1,And it is EXTREMELY well-priced for what you're getting. 
1,And it is highly well-priced for what you're obtain. 
1,And it is highly well-priced for what you're stick. 
1,Saw the Hitachi on Amazon.com with their $25.00 coupon (at the time) and could not resist trying it out.
1,experience the Hitachi on virago.com with their $twenty-five.00 voucher (at the clock) and could not jib stressful it out.
1,view the Hitachi on virago.com with their $XXV.00 voucher (at the sentence) and could not withstand strain it out.
1,"the digital zoom takes as good of pictures , as the optical zoom does ! "
1,"the digital surge ask as salutary of show , as the opthalmic soar does ! "
1,"the digital whizz train as skilful of scene , as the opthalmic surge does ! "
1,with this mp3 player you get much more memory for much less than an ipod . 
1,with this mp3 actor you capture often more retentivity for practically LE than an iPod . 
1,with this mp3 thespian you contract often more retentiveness for practically LE than an iPod . 
1, I 've had this monitor for over a year and I absolutely LOVE IT !
1, 1 've had this reminder for over a class and unity utterly love IT !
1, i 've had this varan for over a class and single dead dear IT !
1, I get complete coverage everywhere in my house -LRB- about 3500 sq ft -RRB- and it 's located in the corner of my basement .
1, iodine fix accomplished reportage everyplace in my mansion -LRB- about 3500 sq foot -RRB- and it 's situate in the recess of my cellar .
1, one dumbfound finish reportage everyplace in my theatre -LRB- about 3500 sq foot -RRB- and it 's placed in the nook of my cellar .
0,i find the lack of entertaining games on this phone quite disturbing . 
0,i get the deficiency of harbour gage on this earpiece quite worrisome . 
0,i receive the miss of entertain stake on this call quite touch . 
1,It works great.
1,It forge great.
1,It wreak great.
1,this camera is closest to perfect than any other digicam that is 4-5 megapixel . 
1,this camera is close to thoroughgoing than any other digicam that is 4-5 megapixel . 
1,this camera is near to thoroughgoing than any other digicam that is 4-5 megapixel . 
1," My fiance ordered this computer , she 's a teacher so she needed a small computer that would keep her from bringing work home with her ."
1," My groom-to-be logical this reckoner , she 's a instructor so she take a pocket-sized reckoner that would restrain her from take act interior with her ."
1," My groom-to-be prescribe this calculator , she 's a instructor so she want a pocket-size reckoner that would preserve her from get exploit house with her ."
1,The instruction manuals and documentation are excellent so that the learning curve will be much less steep.
1,The education manual and corroboration are first-class so that the teach curvature will be lots less plunge.
1,The pedagogy manuals and corroboration are fantabulous so that the check curl will be lots LE exorbitant.
1," Set up was smooth , and both wired and wireless devices worked very well on it ."
1," Seth up was suave , and both cable and radiocommunication device mould very substantially on it ."
1," do up was still , and both cable and radio device process very comfortably on it ."
1, The larger screen has allowed me to put all my photos on it -LRB- could n't on the dell -RRB- and edit them .
1, The big cover has countenance me to pose all my pic on it -LRB- could n't on the dingle -RRB- and blue-pencil them .
1, The gravid filmdom has reserve me to commit all my photograph on it -LRB- could n't on the dingle -RRB- and cut them .
1,"Also, the WMA compression format is superior to MP3, especially at lower bit rates, so I needed a player that could handle WMA and integrate well with my Windows XP computers.  "
1,"also, the WMA contraction format is superordinate to MP3, peculiarly at low-down mo range, so 1 involve a musician that could handgrip WMA and desegregate swell with my window XP reckoner.  "
1,"also, the WMA densification initialise is Superior to MP3, specially at low second denounce, so one requisite a actor that could wield WMA and integrate swell with my window XP computer.  "
1,the keys are laid out normal so there is no guessing . 
1,the describe are pose out convention so there is no reckon . 
1,the winder are position out pattern so there is no infer . 
0, When it works its fine but I have gone through two monitors now both with defective switches .
0, When it forge its OK but single have work through ii proctor now both with faulty switch .
0, When it function its ok but ace have depart through ii proctor now both with bad switch .
0,The little bag it comes with is cheap and useless.  
