class,text
3,What writer-journalist made his mark describing colorful Broadway and underworld characters ?
3,What writer-journalist made his mark describing colorful Broadway and underworld characters ?
3,Which writer-journalist made his mark describing colorful characters from Broadway and the underworld?
3,What wild and crazy guy wrote a book called Cruel Shoes ?
3,What mad and savage wrote a book called Cruel Shoes?
3,"What wild, crazy guy wrote a book called Cruel Shoes?"
0,Why do men snore ?
0,Why do men snore ?
0,Why do men snore?
0,What is the chemiosmotic theory ?
0,What is the chemiosmotic theory ?
0,What's the chemo theory?
0,"What is the origin of the midwest slang , ` you 're darn tootin ' ?"
0,"What is the origin of the midwest jargon, `you're fucking tootin'?"
0,"What's the origin of the midwest jargon, ""you're fucking too much""?"
4,What are some good medical sites for information ?
4,What are some good medical sites for information ?
4,What are some good medical sites for information?
3,What Chilean president was killed in a 1973 coup d 'etat ?
3,What Chilean president was killed in a 1973 coup d 'etat ?
3,Which Chilean president was killed in a 1973 coup d'état?
0,What is the history of skateboarding ?
0,What's the history of skateboarding?
0,What's the story of skateboarding?
3,What apostle is Taylor Caldwell 's Great Lion of God ?
3,What apostle is Taylor Caldwell 's Great Lion of God ?
3,What apostle is Taylor Caldwell's Great Lion of God?
0,How do you clean up a cache ?
0,How do you clean a cache?
0,How do you clean up a cache ?
1,What 's the term for a limestone deposit rising from the floor of a cave ?
1,What 's the term for a limestone deposit rising from the floor of a cave ?
1,What's the term for a limestone deposit that comes out of a cave floor?
4,Which Latin American country is the largest ?
4,Which Latin American country is the largest ?
4,Which Latin American country is the largest?
1,What kind of animal was Winnie the Pooh ?
1,What kind of animal was Winnie the Pooh ?
1,What kind of animal was Winnie the Pooh?
0,What is making love ?
0,What is making love ?
0,What is making love?
1,What is the most efficient way to start a barbeque ?
1,What is the most efficient way to start a barbecue?
1,What is the most efficient way to start a barbeque ?
1,What is the name of a book written by Aaron Hass ?
1,What is the name of a book written by Aaron Hass ?
1,What's the name of a book written by Aaron Hass?
0,What is the orgin of xoxoxox ?
0,What is the orgin of xoxoxox ?
0,What is the orgina of xoxoxox?
3,"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?"
3,"What lawyer won the largest divorce agreement, $85 million, in US history for Sheika Dena Al-Farri?"
3,"Which attorney won the largest divorce agreement, $85 million, in US history for Sheika Dena Al-Farri?"
3,What party was Winston Churchill a member of ?
3,What party was Winston Churchill a member of ?
3,What party was Winston Churchill a member of?
5,How many sides does an obelisk have ?
5,How many sides does an obelisk have ?
5,How many sides does an obelisk have?
1,What were first used by John L. Sullivan and James J. Corbett in 1892 ?
1,What did John L. Sullivan and James J. Corbett use for the first time in 1892?
1,What were first used by John L. Sullivan and James J. Corbett in 1892?
3,What are the top boy names in the U.S. ?
3,What are the best boys' names in the U.S.?
3,What are the best names of boys in the U.S.?
1,What are the names of the different toes ?
1,What are the names of the different toes ?
1,What are the names of the different toes?
4,What Asian city boasts the world 's biggest bowling alley ?
4,What Asian city boasts the world 's biggest bowling alley ?
4,Which Asian city has the largest bowling alley in the world?
5,How fast can a Corvette go ?
5,How fast can a Corvette go ?
5,How fast can a Corvette go?
0,What is different about the red and black fox ?
0,What is different about the red and black fox ?
0,What's different about the red and black fox?
0,Why are the U.S. presidential elections held in November ?
0,Why are the November presidential elections held?
0,Why are the presidential elections held in November?
0,How do you look up criminal records on the Internet ?
0,How do you look up criminal records on the Internet ?
0,How do you search for criminal records on the Internet?
0,How is it correct to say ` qigong ' ?
0,How is it correct to say ` qigong ' ?
0,How is it right to say qigong?
0,What are equity securities ?
0,What are equity securities ?
0,What are stock titles?
1,"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?"
1,"What inner sport became the hell of Phoenix in the pride of Phoenix on July 14, 1983, when the temperature reached 111 degrees?"
1,"What inner sport did Phoenix's hell become Phoenix's pride on July 14, 1983, when the temperature reached 111 degrees?"
3,What NFL team did Vince Lombardi end his coaching career with ?
3,What NFL team did Vince Lombardi end his coaching career with ?
3,Which NFL team did Vince Lombardi finish his coach career with?
0,What is meant by blood SED rate ?
0,What is SED blood?
0,What is blood SED?
1,What is a fear of being dirty ?
1,What is a fear of being dirty ?
1,What's the fear of being dirty?
0,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
0,Why was Muhammad Ali stripped of his title and banned from boxing in 1967?
0,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?
0,What is `` the washed vodka '' ?
0,What is `` the washed vodka '' ?
0,What is washed vodka?
1,What is the one thing you need before you can purchase life insurance ?
1,What is the one thing you need before you can purchase life insurance ?
1,What's the only thing you need before you can buy life insurance?
1,What non-alcoholic syrup is made from pomegranate juice ?
1,What non-alcoholic syrup is made from pomegranate juice ?
1,What non-alcoholic syrup is made of pomegranate juice?
1,What format was the major competition of VHS ?
1,What format was the biggest VHS contest?
1,What format was the major competition of VHS ?
0,What is the Kashmir issue ?
0,What is the Kashmir question?
0,What's Kashmir's question?
