class,text
3,Who was Darth Vader 's son ?
3,WHO was Darth Vader 's Logos ?
3,WHO was Darth Vader 's Son ?
3,WHO was Darth Vader 's Word ?
3,WHO was Darth Vader 's boy ?
5,When will the millennium officially begin ?
5,When will the millenary formally Begin ?
5,When will the millenary formally commence ?
5,When will the millenary officially Begin ?
5,When will the millenary officially commence ?
4,What are the seven seas ?
4,What are the 7 sea ?
4,What are the septenary ocean ?
4,What are the septenary sea ?
4,What are the septet sea ?
4,What is the oldest website on the Internet ?
4,What is the old site on the internet ?
4,What is the previous site on the internet ?
4,What is the previous website on the internet ?
4,What is the sure-enough site on the net ?
1,What do the French call La Manche ?
1,What do the Gallic forebode LA Manche ?
1,What do the Gallic predict LA Manche ?
1,What do the Gallic prognosticate la Manche ?
1,What do the Gallic shout lanthanum Manche ?
3,What video game hero do some of his fans call Chomper ?
3,What TV gage torpedo do some of his buff prognosticate Chomper ?
3,What telecasting crippled paladin do some of his devotee vociferation Chomper ?
3,What telecasting lame paladin do some of his lover yell Chomper ?
3,What television gage hoagy do some of his lover cry Chomper ?
3,What American League baseball team 's worst finish between 1926 and 1964 was fourth ?
3,What American conference baseball squad 's regretful close between 1926 and 1964 was quarter ?
3,What American league baseball squad 's risky stop between 1926 and 1964 was 4th ?
3,What American league baseball squad 's spoilt ending between 1926 and 1964 was fourthly ?
3,What American league baseball squad 's tough cease between 1926 and 1964 was quaternary ?
4,In what part of the world is Mozambique ?
4,IN what division of the reality is Mocambique ?
4,inch what constituent of the universe is Mocambique ?
4,inch what separate of the world-wide is Mocambique ?
4,inwards what start of the existence is Mocambique ?
4,What nationality is Gorbachev ?
4,What nationality is Gorbachev ?
3,What is the best college in the country ?
3,What is the better college in the nation ?
3,What is the good college in the nation ?
3,What is the substantially college in the commonwealth ?
3,What is the undecomposed college in the state ?
5,What does a teaspoon of matter weigh in a black hole ?
5,What does a teaspoonful of affair press in a ignominious hollow ?
5,What does a teaspoonful of count consider in a melanize muddle ?
5,What does a teaspoonful of thing matter in a shameful jam ?
5,What does a teaspoonful of topic librate in a smutty maw ?
3,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
3,WHO babble the composition for `` Dawson 's brook '' and `` happiness '' ?
3,WHO peach the paper for `` Dawson 's brook '' and `` felicity '' ?
3,WHO whistle the radical for `` Dawson 's brook '' and `` happiness '' ?
3,WHO whistle the theme for `` Dawson 's brook '' and `` felicitousness '' ?
5,How many inches over six feet is Tom Selleck ?
5,How many edge over VI pes is tomcat Selleck ?
5,How many edge over sextuplet base is tomcat Selleck ?
5,How many in over sextuplet understructure is tomcat Selleck ?
5,How many inch over hexad fundament is tomcat Selleck ?
5,How many games are played in a five-team round-robin tournament ?
5,How many back are bet in a five-team round-robin tourney ?
5,How many back are flirt in a five-team round-robin tourney ?
5,How many back are trifle in a five-team round-robin tourney ?
5,How many punt are represent in a five-team round-robin tourney ?
3,"What woman has carried the most multiple births , twins , triplets , etc. , ?"
3,"What char has post the most multiple nativity , Gemini , ternion , etc. , ?"
3,"What char has transmit the most multiple nativity , similitude , deuce-ace , etc. , ?"
3,"What charwoman has expect the most multiple deliver , parallel , trey , etc. , ?"
3,"What womanhood has gestate the most multiple parturition , Gemini , tercet , etc. , ?"
3,Who is Luke Skywalker 's father ?
3,WHO is Luke Skywalker 's Fatherhood ?
3,WHO is Luke Skywalker 's beget ?
3,WHO is Luke Skywalker 's forefather ?
3,WHO is Luke Skywalker 's sire ?
3,What American actress was the first to be called a `` vamp '' ?
3,What American actress was the 1st to be telephone a `` tease '' ?
3,What American actress was the get-go to be holler a `` coquette '' ?
3,What American actress was the offset to be promise a `` prickteaser '' ?
3,What American actress was the start to be scream a `` tease '' ?
3,Who would you use the Heimlich maneuver on ?
3,WHO would you employ the Heimlich guide on ?
3,WHO would you employment the Heimlich manoeuver on ?
3,WHO would you utilise the Heimlich operate on ?
3,WHO would you utilize the Heimlich manoeuver on ?
5,How hot should the oven be when baking Peachy Oat Muffins ?
5,How blistering should the oven be when bake peachy-coloured oat muffin ?
5,How live should the oven be when broil groovy oat gem ?
5,How raging should the oven be when bake slap-up oat gem ?
5,How spicy should the oven be when broil nifty oat muffin ?
3,Name the various super-teams to which the Angel has belonged .
3,constitute the several super-teams to which the backer has belong .
3,describe the respective super-teams to which the saint has belong .
3,key the respective super-teams to which the backer has belong .
3,name the several super-teams to which the angel has belong .
3,Who invented the lawnmower ?
3,WHO contrive the lawnmower ?
3,WHO formulate the lawnmower ?
3,WHO manufacture the lawnmower ?
3,Who formulate the lawnmower ?
1,What is Dudley Do-Right 's horse 's name ?
1,What is Dudley Do-Right 's cavalry 's advert ?
1,What is Dudley Do-Right 's knight 's call ?
1,What is Dudley Do-Right 's knight 's discover ?
1,What is Dudley Do-Right 's sawhorse 's identify ?
0,What is the history of skateboarding ?
0,What is the account of skateboard ?
0,What is the chronicle of skateboard ?
0,What is the story of skateboard ?
0,What is the story of skateboarding ?
3,What major airline has the best safety record in the world ?
3,What Major airline has the comfortably guard memorialize in the world-wide ?
3,What Major airline has the comfortably prophylactic register in the planetary ?
3,What Major airline has the just condom memorialise in the humankind ?
3,What Major airline has the trump prophylactic memorialize in the global ?
5,How many bones are there in the human hand ?
5,How many bone are there in the homo mitt ?
5,How many ivory are there in the homo handwriting ?
5,How many off-white are there in the man give ?
5,How many off-white are there in the man script ?
0,What is the origin of the candy cane at Christmas ?
0,What is the ancestry of the confect lambast at Yule ?
0,What is the descent of the confect flog at Yuletide ?
0,What is the stemma of the confect lambast at Christmastide ?
0,What is the stemma of the glaze lambast at Christmastime ?
1,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?"
1,"What anaesthetic did faggot Victoria earmark to be utilise for the nascence of her 7th tiddler , in 1853 ?"
1,"What anaesthetic did fairy Victoria earmark to be utilize for the parentage of her 7th tiddler , in 1853 ?"
1,"What anaesthetic did nance Victoria let to be put-upon for the have of her 7th fry , in 1853 ?"
1,"What anaesthetic did queen Victoria leave to be exploited for the deliver of her one-seventh tyke , in 1853 ?"
5,How many dots make up the symbol for `` because '' ?
5,How many Elvis construct up the symbolization for `` because '' ?
5,How many dit hold up the symbolisation for `` because '' ?
5,How many dot fix up the symbolisation for `` because '' ?
5,How many superman take up the symbolization for `` because '' ?
3,Who invented the stock ticker in 1870 ?
3,WHO contrive the stemma ticker in 1870 ?
3,WHO invented the standard pump in 1870 ?
3,Who fabricate the blood pump in 1870 ?
3,Who fabricate the line heart in 1870 ?
3,"What college enlivens Hanover , New Hampshire ?"
3,"What college animate Hannover , new Hampshire ?"
3,"What college inspire Hannover , fresh Hampshire ?"
3,"What college inspire Hannover , new Hampshire ?"
3,"What college liven Hannover , freshly Hampshire ?"
4,What U.S. state lived under six flags ?
4,What U.S. posit exist under sextet masthead ?
4,What U.S. tell dwell under sextet flag ?
4,What U.siemens. State last under 6 flags ?
4,What uracil.S. state experience under half-dozen sag ?
1,What is the rarest coin ?
1,What is the rare mint ?
1,What is the rare strike ?
1,What is the rarefied mint ?
1,What is the rarefied strike ?
4,What are the three most populated countries in the world ?
4,What are the tercet most inhabit commonwealth in the public ?
4,What are the trey most inhabit land in the humans ?
4,What are the trio most dwell area in the universe ?
4,What are the troika most inhabit nation in the domain ?
4,What constellation contains the twins Castor and Pollux ?
