class,text
3,What is the best college in the country ?
3,What is the best college in the country ?
1,What is a fear of ruin ?
1,What is a fear of ruin ?
5,Approximately how many students are enrolled at the University of Massachusetts ?
5,Approximately how many students are enrolled at the University of Massachusetts ?
4,What web sites are linked to the Report on Genesis Eldercare ?
4,What web sites are linked to the Report on Genesis Eldercare ?
4,What nationality is Ileana Cotrubas ?
4,What nationality is Dupree Watt ?
4,What nationality is Garren Milam ?
4,What nationality is Ileana Au ?
4,What nationality is Marcie Fairley ?
4,Where are the U.S. headquarters for Procter & Gamble ?
4,Where are the U.S. headquarters for Procter & Gamble ?
3,Who was the first Taiwanese President ?
3,Who was the first Taiwanese President ?
0,Why were red M&Ms discontinued then brought back ?
0,Why were red M&Ms discontinued then brought back ?
4,In what part of Africa is Mozambique located ?
4,In what part of Africa is Albania located ?
4,In what part of Africa is Belize located ?
4,In what part of Africa is Liberia located ?
4,In what part of Africa is Rwanda located ?
0,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?"
0,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?"
5,How many Superbowls have the ers won ?
5,How many Superbowls have the ers won ?
1,What D.H. Lawrence novel was originally titled Tenderness ?
1,What Advika.H. Gaitan novel was originally titled Tenderness ?
1,What Allyson.H. Cervantes novel was originally titled Tenderness ?
1,What Aya.H. Southall novel was originally titled Tenderness ?
1,What D.H. Pascual novel was originally titled Tenderness ?
3,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?
3,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?
1,What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?
1,What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?
0,"How does Cos Cob , CT get its name ?"
0,"How does Cos Cob , CT get its name ?"
5,How many milligrams are in a gram ?
5,How many milligrams are in a gram ?
3,What Asian leader was known as The Little Brown Saint ?
3,What Asian leader was known as The Little Brown Saint ?
1,"When it 's time to relax , what one beer stands clear ?"
1,"When it 's time to relax , what one beer stands clear ?"
1,"When it 's time to relax , what two beer stands clear ?"
3,"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?"
3,"Who is the author of the book , `` The Iron Lady : A Biography of Elka Deleon '' ?"
3,"Who is the author of the book , `` The Iron Lady : A Biography of Kambri Madden '' ?"
3,"Who is the author of the book , `` The Iron Lady : A Biography of Keyaira Hartley '' ?"
3,"Who is the author of the book , `` The Iron Lady : A Biography of Malikah Briceno '' ?"
4,What city has a newspaper called The Plain Dealer ?
4,What city has a newspaper called The Plain Dealer ?
3,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
3,Who was the lead actress in the movie ` Sleepless in Cutler Bay ' ?
3,Who was the lead actress in the movie ` Sleepless in Miami ' ?
3,Who was the lead actress in the movie ` Sleepless in Pacifica ' ?
3,Who was the lead actress in the movie ` Sleepless in Woburn ' ?
4,What planet did Percival Lovell discover ?
4,What planet did Brandis Mellinger discover ?
4,What planet did Maryjo Hackett discover ?
4,What planet did Seleste Lord discover ?
4,What planet did Talon Curtis discover ?
0,Why do many Native American students not complete college ?
0,Why do many Native American students not complete college ?
0,What function does homeostasis have on the existence of an organism ?
0,What function does homeostasis have on the existence of an organism ?
3,Who earns their money the hard way ?
3,Who earns their money the hard way ?
3,Who invented the road traffic cone ?
3,Who invented the road traffic cone ?
3,Who banned Peter Rose from baseball for betting on games ?
3,Who banned Elwood Curl from baseball for betting on games ?
3,Who banned Eris Mcgann from baseball for betting on games ?
3,Who banned Garland Villasenor from baseball for betting on games ?
