class,text
1,"as satisfyingly odd and intriguing a tale as it was a century and a half ago ... has a delightfully dour , deadpan tone and stylistic consistency ."
1,"satisfyingly odd intriguing as it was a century a half ... , deadpan tone and ."
1,"ampere as satisfyingly odd and intriguing a tale as it body was a exist century and a agone half ago ... has a delightfully dour , deadpan trunk tone leftover and stylistic consistency ."
1,"as gratifyingly peculiar and challenging a narrative as it was a C and a one-half agone ... has a delightfully pertinacious , impassive flavour and stylistic consistence ."
1,"satisfyingly as odd a century and tale as it was a intriguing and dour tone ago ... has a consistency a , deadpan delightfully and stylistic half ."
1,"a mostly believable , refreshingly low-key and quietly inspirational little sports drama ."
1,"a believable , and quietly inspirational little ."
1,"a mostly play believable , refreshingly low-key axerophthol and A quietly inspirational little sports drama ."
1,"believable drama a , quietly low-key and refreshingly inspirational little sports mostly ."
1,"a mostly credible , refreshingly low-keyed and softly inspirational slight gambol drama ."
1,"claire is a terrific role for someone like judd , who really ought to be playing villains ."
1,"claire is a rattling use for person ilk judd , who rattling ought to be represent baddie ."
1,"claire is a terrific role for someone WHO like judd , who really ought to spiel be villain playing function villains ."
1,"like be a terrific role ought really claire judd , who someone for is to playing villains ."
1,"claire terrific role someone like judd , to playing ."
1,pacino is the best he 's been in years and keener is marvelous .
1,is he 's years and keener marvelous .
1,pacino is the honorable he 's been in twelvemonth and knifelike is rattling .
1,pacino helium is the best he 's been in cracking years and keener acute is marvelous .
1,is pacino the years marvelous 's been in best and keener is he .
1,it 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .
1,it 's anchored by magnificent performances from an honor filmdom oldtimer and a spark fledgling who outright translate themselves into a credible generate\/girl geminate .
1,it 's anchored by splendid performances from get an honored screen veteran entropy and a sec sparkling have newcomer who concealment instantly transform themselves into twosome a believable mother\/daughter pair .
1,it 's anchored an honored screen veteran and newcomer into a mother\/daughter .
1,screen 'an anchored by splendid performances mother into pair and veteran it a sparkling believable who instantly transform themselves s a newcomer from\/daughter honored .
1,"director lee has a true cinematic knack , but it 's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve ."
1,"conductor downwind has a straight cinematic hang , but it 's besides prissy to realize a picture with its essence so exhaustively , unabashedly on its arm ."
1,"lee a , it 's also nice to a with so , unabashedly its sleeve ."
