class,text
3, Adenosine with nuclear scan as the patient unable to walk on a treadmill.  Nondiagnostic adenosine stress test.  Normal nuclear myocardial perfusion scan.
3,Adenosine with nuclear scanner as a patient unable to walk on a treadmill. Non-diagnostic adenosine stress test. Normal nuclear myocardial perfusion scanner.
3, Problem of essential hypertension.  Symptoms that suggested intracranial pathology.
3,"Essential hypertension problem, symptoms that suggest intracranial pathology."
5, An example/template for a routine normal male physical exam.
5,An example / template for a normal routine male physical exam.
35, The patient has NG tube in place for decompression.
35,The patient has a GN tube in place for decompression.
33, Dobutamine stress test for atrial fibrillation.
33,Dobutamine stress test for atrial fibrillation.
33, Ultrasound of the right mandibular region.
33,Ultrasound of the right mandibular region.
5, Psychiatric consultation for management of pain medications.
5,Psychiatric consultation for the management of pain medications.
38," Dentigerous cyst, left mandible associated with full bone impacted wisdom tooth #17.  Removal of benign cyst and extraction of full bone impacted tooth #17."
38,"Dental cyst, left jaw associated with dental wisdom with complete bone impact #17. Removal of benign cyst and extraction of the tooth with complete bone impact #17."
5," Breast reconstruction post mastectomy.  A 51-year-old lady for mastectomy on the right side, who is interested in the possibility of breast reconstruction."
5,"Breast reconstruction post mastectomy. A 51-year-old woman for mastectomy on the right side, who is interested in the possibility of breast reconstruction."
38, Small internal hemorrhoids and Ileal colonic anastomosis.
38,Small internal hemorrhoids and ileal colonic anastomosis.
3, A female for a complete physical and follow up on asthma with allergic rhinitis.
3,A female for a complete physical follow-up of asthma with allergic rhinitis.
38, Phacoemulsification with posterior chamber intraocular lens implant in the right eye.
38,Facoemulsification with implant of posterior camera intraocular lens in the right eye.
38," Hammertoe deformity, left fifth digit and ulceration of the left fifth digit plantolaterally.  Arthroplasty of the left fifth digit proximal interphalangeal joint laterally and excision of plantar ulceration of the left fifth digit 3 cm x 1 cm in size."
38,"Deformity of Hammertoe, fifth left digit and ulceration of the fifth left digit plantolaterally. Arthroplasty of the fifth left digit proximal lateral interphalangeal joint and excision of plantar ulceration of the fifth left digit 3 cm x 1 cm in size."
33, MRI - Right temporal lobe astrocytoma.
33,Magnetic resonance imaging - Astrocytoma of the right temporal lobe.
15," MRI Brain, Carbon Monoxide poisoning."
15,"Image of brain magnetic resonance imaging, carbon monoxide poisoning."
22, Patient with a history of right upper pons and right cerebral peduncle infarction.
22,Patient with a history of right upper placement and right cerebral peduncle infarction.
