class,text
0,What was the rallying cry of the early American revolutionaries ?
0,What the cry American revolutionaries ?
0,cry of early American revolutionaries ?
0,was rallying cry early American ?
0,was the of the American ?
3,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
3,What is the of the American seven the Olympics ?
3,What the of the who won gold in 1972 ?
3,of the American swimmer who gold in the Olympics ?
3,the of American who won seven medals the Olympics ?
4,What U.S. city is known as The Rubber Capital of the World ?
4,.. city known The Rubber Capital of the ?
4,U.S. city is known Capital the ?
4,What U.. as The of the World ?
4,What.. city is known The Capital the ?
5,What is the size of Argentina ?
5,is of Argentina ?
5,is the Argentina ?
5,size of Argentina ?
5,the of Argentina ?
1,What plant has the largest seed ?
1,What has largest ?
1,What plant has ?
1,plant has the ?
1,plant largest seed ?
3,In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?
3,In movie what is name of character played ?
3,movie Groundshog Day what the of character MacDowell ?
3,the Day is the name by Andie MacDowell ?
3,the movie Day the name by Andie MacDowell ?
5,What is the chance of conceiving quadruplets ?
5,What is conceiving quadruplets ?
5,is chance of quadruplets ?
5,is of conceiving quadruplets ?
5,is the of quadruplets ?
3,"What President served for five years , six months and 2 days ?"
3,"What President served years , months days ?"
3,"What served , six months 2 days ?"
3,"What served for years , six months ?"
3,"served five , months and 2 days ?"
3,What relative of Leo Tolstoy translated War and Peace eight times ?
3,What Leo translated War and Peace ?
3,What of Tolstoy translated War times ?
3,What relative of War Peace times ?
3,relative of translated and Peace eight ?
3,Who was the tallest U.S. president ?
3,Who U.S. president ?
3,Who was U.S. ?
3,the U.S. president ?
3,was U.S. president ?
5,How many John Deere tractors have been manufactured ?
5,How John tractors manufactured ?
5,How many Deere have ?
5,How tractors been manufactured ?
5,many John Deere been ?
1,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
1,"What are other stretch besides pregnancy , , and lifting ?"
1,"What other getting marks besides , , and weight lifting ?"
1,"What other ways of getting , weight loss , weight ?"
1,"are other getting stretch besides pregnancy , weight loss , ?"
0,What is Cabarnet Sauvignon ?
0,Cabarnet Sauvignon ?
0,What Cabarnet ?
0,What Sauvignon ?
0,What is ?
1,What is the name of the largest water conservancy project in China ?
1,What the water conservancy in China ?
1,is name the largest water project ?
1,is the of conservancy project China ?
1,of the water conservancy project China ?
0,What causes rust ?
0,What causes ?
0,What causes rust ?
0,What rust ?
0,causes rust ?
5,What was Einstein 's IQ ?
5,Einstein 's IQ ?
5,What 's IQ ?
5,What Einstein ' IQ ?
5,was 's IQ ?
1,What 's the most delicate-tasting member of the onion family ?
1,' the most member of the ?
1,'s member the onion family ?
1,'s the most the family ?
1,What ' the member of the ?
1,What Leon Uris novel dealt with the Russian capture of Berlin ?
1,Leon Uris the Russian capture Berlin ?
1,What Leon Uris novel with capture ?
1,What Leon dealt with Russian capture ?
1,What novel the capture of Berlin ?
1,Which killer whale died at Sea World of a fungal infection ?
1,Which killer at a fungal infection ?
1,killer whale World a fungal infection ?
1,whale died Sea World of a ?
1,whale died at Sea of fungal ?
4,What Asian country has a bill of rights for cows ?
4,What bill of rights cows ?
4,What country a bill for ?
4,country a bill of cows ?
4,country has a bill of ?
0,How is Answers.com different from KnowPost.com ?
0,How. different from.com ?
0,is Answers. different KnowPost. ?
0,is Answers.com from. ?
0,is Answers.com.com ?
4,Where can I find a case on Americans with Disabilities Act of 199 ?
4,I case Americans with Disabilities Act of ?
4,Where I find Americans Disabilities Act of ?
4,Where find case Americans with Act 199 ?
4,find a case with Disabilities Act of ?
1,What color were Ernest Hemingway 's eyes ?
1,What Ernest Hemingway ' eyes ?
1,What Hemingway 's eyes ?
1,What color were ' eyes ?
1,color were Ernest 's ?
1,What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?
1,Playboy continuing dialog on contemporary issues Playboy and '' ?
1,Playboy title `` continuing issues Playboy its readers '' ?
1,Playboy title its dialog on contemporary Playboy its '' ?
1,What does Playboy title continuing contemporary and its '' ?
3,What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?
3,What '' baseball player now for a beer ?
3,What '' major-league player is now for beer ?
3,marvelous '' major-league now a for beer company ?
3,marvelous '' now a spokesman a beer company ?
0,What features of the African elephant are larger than those of the Indian elephant ?
0,What African are larger those the elephant ?
0,What features the are than those the ?
0,What features the elephant are larger Indian ?
0,features of the are larger of Indian ?
1,What soft drink held a national flavor poll in 1967 ?
1,What drink held national in ?
1,What soft national flavor poll ?
