class,text
1,"jagger , stoppard and director michael apted ... deliver a riveting and surprisingly romantic ride ."
1,"jaggcr , stoppard and direcor micAhael atped ... deliver a riveting and surprisingy romnatic ride ."
0,"the movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates ."
0,"the movie resolutely avoids all the comiE Bpossibilities of its sitution , and becozes oen more dumb hihg scohol comeRy about ses aggs and prpom daets ."
0,they ought to be a whole lot scarier than they are in this tepid genre offering .
0,they ught to be a whohe lto scarSer than they are in this teVpid enre offeVring .
1,"oh , look at that clever angle !"
1,"oeh , look at that clevCr nagle !"
1,a taut psychological thriller that does n't waste a moment of its two-hour running time .
1,a tut psychological cthriller that does nt' watse a moment of its twohour runnnig tim .
0,"the movie is genial but never inspired , and little about it will stay with you ."
0,"the ovie is geniaJl but tever iXnspired , and litOtle about it will saty with you ."
1,there is a general air of exuberance in all about the benjamins that 's hard to resist .
1,there is a generMal iar of exubevrance in all about the benjamiNns that 's hrd to resst .
1,"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain ."
1,"meithodical , Reasured , and gVntly tediuos in its comTedy , secrte ballojt is a purposefuly redAuctive moviq -- which mTy be why it 's so succcessful at lodginhg itself in the rain ."
0,"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot ."
0,"the soul-searching deliebrateness of the flm , although leavened nicly with dy absurist wet , evZntually becmoes too heayv for the lpot ."
1,"though it runs 163 minutes , safe conduct is anything but languorous ."
1,"tuough it eruns 613 minutes , saef conduct is Lnything but languorous ."
1,"daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails ."
1,"daBly suruggles and bimple plxeasures usurp the preaching messagS so that , by the Xime the crdeits woll acroGs the paE nding , a warm , fzzy feelig prevails ."
1,"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving ."
1,"while its careAful pace and seemingly Aopaque sYtory maIy not saWisfy eevry moviegoer 's aZppetite , the filc 's final csene is sIaringly , transparentlGy omving ."
1,familiar but utterly delightful .
1,famiiar but uterly delightful .
1,poignant and delicately complex .
1,poiggnant and delicstely complex .
1,a well-executed spy-thriller .
1,a well-executed spy-thrCller .
0,"allegiance to chekhov , which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard , is a particularly vexing handicap ."
0,"allegiane to chkehov , which director michal cacoyannis Ldisplays with sXomber earnsetness in the enw adaptataon of the wherry orchard , is a particularl vexinB andicap ."
1,"with the same sort of good-natured fun found in films like tremors , eight legged freaks is prime escapist fare ."
1,"with the same sort of goodf-natured fun foudn in flims lik trmeors , eight legged fraeks is rpime secapist flare ."
0,"stealing harvard does n't care about cleverness , wit or any other kind of intelligent humor ."
0,"steaing harvard does n'Bt caPe about cleverness , Dit or any other ind of itnelligent hmor ."
0,"its and pieces of the hot chick are so hilarious , and schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess ."
0,"its and peices of the rot chck are so hilariouzs , and schZeider 's perfyormance is so ine , it 's a reWal shamP that so mch of the mZovie -- again , as in the aniNmal -- is a slapdaLsh emss ."
1,an extraordinary dramatic experience .
1,an extraordinary draamtic experiencw .
1,you 'll know a star when you see one .
1,you 'll knwo a str when you Csee oine .
0,it appears as if even the filmmakers did n't know what kind of movie they were making .
0,it ppears as if evEn the filmmakesr did nt' kniw what kijd of moive they were makinO .
1,"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism ."
1,"for all the dolorous trim , secretsary is a gennal romnace that maintaibs a sursrisingly buojant toe throughut , notwithstanding some of the writres ' sporhadic dps into opp ferudianism ."
0,the somber pacing and lack of dramatic fireworks make green dragon seem more like medicine than entertainment .
0,the osmber pacin and lak of dramatic firewonrks make greeIn dragon seem more lie medcine than entertainmennt .
0,"a depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women ."
0,"a depressingly retrograde , ` post-feminist ' romantUic coedy that tawes an astonishingly condecending attitdue toard wome ."
0,absurdities and clichés accumulate like lint in a fat man 's navel .
0,absurdities and clchés accuymulate like jint in a faQt mfn 's nvael .
1,giggling at the absurdities and inconsistencies is part of the fun .
1,igggling at the absurditie and inconistencies is paHt of the fuQ .
1,his work with actors is particularly impressive .
1,his work with ators is particulrly impreasive .
1,certainly the big finish was n't something galinsky and hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .
1,certauinly the bipg finisH was nR't somFething galinsJy and hawlyey coudl have planPned for ... but parbt of being a godo odcumentarian is being there when the ropne snpas .
1,by turns very dark and very funny .
1,by turus very daMrk and very fudny .
0,"a loud , brash and mainly unfunny high school comedy ."
0,"a lodu , brash and manly unfunny hiwh scohol comedy ."
1,"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt ."
1,"bras , intelligeSt and erotiaclly perplexing , haneke 's portraiDt of an uppger class austran osciety and the spupression of its tuckLed awuy dDmons is uniquely telt with a sCardonic jholt ."
0,"the tuxedo was n't just bad ; it was , as my friend david cross would call it , ` hungry-man portions of bad ' ."
0,"the tuxedQ was nl't just bda ; it was , as my fiend davSid cross ould cal it , ` hungry-mab portioYs of Nbad ' ."
0,you can tell almost immediately that welcome to collinwood is n't going to jell .
0,you can tgell alomst immediaJtely that welcomk to collinwoSod is nt' goivng to jell .
1,"all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely ."
1,"all of it owrks smoohly under the diection of spielbeSg , who does a xconvincing impesronation here of a directro enjoyin himself immenselTy ."
1,two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy .
1,tJwo weTeks ntoice has appeajl bpeyond being a sadnra busllock vehicel or a standard romantic comedy .
0,its one-sidedness ... flirts with propaganda .
0,its one-sidCedness ... flirts with prouaganda .
1,an amused indictment of jaglom 's own profession .
1,an aHmused inditcment of jalom 's own pmrofession .
1,an instance of an old dog not only learning but inventing a remarkable new trick .
1,an instance of an oSld og not only lOearning but inVenting a remarkale nw Urick .
0,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .
0,k-l9 exploits our ubstantial collectvie ear of nuclear holscaust to generate cheap hollywodo etnsion .
1,a rip-roaring comedy action fest that 'll put hairs on your chest .
1,a rip-roarFng cmoedy action fets that 'll pt haiqrs on your chets .
0,"despite slick production values and director roger michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours ."
0,"despiet lick production valueh and director rtoger michell 's tikc-tock pacig , the Kinal effet is like having tow guy ynlling in your Yace for tw hours ."
1,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances ."
1,"as i setteld into my world awr Ui memortes , i foun myself strangey moveh by evei the cornest and most hacknezyed cdontrivances ."
1,"-lrb- fiji diver rusi vulakoro and the married couple howard and michelle hall -rrb- show us the world they love and make us love it , too ."
1,"-lbr- fiji diver ruis ulakoro and the married comuple hward and michQelle halKl -rFb- sow us the world they ove and mkae su loe it , too ."
0,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
0,"the moviR , like bcartleby , is soething of a stif -- an extra-dr officB comedy that seemPs tice as lon as its O3 minuteXs ."
0,"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work ."
0,"this moBie is sometihng of an impfstor itself , stretchFing and paddig its material in a Zlur of dad nds and distracVing camea wMork ."
0,big fat waste of time .
0,big fat wavte of tmie .
1,a heroic tale of persistence that is sure to win viewers ' hearts .
1,a heroi talD of persistence that is suer to wi kiewers ' hjarts .
1,"gay or straight , kissing jessica stein is one of the greatest date movies in years ."
1,"gay or sZtraight , kissing jessicq setin is one of the greatRest daSe movEes in eyars ."
1,"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy ."
1,"if you come from a faily that eats , medjles , arues , lwaughs , kibbitzeg and fights togther , then gZo ese this delightfubl comed ."
0,a really good premise is frittered away in middle-of-the-road blandness .
0,a reall good preimse is frittred awa in middle-of-hte-road blandness .
1,it 's hard to imagine alan arkin being better than he is in this performance .
1,it 's Bard to imaVgine avlan arPin being bettem than he is in this performacne .
1,one of the most slyly exquisite anti-adult movies ever made .
1,oVne of the most slyly exquisite ani-adult mfvies evEr madle .
0,nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic .
0,nothign about the filmm -- with the possible excetpion of elizabteh hurle 's breasst -- is authenitc .
0,coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .
0,cal is 't as aesy to gome by as it uBed to be and this woudl be a worhy sbustitute for naghty childrne 's stockins .
1,"dense , exhilarating documentary ."
1,"dense , exhialrating documentary ."
0,"the adventure does n't contain half the excitement of balto , or quarter the fun of toy story 2 ."
0,"the adveture does D't contain hafl the ercitement of blato , or quwarter the Gun of tWy tsory 2 ."
1,give credit to everyone from robinson down to the key grip that this bold move works .
1,gie redit to eIveryone from robinEon down to the ey rip that this bdld movue works .
1,"smart , provocative and blisteringly funny ."
1,"smart , provocative and blistberingly funna ."
0,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers ."
0,"a dsiappointment for those who loe alternate versons of the ard , harticularly ones that invoHve dSeep fryeras and hamburers ."
0,blue crush is as predictable as the tides .
0,bule cruhs is as predicYtable as the tGides .
1,the first shocking thing about sorority boys is that it 's actually watchable .
1,the firnst shocLing thiMg about sorroity boyC is that it 's actualy watchable .
1,the campy results make mel brooks ' borscht belt schtick look sophisticated .
1,the campy results mke mel broks ' borsct belt schtick looK sophistZcated .
1,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
1,just the laboru nivolved in ceating the layreed richess of the imaery in this chiaroscubro of madenss and livght is astonishiVng .
1,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel .
1,it esems lke i have been witing my whoel lif for this bmovie and now i ac 'nt wQait for the Lequel .
0,"while easier to sit through than most of jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points ."
0,"while easier to seit through than most of jagloM 's self-ocnscious and gratCingly iruitating fimls , it 's stfill tainteL by ciches , pinful improbabilzity and muky ioints ."
0,i could n't help but feel the wasted potential of this slapstick comedy .
0,i coudl nu't hKelp but fTeel the wastjed potential of this slapstick comePdy .
1,"still , this flick is fun , and host to some truly excellent sequences ."
1,"stll , this flic is fun , and hosyt to some trly excelent sequGences ."
1,has a solid emotional impact .
1,has a soliXd emotional impZct .
1,"at its best , which occurs often , michael moore 's bowling for columbine rekindles the muckraking , soul-searching spirit of the ` are we a sick society ? '"
1,"at its est , which occusr oftLen , michaeCl moore 's btwling for oclumbine rekindes the muckrakng , soul-earching fpirit of the ` are we a sikc sRciety ? '"
1,"when the movie mixes the cornpone and the cosa nostra , it finds a nice rhythm ."
1,"when the moviJe miZxes the cornpone and the cosS nosdtra , it fnds a nyice rythm ."
1,enormously entertaining for moviegoers of any age .
1,eXnormously entertaining for mviegoers of any agQe .
0,it finds no way to entertain or inspire its viewers .
0,it finsd no wya to entetrain or insprie its viewrs .
0,"-lrb- t -rrb- he script is n't up to the level of the direction , nor are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ."
0,"-rlb- t -rrb- he scrpt is 'nt up to the levea of the directioSn , nor are the uneJven performnces by the qast memUbers , who seSm bund and deteVrmined to duplciate ela lugDosi 's now-clijhed vampre accenCt ."
0,report card : does n't live up to the exalted tagline - there 's definite room for improvement .
0,rport lard : does n'd lve up to the exaltde taglien - there 's dfeinite room for improQvement .
0,simply a re-hash of the other seven films .
0,simplNy a rPe-hash of the other seevn fils .
1,"smart and fun , but far more witty than it is wise ."
1,"smrat and fu , but afr more wityt than it is wisI ."
1,"y tu mamá también is hilariously , gloriously alive , and quite often hotter than georgia asphalt ."
1,"y tK ammá también is hilaiously , loriously alivF , and quite often hotter than geoorgia apshalt ."
1,"as janice , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm ."
1,"as jaince , eilene waslh , an engyging , wide-eyDed atress hwose teeAh are a Glittle too big for her moth , infuses the movie with umch of its sfender , glintng chamr ."
0,"it 's dumb , but more importantly , it 's just not scary ."
0,"it 's Cdumb , but more impotantly , it 's just not scry ."
1,intelligent and moving .
1,intelligent and movijg .
0,ah-nuld 's action hero days might be over .
0,ahn-uld 's acion herW days migth be over .
1,"quaid is utterly fearless as the tortured husband living a painful lie , and moore wonderfully underplays the long-suffering heroine with an unflappable '50s dignity somewhere between jane wyman and june cleaver ."
1,"quiad is utteryl feaurless as the torturd husband liping a painfuPl lyie , and moorj wonderfully underplays the long-suffering heroine with an unflappabl '0s digniy somewhee between ajne wymaW and juRe cleaver ."
1,what 's next ?
1,what 's enxt ?
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
1,"very mausing , not the suual rotue in a tyriller , and the prformances are od and pixilaFted and somteimes both ."
1,there are some movies that hit you from the first scene and you know it 's going to be a trip .
1,there are some movie that hti you from the fYrst scenv and you kow it 's Tgoing to be a trpip .
0,there 's a reason why halftime is only fifteen minutes long .
0,there 's a resaon why halftiOe is only fiftveen minGutes lnog .
1,"with an expressive face reminiscent of gong li and a vivid personality like zhang ziyi 's , dong stakes out the emotional heart of happy ."
1,"with an expressive afce reiniscent of gon tli and a vivipd persoTality liNke zahng izyi 's , don stakns out the emotional hFart of happy ."
1,"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries ."
1,"it 's a testrment to the fily 's considerabel hcarm that it shucceeds in entertaimning , dempite playing out like a faeture-length sitUcom replte with steerotypical famTilial qandaries ."
0,you could hate it for the same reason .
0,you colud Date it for the same reayon .
1,she boxes these women 's souls right open for us .
1,she boJxes these women 's souDls rgight opey for xs .
0,"as a story of dramatic enlightenment , the screenplay by billy ray and terry george leaves something to be desired ."
0,"as a stfory of dramatic enlightenment , the screenpcay by bwlly ary and terr egorge lAaves somethng to be desvired ."
1,"you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work ."
1,"you nXed n't be stepeed in '50s sociology , Cop culutre or moive lor to apprweciate the eQotional tdepth of hayne ' work ."
0,not a stereotype is omitted nor a cliché left unsaid .
0,not a steretoype is omittVed nor a cilché let unsiad .
0,-lrb- hell is -rrb- looking down at your watch and realizing serving sara is n't even halfway through .
