class,text
1,"josh is about to turn 30 ; he's mentally retarded , and likes to play at being a vampire . "
1,"Josh is about to turn 30; he's mentally retarded, and he likes to play vampire."
1,"using previously unseen video footage , the film shows rocha all jerky and with florid rhetoric urging his cuban comrades to embrace the new political and cultural challenges of the age ; outlining his vision of a unified third world ; and expounding on the differences and peculiarities of latin americans and the means by which their revolutionary aims might be achieved . "
1,"using previously invisible video images, the film shows all the dry rock and floral rhetoric urging its Cuban comrades to embrace the new political and cultural challenges of the time; outlining their vision of a unified third world; and exposing the differences and peculiarities of Latin Americans and the means by which their revolutionary goals could be achieved."
0,characterisation has been sacrificed for the sake of spectacle . 
0,the characterization has been sacrificed for the sake of the show.
1,"this comedy , based on steve martin's successful stage play concerns a fictional meeting between a young pablo picasso and a young albert einstein at a paris cafe at the turn of the 20th century . "
1,"this comedy, based on Steve Martin's successful theatre, refers to a fictitious encounter between a young Pablo Picasso and a young Albert Einstein in a café in Paris in the late 20th century."
1,"amid a towering forest of shimmering crystals , they begin to explore this ancient marvel . "
1,"In the midst of an imposing forest of bright crystals, they begin to explore this ancient wonder."
1,but micke suggests one thing that is a definite babe-magnet : taking a dog out for walks . 
1,But micke suggests one thing that is a definite idea of the baby: take a dog for a walk.
1,"a young man in his early early 20's discovers his first love is getting married so he drops everything to travel across california and stop her , with no money and no car , where he discovers life , love and secrets from his past . "
1,"a young man in the early 1920s discovers that his first love is getting married so he leaves everything to travel through California and stop her, without money and without a car, where he discovers the life, love and secrets of her past."
0,together writer-director danny verete's three tales comprise a powerful and reasonably fulfilling gestalt . 
0,the three stories of writer-director Danny Verete include a powerful and reasonably satisfactory gestational.
1,he then goes to paris where he prepares to make a political film criticizing the state of repression in his native land . 
1,Then he goes to Paris where he prepares to make a political film criticizing the state of repression in his homeland.
0,it's not too fast and not too slow . it's not too racy and it's not too offensive . it's not too much of anything . 
0,"It's not too fast or too slow, it's not too funny and it's not too offensive."
1,"when raj's family move to england to get involved in an internet business , raj promises tina that he will keep in touch with her and that their friendship will always be forever . "
1,"When Raj's family moves to England to participate in an Internet business, Raj promises to stay in touch with her and that her friendship will always be forever."
0,a raunchy and frequently hilarious follow-up to the gifted korean american stand-up's i'm the one that i want . 
0,"A ranch and often hilarious follow-up of the American talent of Koreans, I am the one I want."
0,"despite its raucous intent , xxx is as conventional as a nike ad and as rebellious as spring break . "
0,"Despite its raucous intent, xxx is as conventional as a Nike ad and as rebellious as spring break."
1,discover what seprates the sportsstyles and the spiritual style of martial arts . 
1,discover what separates sports styles and the spiritual style of martial arts.
0,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . 
0,No reindeer awakening inspired me to think of its inhabitants as more than markers in a script.
0,"oops , she's really done it this time . that chirpy songbird britney spears has popped up with more mindless drivel . "
0,The singer Britney Lance Chirpy Britney has invented more nonsense.
1,"however when sex and greed rear-up between the good crims and the bad cops , the consequences are both bizarre and fatal . "
1,"However, when sex and greed arise between good crimson and bad cops, the consequences are both strange and fatal."
0," "" auto focus "" works as an unusual biopic and document of male swingers in the playboy era"
0,""" Auto Focus "" Works As An Unusual Biopic Document and Male Swinger in the Playboy Era"
1,"eight year old peter carlson tries to save his family from eviction by "" blackmailing santa "" . "
1,"Peter Carlson, eight, tries to save his family from eviction by blackmailing Santa."
0,it's very thoughtful and it's the kind of movie you have to discuss afterwards . 
0,It's very considerate and it's the kind of movie you need to discuss later.
0,offers a gentle summer fantasy for both grown-ups and little ones . 
0,offers a soft summer fantasy for both adults and children.
1,when a stranger stumbles in to their camp disoriented mumbling things about lights in the sky the four friends put in a struggle with a psychotic army colonel and a being that has taken control of one of their minds . 
